,theta_secondary_v2_o2free
mu0,0.0601697224171635
sN,8.751445870938538
qN,0.0146092346863683
qXG,0.0814909864046577
qXF,0.0709327065015376
betaG0,0.779853869422414
sG,0.0974550987386739
betaF0,0.5108967442490071
sF,0.1782952055176543
qEG,1.5379361359484045
qEF,1.262713484739452
iG,0.0073666781875985
iE,0.0258618456174518
Kd0,0.0006690744222537
m0,0.0183385793928771
gammaG0,0.0975070871956685
gammaF0,0.0013892430460828
kPyrS,0.4414987236423745
kPyrD,0.0078209107245985
kAldPyr,1.0001543373040659e-05
kAldS,0.8021403800399333
kAldRed,1.1874821223659464e-05
kAcAld,0.004286820696494567
kAcStress,0.0025902448365197886
kAcAssim,9.827221789623503e-06
qO2,0.09366174036938855
kLaO2,0.022503595694515714
O2sat,0.5000001168301419
k_EA_growth,0.1
k_EA_stationary,0.28
k_IAA_growth,0.003
k_IAA_stationary,0.012
k_EO_growth,0.0008
k_EO_stationary,0.003
alpha_EA_loss,1.0
alpha_IAA_loss,1.0
alpha_EO_loss,1.0
kPyrS_N,0.26268048427746976
kPyrS_stat,0.0001000000001397015
kPyrO2,1.2641203177363496
kPyrDrain,0.003735416547588657
kAldS_N,2.458800568424295
kAldS_stat,0.00010000027732751603
kAldO2,0.0020153073359549614
