strategy,state,SSE_raw_sum,WSSE_raw_sum
plus_iG_logL2_50,E,7620.507796410522,4284.795262672138
plus_iG_logL2_50,F,5248.464215815597,172.6436064577734
plus_iG_logL2_50,G,5532.463780861216,211.19865025892452
plus_iG_logL2_50,N,0.09294422850293844,1063.192788359203
plus_iG_logL2_50,X,136.61394608569762,273.22789217139524
plus_iG_unregularized,E,7622.709869257921,4286.033425739046
plus_iG_unregularized,F,5182.379550269417,170.46980960553074
plus_iG_unregularized,G,5518.373013916185,210.6607432652631
plus_iG_unregularized,N,0.09295602886325162,1063.3277731580129
plus_iG_unregularized,X,135.74551446971384,271.4910289394277
plus_qx_iG_logL2_10,E,7602.701903438905,4274.783514388334
plus_qx_iG_logL2_10,F,5263.395829787525,173.13476874455836
plus_qx_iG_logL2_10,G,5516.991311571239,210.60799756608262
plus_qx_iG_logL2_10,N,0.09297851182724438,1063.5849566923007
plus_qx_iG_logL2_10,X,135.10629881149623,270.21259762299246
plus_qx_iG_logL2_100,E,7619.340147814968,4284.138727004915
plus_qx_iG_logL2_100,F,5276.799509961703,173.5756709951831
plus_qx_iG_logL2_100,G,5532.17807129519,211.18774345915125
plus_qx_iG_logL2_100,N,0.09294345950790675,1063.1839917939385
plus_qx_iG_logL2_100,X,136.59846276910315,273.1969255382063
plus_qx_iG_logL2_50,E,7615.740993845034,4282.115024872196
plus_qx_iG_logL2_50,F,5264.255603897553,173.1630502564427
plus_qx_iG_logL2_50,G,5528.532181224483,211.04856368456518
plus_qx_iG_logL2_50,N,0.09294904582242416,1063.2478938716047
plus_qx_iG_logL2_50,X,136.26360717797715,272.5272143559543
plus_qx_iG_pso_pilot_logL2_50,E,7615.704000880414,4282.094224778057
plus_qx_iG_pso_pilot_logL2_50,F,5264.203030867746,173.16132091294426
plus_qx_iG_pso_pilot_logL2_50,G,5528.532808423215,211.04858762751917
plus_qx_iG_pso_pilot_logL2_50,N,0.09294911890089448,1063.2487298191818
plus_qx_iG_pso_pilot_logL2_50,X,136.2758999477397,272.5517998954794
plus_qx_iG_unregularized,E,7567.146166346588,4254.79153249892
plus_qx_iG_unregularized,F,5464.047961224764,179.7350438327216
plus_qx_iG_unregularized,G,5509.978610673569,210.34029170791126
plus_qx_iG_unregularized,N,0.09304183369288704,1064.3092980740207
plus_qx_iG_unregularized,X,131.68562275392756,263.3712455078551
plus_qx_logL2_50,E,7620.585944291789,4284.839203007925
plus_qx_logL2_50,F,5325.276284907936,175.17027179877437
plus_qx_logL2_50,G,5534.915706181962,211.29225110997186
plus_qx_logL2_50,N,0.09294313824128586,1063.1803168120705
plus_qx_logL2_50,X,136.80268160508098,273.60536321016195
plus_qx_unregularized,E,7570.029889056056,4256.412967937936
plus_qx_unregularized,F,5665.423406536617,186.35911169354742
plus_qx_unregularized,G,5529.669656134434,211.09198614067165
plus_qx_unregularized,N,0.09296242905476676,1063.4009852075678
plus_qx_unregularized,X,133.09489618340368,266.18979236680735
reduced6_local,E,7625.572636035298,4287.643078252178
reduced6_local,F,5305.8218537992325,174.5303354268982
reduced6_local,G,5536.921942293394,211.36883802958275
reduced6_local,N,0.09293714267638781,1063.1117333027507
reduced6_local,X,137.04972698460537,274.09945396921074
