strategy,estimated_parameters,n_estimated,l2_lambda,l2_parameters,uses_pso,pso_seed,ParmEst_objective_total,direct_WSSE_total,direct_SSE_total,l2_penalty_total,direct_plus_l2_total,n_observations,n_active_bounds,active_bounds,runtime_s,solve_ok,pso_best_direct_WSSE,pso_evaluations,pso_successful_evaluations,pso_failed_evaluations
plus_qx_iG_unregularized,"mu0, qN, betaG0, betaF0, qEG, qEF, qXG, qXF, iG",9,0.0,,False,,5972.547409398088,5972.547411621428,18672.951402832543,0.0,5972.547411621428,286,2,qXG:lower; qXF:lower,4.9573947000317276,True,,,,
plus_qx_unregularized,"mu0, qN, betaG0, betaF0, qEG, qEF, qXG, qXF",8,0.0,,False,,5983.454849226179,5983.45484334653,18898.31081033957,0.0,5983.45484334653,286,2,qXG:lower; qXF:lower,4.384704099968076,True,,,,
plus_qx_iG_logL2_10,"mu0, qN, betaG0, betaF0, qEG, qEF, qXG, qXF, iG",9,10.0,"qXG, qXF, iG",False,,5998.0545004005935,5992.323835014267,18518.288322120992,5.730665694336276,5998.054500708604,286,0,,5.758035399951041,True,,,,
plus_iG_unregularized,"mu0, qN, betaG0, betaF0, qEG, qEF, iG",7,0.0,,False,,6001.982780985795,6001.98278070728,18459.300903942105,0.0,6001.98278070728,286,0,,4.677374700084329,True,,,,
plus_qx_iG_pso_pilot_logL2_50,"mu0, qN, betaG0, betaF0, qEG, qEF, qXG, qXF, iG",9,50.0,"qXG, qXF, iG",True,321.0,6005.649337885462,6002.10466303318,18544.808689238012,3.544674457874956,6005.649337491055,286,0,,340.7452209999319,True,6010.753438696366,71.0,61.0,10.0
plus_qx_iG_logL2_50,"mu0, qN, betaG0, betaF0, qEG, qEF, qXG, qXF, iG",9,50.0,"qXG, qXF, iG",False,,6005.649341121231,6002.101747040763,18544.88533519087,3.5475936884053274,6005.649340729168,286,0,,5.475303899962455,True,,,,
plus_iG_logL2_50,"mu0, qN, betaG0, betaF0, qEG, qEF, iG",7,50.0,iG,False,,6007.175048664616,6005.058199919435,18538.142683401536,2.1168483831129588,6007.175048302548,286,0,,4.734142000088468,True,,,,
plus_qx_iG_logL2_100,"mu0, qN, betaG0, betaF0, qEG, qEF, qXG, qXF, iG",9,100.0,"qXG, qXF, iG",False,,6007.7185740790155,6005.283058791395,18565.009135300472,2.435514938366195,6007.718573729761,286,0,,5.460990899940953,True,,,,
plus_qx_logL2_50,"mu0, qN, betaG0, betaF0, qEG, qEF, qXG, qXF",8,50.0,"qXG, qXF",False,,6009.350608251808,6008.087405938904,18617.67356012501,1.2632019638442349,6009.350607902748,286,0,,5.0562320000026375,True,,,,
reduced6_local,"mu0, qN, betaG0, betaF0, qEG, qEF",6,0.0,,False,,6010.753439333933,6010.753438980621,18605.459096255207,0.0,6010.753438980621,286,0,,4.367720699869096,True,,,,
