medium,n_batches,n_rows,t_min_h,t_max_h,G_initial_mean,F_initial_mean,YAN_initial_mean,E_final_mean,total_N_pulse_mean
natural,9,112,0.0,211.0,76.99555555555555,77.14333333333333,230.09333333333336,81.344336,80.0
synthetic,10,96,0.0,213.5,124.06400000000001,117.96199999999999,221.8,102.1197636,100.0
all,19,208,0.0,213.5,101.7684210526316,98.62684210526315,225.72842105263157,92.27877157894739,90.52631578947368
