source_file,sheet,rows_including_header,data_rows_estimated,columns,header_preview
fermentation_model/data/mosto_natural_xthiol.xlsx,00_Resumen,21,20,9,Campo;Valor
fermentation_model/data/mosto_natural_xthiol.xlsx,Datos_homologados,105,104,77,ID;fecha_hora;t;temperatura;densidad;Viability;Peso Seco;GLUCOSE;FRUCTOSE;PAN;AMMONIA;YAN;GLYCEROL;PYRUVIC ACID;PYRUVIC ACID2;ACETALDEHIDO;ETANOL;pulso_nut;bencil_alcohol_total;benzaldehido_total;decanoato_de_etilo_total;hexil_acetate_total;isoamil_acetate_total;octanoate_de_etilo_total;phenylethylacetate_total;Ethyl_Acetate_total;Código ensayo;fecha_hora_original;fecha_hora_nota;base_t_origen;temperatura_fuente;temperatura_evento_activo;protocolo_inferido;pulso_nut_evento;pulso_nut_t_h
fermentation_model/data/mosto_natural_xthiol.xlsx,LAB004,15,14,77,ID;fecha_hora;t;temperatura;densidad;Viability;Peso Seco;GLUCOSE;FRUCTOSE;PAN;AMMONIA;YAN;GLYCEROL;PYRUVIC ACID;PYRUVIC ACID2;ACETALDEHIDO;ETANOL;pulso_nut;bencil_alcohol_total;benzaldehido_total;decanoato_de_etilo_total;hexil_acetate_total;isoamil_acetate_total;octanoate_de_etilo_total;phenylethylacetate_total;Ethyl_Acetate_total;Código ensayo;fecha_hora_original;fecha_hora_nota;base_t_origen;temperatura_fuente;temperatura_evento_activo;protocolo_inferido;pulso_nut_evento;pulso_nut_t_h
fermentation_model/data/mosto_natural_xthiol.xlsx,LAB005,15,14,77,ID;fecha_hora;t;temperatura;densidad;Viability;Peso Seco;GLUCOSE;FRUCTOSE;PAN;AMMONIA;YAN;GLYCEROL;PYRUVIC ACID;PYRUVIC ACID2;ACETALDEHIDO;ETANOL;pulso_nut;bencil_alcohol_total;benzaldehido_total;decanoato_de_etilo_total;hexil_acetate_total;isoamil_acetate_total;octanoate_de_etilo_total;phenylethylacetate_total;Ethyl_Acetate_total;Código ensayo;fecha_hora_original;fecha_hora_nota;base_t_origen;temperatura_fuente;temperatura_evento_activo;protocolo_inferido;pulso_nut_evento;pulso_nut_t_h
fermentation_model/data/mosto_natural_xthiol.xlsx,LAB006,17,16,77,ID;fecha_hora;t;temperatura;densidad;Viability;Peso Seco;GLUCOSE;FRUCTOSE;PAN;AMMONIA;YAN;GLYCEROL;PYRUVIC ACID;PYRUVIC ACID2;ACETALDEHIDO;ETANOL;pulso_nut;bencil_alcohol_total;benzaldehido_total;decanoato_de_etilo_total;hexil_acetate_total;isoamil_acetate_total;octanoate_de_etilo_total;phenylethylacetate_total;Ethyl_Acetate_total;Código ensayo;fecha_hora_original;fecha_hora_nota;base_t_origen;temperatura_fuente;temperatura_evento_activo;protocolo_inferido;pulso_nut_evento;pulso_nut_t_h
fermentation_model/data/mosto_natural_xthiol.xlsx,LAB007,15,14,77,ID;fecha_hora;t;temperatura;densidad;Viability;Peso Seco;GLUCOSE;FRUCTOSE;PAN;AMMONIA;YAN;GLYCEROL;PYRUVIC ACID;PYRUVIC ACID2;ACETALDEHIDO;ETANOL;pulso_nut;bencil_alcohol_total;benzaldehido_total;decanoato_de_etilo_total;hexil_acetate_total;isoamil_acetate_total;octanoate_de_etilo_total;phenylethylacetate_total;Ethyl_Acetate_total;Código ensayo;fecha_hora_original;fecha_hora_nota;base_t_origen;temperatura_fuente;temperatura_evento_activo;protocolo_inferido;pulso_nut_evento;pulso_nut_t_h
fermentation_model/data/mosto_natural_xthiol.xlsx,LAB008,15,14,77,ID;fecha_hora;t;temperatura;densidad;Viability;Peso Seco;GLUCOSE;FRUCTOSE;PAN;AMMONIA;YAN;GLYCEROL;PYRUVIC ACID;PYRUVIC ACID2;ACETALDEHIDO;ETANOL;pulso_nut;bencil_alcohol_total;benzaldehido_total;decanoato_de_etilo_total;hexil_acetate_total;isoamil_acetate_total;octanoate_de_etilo_total;phenylethylacetate_total;Ethyl_Acetate_total;Código ensayo;fecha_hora_original;fecha_hora_nota;base_t_origen;temperatura_fuente;temperatura_evento_activo;protocolo_inferido;pulso_nut_evento;pulso_nut_t_h
fermentation_model/data/mosto_natural_xthiol.xlsx,LAB009,14,13,77,ID;fecha_hora;t;temperatura;densidad;Viability;Peso Seco;GLUCOSE;FRUCTOSE;PAN;AMMONIA;YAN;GLYCEROL;PYRUVIC ACID;PYRUVIC ACID2;ACETALDEHIDO;ETANOL;pulso_nut;bencil_alcohol_total;benzaldehido_total;decanoato_de_etilo_total;hexil_acetate_total;isoamil_acetate_total;octanoate_de_etilo_total;phenylethylacetate_total;Ethyl_Acetate_total;Código ensayo;fecha_hora_original;fecha_hora_nota;base_t_origen;temperatura_fuente;temperatura_evento_activo;protocolo_inferido;pulso_nut_evento;pulso_nut_t_h
fermentation_model/data/mosto_natural_xthiol.xlsx,LAB010,14,13,77,ID;fecha_hora;t;temperatura;densidad;Viability;Peso Seco;GLUCOSE;FRUCTOSE;PAN;AMMONIA;YAN;GLYCEROL;PYRUVIC ACID;PYRUVIC ACID2;ACETALDEHIDO;ETANOL;pulso_nut;bencil_alcohol_total;benzaldehido_total;decanoato_de_etilo_total;hexil_acetate_total;isoamil_acetate_total;octanoate_de_etilo_total;phenylethylacetate_total;Ethyl_Acetate_total;Código ensayo;fecha_hora_original;fecha_hora_nota;base_t_origen;temperatura_fuente;temperatura_evento_activo;protocolo_inferido;pulso_nut_evento;pulso_nut_t_h
fermentation_model/data/mosto_natural_xthiol.xlsx,LAB011,10,9,77,ID;fecha_hora;t;temperatura;densidad;Viability;Peso Seco;GLUCOSE;FRUCTOSE;PAN;AMMONIA;YAN;GLYCEROL;PYRUVIC ACID;PYRUVIC ACID2;ACETALDEHIDO;ETANOL;pulso_nut;bencil_alcohol_total;benzaldehido_total;decanoato_de_etilo_total;hexil_acetate_total;isoamil_acetate_total;octanoate_de_etilo_total;phenylethylacetate_total;Ethyl_Acetate_total;Código ensayo;fecha_hora_original;fecha_hora_nota;base_t_origen;temperatura_fuente;temperatura_evento_activo;protocolo_inferido;pulso_nut_evento;pulso_nut_t_h
