,mu0,qN,betaG0,betaF0,qEG,qEF,iG,qXG,qXF
mu0,9157.423661786617,-7882.519181175384,6942.2620002447775,4520.655256964697,-2812.3058648655315,-682.8108110398657,-1033.0243547898551,-125.70704633870471,-49.52196735335137
qN,-7882.519181175384,7374.384775558022,-4570.7469759467285,-2768.957569730966,987.8802076017265,-609.3692377338969,898.6192372417242,48.50385099261777,-4.500574133618502
betaG0,6942.2620002447775,-4570.7469759467285,28320.31382295583,21619.363509328286,-24899.0857533108,-17733.764400923406,-845.5048125340395,-1055.6021020023832,-737.8215944803352
betaF0,4520.655256964697,-2768.957569730966,21619.363509328286,16678.70737807295,-19316.759145786855,-14084.145497909005,-526.5064474292676,-819.4765545810708,-583.3551049400904
qEG,-2812.3058648655315,987.8802076017265,-24899.0857533108,-19316.759145786855,23664.74684598113,17013.819276146136,328.38697571306415,1001.7287855578302,701.1671873235314
qEF,-682.8108110398657,-609.3692377338969,-17733.764400923406,-14084.145497909005,17013.819276146136,13428.501516973116,29.1760433609914,720.1884987187561,547.2979739251386
iG,-1033.0243547898551,898.6192372417242,-845.5048125340395,-526.5064474292676,328.38697571306415,29.1760433609914,208.4059484568083,12.60911626219972,0.6451290646070005
qXG,-125.70704633870471,48.50385099261777,-1055.6021020023832,-819.4765545810708,1001.7287855578302,720.1884987187561,12.60911626219972,42.66317443847963,29.76538445492257
qXF,-49.52196735335137,-4.500574133618502,-737.8215944803352,-583.3551049400904,701.1671873235314,547.2979739251386,0.6451290646070005,29.76538445492257,22.674558165929277
