candidate,family,batch_template,parameters,temperature_c,pulse_times_h,pulse_amounts_kg_m3,total_pulse_kg_m3,status,error,new_logdet,new_min_eigenvalue,new_min_relative_eigenvalue,new_condition_number,new_trace,new_trace_inv,new_diag_qXG,new_diag_qXF,new_diag_iG,combined_logdet,combined_min_eigenvalue,combined_min_relative_eigenvalue,combined_condition_number,combined_trace,combined_trace_inv,combined_diag_qXG,combined_diag_qXF,combined_diag_iG,posterior_var_ratio_qXG,posterior_var_reduction_qXG,posterior_var_ratio_qXF,posterior_var_reduction_qXF,posterior_var_ratio_iG,posterior_var_reduction_iG,weak_mean_var_reduction,weak_worst_var_reduction
constant_20_split,manual,25026,"mu0, qN, betaG0, betaF0, qEG, qEF, iG, qXG, qXF","20, 20, 20, 20","0, 23, 46, 69, 92","0.04, 0.04, 0.04, 0.04, 0.04",0.2,ok,,34.736594777881045,0.06523396484657006,2.3227422957263706e-06,430525.5911686401,35475.48323613235,20.441401442151857,15.635015959713382,8.063069968298331,225.2867715148667,53.69044977276678,0.8164919142207259,4.521586361277036e-06,221161.31819664483,241433.83203381338,1.56988985180039,59.142411968650066,31.520167692531146,1486.9698939850414,0.6313678505743736,0.3686321494256264,0.731871556745906,0.268128443254094,0.8669123851147651,0.1330876148852349,0.25661606918831836,0.1330876148852349
ramp_up_staggered,manual,25026,"mu0, qN, betaG0, betaF0, qEG, qEF, iG, qXG, qXF","15, 18, 22, 25","4.6, 27.6, 55.2, 78.2, 92","0.05, 0.06, 0.06, 0.03, 0",0.2,ok,,37.912515567786286,0.13060726872826633,5.063741983457996e-06,197482.4158234671,33848.216119077486,10.008583976670556,16.27587693095115,8.886395289446693,188.00803307226877,54.80426928415905,1.0660118381610282,5.9781443479603545e-06,167275.98763003835,239806.5649167585,1.2499401322608947,59.78327293988783,32.343493013679506,1449.6911555424433,0.5102106322584381,0.4897893677415619,0.5631043888687391,0.43689561113126085,0.7741043901820386,0.22589560981796142,0.38419352956359465,0.22589560981796142
ramp_down_frontload,manual,25026,"mu0, qN, betaG0, betaF0, qEG, qEF, iG, qXG, qXF","25, 22, 18, 15","0, 13.8, 32.2, 59.8, 92","0.08, 0.06, 0.04, 0.02, 0",0.2,failed,RuntimeError: Model from experiment did not solve appropriately. Make sure the model is well-posed.,,,,,,,,,,,,,,,,,,,,,,,,,,
hot_start_cool_finish,manual,25026,"mu0, qN, betaG0, betaF0, qEG, qEF, iG, qXG, qXF","25, 25, 18, 15","0, 18.4, 41.4, 92, 92","0.1, 0.06, 0.04, 0, 0",0.2,ok,,37.37312634195484,0.08620895079374788,2.5348332077589006e-06,394503.27419535466,48007.89998074457,14.622470405854068,28.65378293831764,15.167289544593318,150.37824465251265,55.611688446397395,1.0150007833300498,5.435218926410946e-06,183985.22921326608,253966.2487784256,1.2240039768417637,72.16117894725431,38.62438726882613,1412.0613671226872,0.5159973092522414,0.4840026907477586,0.5482104139910597,0.45178958600894026,0.709908350404415,0.290091649595585,0.40862797545076124,0.290091649595585
cool_start_hot_finish,manual,25026,"mu0, qN, betaG0, betaF0, qEG, qEF, iG, qXG, qXF","15, 15, 22, 25","9.2, 32.2, 64.4, 92, 92","0.06, 0.07, 0.06, 0, 0",0.19,ok,,39.607007417799984,0.17182803127991794,6.635556659872779e-06,150703.25690191193,36578.92451192595,7.961101908054838,14.1207484596596,7.861137223425743,194.09173578502984,55.656796605692904,1.0782620154062026,6.068517062895617e-06,164784.90373113428,242537.27330960697,1.2604988296692798,57.62814446859628,31.31823494765856,1455.7748582552044,0.5231576802439047,0.47684231975609526,0.5653932995386691,0.4346067004613309,0.7653026290990401,0.23469737090095988,0.38204879703946204,0.23469737090095988
alternating_extremes,manual,25026,"mu0, qN, betaG0, betaF0, qEG, qEF, iG, qXG, qXF","25, 15, 25, 15","0, 18.4, 41.4, 64.4, 92","0.05, 0.05, 0.05, 0.05, 0",0.2,ok,,37.96580917130427,0.1358430534453775,5.223225999383253e-06,191452.56209822776,36384.41167320487,10.640600348796223,20.397851340298512,10.488074118596263,191.05567790417348,55.16536324861083,0.9525210903733861,5.318627335983385e-06,188018.43724497486,242342.76047088584,1.280799454007537,63.9052473492352,33.94517184282908,1452.738800374348,0.6138066475220505,0.3861933524779495,0.5410453283765851,0.45895467162341486,0.6583016570999412,0.34169834290005885,0.39561545566714107,0.34169834290005885
late_identification,manual,25026,"mu0, qN, betaG0, betaF0, qEG, qEF, iG, qXG, qXF","18, 22, 25, 25","23, 50.6, 82.8, 92, 92","0.06, 0.07, 0.06, 0, 0",0.19,ok,,33.11730739341081,0.03686468576960061,1.4429567010161006e-06,693021.4879599786,32901.0548725806,31.88550234294882,17.72073496437553,9.479470362798946,167.16011744472368,53.58442754539432,0.8640179702721466,4.8358117208910165e-06,206790.51578454472,238859.40367026164,1.479666217450008,61.22813097331221,32.93656808703176,1428.8432399148983,0.6099875731666692,0.3900124268333308,0.6777141888275862,0.32228581117241384,0.8269080447789615,0.17309195522103848,0.29513006440892775,0.17309195522103848
early_biomass_boost,manual,25026,"mu0, qN, betaG0, betaF0, qEG, qEF, iG, qXG, qXF","23, 25, 20, 18","0, 9.2, 23, 46, 92","0.08, 0.06, 0.04, 0.02, 0",0.2,ok,,36.26926774011322,0.050039750377860105,1.4910381770560286e-06,670673.6389368944,45650.59196972095,23.222938791688485,28.885657863767907,15.421825953803541,147.5917765251794,55.0204924255746,0.9525667814431851,5.117170449756097e-06,195420.49846075845,251608.94076740197,1.2927035698670148,72.39305387270458,38.87892367803636,1409.2748989953539,0.5423374206618289,0.4576625793381711,0.5821482589822733,0.4178517410177267,0.7424985253765846,0.25750147462341544,0.3776719316597711,0.25750147462341544
low_temp_growth_separation,manual,25026,"mu0, qN, betaG0, betaF0, qEG, qEF, iG, qXG, qXF","15, 17, 20, 22","0, 32.2, 64.4, 92, 92","0.07, 0.07, 0.06, 0, 0",0.2,ok,,40.941764777785764,0.3987237566873808,1.5809820297017213e-05,63251.82584071919,35522.748064804924,4.30856697101494,14.478956395900724,7.97517184329925,163.96353442851262,56.258222514641005,1.7469020804872404,9.884760784068582e-06,101165.82705893248,241481.09686248598,0.916458478617721,57.986352404837405,31.432269567532067,1425.646656898687,0.44286474538950665,0.5571352546104933,0.3900082640685739,0.6099917359314261,0.4207246922682747,0.5792753077317253,0.5821340994245483,0.5571352546104933
high_temp_inhibition_probe,manual,25026,"mu0, qN, betaG0, betaF0, qEG, qEF, iG, qXG, qXF","25, 25, 25, 22","0, 23, 46, 92, 92","0.07, 0.07, 0.06, 0, 0",0.2,ok,,36.68989157132499,0.0872058802181276,2.5756365600357245e-06,388253.5352682406,46800.922173821025,14.940025712050492,31.152509300332003,17.263986457859033,124.52558728337598,55.41760751698887,0.9776460353609205,5.2636496212881405e-06,189982.25032981508,252759.27097150206,1.2489068010382227,74.65990530926868,40.72108418209185,1386.2087097535505,0.5348348610101019,0.4651651389898981,0.5567991461223288,0.44320085387767116,0.7065449038775833,0.2934550961224167,0.40060702966332873,0.2934550961224167
