batch,batch_logdet,batch_min_eigenvalue,batch_min_relative_eigenvalue,batch_condition_number,batch_trace,batch_trace_inv,batch_diag_qXG,batch_diag_qXF,batch_diag_iG
25026,27.20862213751387,0.005026799970383808,1.9572173071913903e-07,5109294.692652199,30915.387602016104,268.11727078844996,6.6679682885731815,4.132420079307895,252.11057955956383
25086,38.63771424808375,0.09947567934398166,2.809358758277147e-06,355953.11458663794,43141.12174173051,17.1540636076085,7.585258614848424,3.9009074438375575,339.8481771300779
25150,32.42452489724731,0.05353949062405904,1.930527842472535e-06,517993.04728972155,32841.17676158833,30.35801491868219,5.526008517155525,3.1577321785628962,230.5014668063715
25170,44.53936942511904,0.10682966477925984,1.3892438673857525e-06,719816.026168089,101317.0185250136,16.130057299176563,23.728160588359554,12.26603802252447,439.22289897416135
