candidate,family,batch_template,parameters,temperature_c,pulse_times_h,pulse_amounts_kg_m3,total_pulse_kg_m3,status,error,new_logdet,new_min_eigenvalue,new_min_relative_eigenvalue,new_condition_number,new_trace,new_trace_inv,new_diag_iG,combined_logdet,combined_min_eigenvalue,combined_min_relative_eigenvalue,combined_condition_number,combined_trace,combined_trace_inv,combined_diag_iG,posterior_var_ratio_iG,posterior_var_reduction_iG,weak_mean_var_reduction,weak_worst_var_reduction
lhs_07,lhs,25170,"mu0, qN, betaG0, betaF0, qEG, qEF, iG","22.4, 24.3, 21.3, 22.4","126, 140, 219, 248, 248","0.1, 0.03815, 0.04088, 0, 0",0.17903000000000002,ok,,44.12054223928251,15.79374111953945,0.000195225611614987,5122.278740620078,98832.4839497845,0.11061418416580483,208.40594845680826,54.40232174066274,76.02822495135695,0.00033981804006731565,2942.7513612929633,304723.86825373233,0.02172599669984699,1470.089070926983,0.20248142177464248,0.7975185782253575,0.7975185782253575,0.7975185782253575
low_temp_growth_separation,manual,25026,"mu0, qN, betaG0, betaF0, qEG, qEF, iG","15, 17, 20, 22","0, 32.2, 64.4, 92, 92","0.07, 0.07, 0.06, 0, 0",0.2,ok,,42.21930786868988,5.479987302307479,0.00021735171103765948,4600.837947057776,35500.29393656573,0.2491392182981214,163.96353442851262,54.389175359843705,27.514685211657486,0.00015573017905199627,6421.362937405427,241391.67824051357,0.04382787485986202,1425.646656898687,0.6092244389627589,0.3907755610372411,0.3907755610372411,0.3907755610372411
hot_start_cool_finish,manual,25085,"mu0, qN, betaG0, betaF0, qEG, qEF, iG","25, 25, 18, 15","0, 28.8, 64.8, 144, 144","0.1, 0.06, 0.04, 0, 0",0.2,ok,,34.40114033111295,0.3207136243998575,8.974242392922299e-06,111430.01896056077,42514.93458304051,3.5040840316609154,39.68973697819585,53.038004254499,20.72786698430381,0.00011542368303046786,8663.733245594274,248406.31888698836,0.056659212640384565,1301.3728594483705,0.8248027832775404,0.17519721672245958,0.17519721672245958,0.17519721672245958
early_biomass_boost,manual,25085,"mu0, qN, betaG0, betaF0, qEG, qEF, iG","23, 25, 20, 18","0, 14.4, 36, 72, 144","0.08, 0.06, 0.04, 0.02, 0",0.2,ok,,34.81261057538306,0.39981316413794404,1.1281125509007678e-05,88643.63748116503,42119.488368039965,2.81723835627256,43.32441022223605,52.95950353496392,20.613466715954296,0.00011481625021844837,8709.56853317722,248010.8726719878,0.05709085559166254,1305.0075326924107,0.8320230708198677,0.1679769291801323,0.1679769291801323,0.1679769291801323
ramp_down_frontload,manual,25085,"mu0, qN, betaG0, betaF0, qEG, qEF, iG","25, 22, 18, 15","0, 21.6, 50.4, 93.6, 144","0.08, 0.06, 0.04, 0.02, 0",0.2,ok,,34.06017418446229,0.32815097603637916,9.270773893806817e-06,107865.86011638501,41835.55519695339,3.424498613650473,42.01683315910536,52.78170059358003,20.605679023343964,0.00011465160876666812,8722.075605891743,247726.93950090124,0.057194638309161216,1303.6999556292799,0.8321421366869972,0.1678578633130028,0.1678578633130028,0.1678578633130028
