candidate,family,temperature_c,pulse_time_fractions,pulse_amounts
constant_20_split,manual,"20, 20, 20, 20","0.0, 0.25, 0.5, 0.75, 1.0","0.04, 0.04, 0.04, 0.04, 0.04"
ramp_up_staggered,manual,"15, 18, 22, 25","0.05, 0.3, 0.6, 0.85","0.05, 0.06, 0.06, 0.03"
ramp_down_frontload,manual,"25, 22, 18, 15","0.0, 0.15, 0.35, 0.65","0.08, 0.06, 0.04, 0.02"
hot_start_cool_finish,manual,"25, 25, 18, 15","0.0, 0.2, 0.45","0.1, 0.06, 0.04"
cool_start_hot_finish,manual,"15, 15, 22, 25","0.1, 0.35, 0.7","0.06, 0.07, 0.06"
alternating_extremes,manual,"25, 15, 25, 15","0.0, 0.2, 0.45, 0.7","0.05, 0.05, 0.05, 0.05"
late_identification,manual,"18, 22, 25, 25","0.25, 0.55, 0.9","0.06, 0.07, 0.06"
early_biomass_boost,manual,"23, 25, 20, 18","0.0, 0.1, 0.25, 0.5","0.08, 0.06, 0.04, 0.02"
low_temp_growth_separation,manual,"15, 17, 20, 22","0.0, 0.35, 0.7","0.07, 0.07, 0.06"
high_temp_inhibition_probe,manual,"25, 25, 25, 22","0.0, 0.25, 0.5","0.07, 0.07, 0.06"
lhs_01,lhs,"15.0, 15.0, 18.0, 21.0","0.2775, 0.2882, 0.3024, 0.6091","0.04402, 0.00686, 0.05471, 0.09255"
lhs_02,lhs,"23.072, 15.597, 19.605, 16.068","0.0839, 0.314, 0.5624, 0.7331, 0.8379","0.05787, 0.00876, 0.06168, 0.02692, 0.01667"
lhs_03,lhs,"16.434, 19.368, 18.111, 20.619","0.1801, 0.5795, 0.6096","0.0046, 0.01083, 0.15634"
lhs_04,lhs,"20.263, 21.142, 23.97, 21.806","0.1562, 0.4282, 0.6694, 0.7184","0.02732, 0.04868, 0.04097, 0.00337"
lhs_05,lhs,"18.0, 25.0, 18.0, 21.0","0.2765, 0.7002, 0.7781","0.04927, 0.08084, 0.02387"
lhs_06,lhs,"21.261, 17.42, 23.911, 15.038","0.0768, 0.2183, 0.2989, 0.534","0.01482, 0.05276, 0.04318, 0.02427"
lhs_07,lhs,"22.361, 24.284, 21.265, 22.431","0.508, 0.5628, 0.8814","0.11809, 0.03815, 0.04088"
lhs_08,lhs,"21.008, 18.207, 23.49, 21.736","0.0982, 0.1401, 0.4892, 0.9499","0.06485, 0.0193, 0.0369, 0.01056"
lhs_09,lhs,"15.0, 21.0, 15.0, 15.0","0.521, 0.6137, 0.7889, 0.9849","0.01368, 0.00867, 0.04164, 0.0868"
lhs_10,lhs,"21.961, 15.833, 22.564, 24.977","0.1307, 0.4742, 0.5765, 0.6295, 0.7712","0.03381, 0.01342, 0.01535, 0.04846, 0.08867"
lhs_11,lhs,"21.812, 23.306, 18.59, 23.389","0.5201, 0.6087, 0.662, 0.6654","0.03328, 0.0054, 0.01148, 0.12064"
lhs_12,lhs,"21.569, 19.814, 20.001, 16.943","0.0321, 0.2977, 0.4534","0.08672, 0.05874, 0.02913"
