,mu0,qN,betaG0,betaF0,qEG,qEF,iG
mu0,44854.94115058581,-38447.90030566064,32638.56615223838,20711.79485519594,-14213.530495117875,-2436.6941568343004,-7052.270798193127
qN,-38447.90030566064,34797.37322740806,-27311.46482369396,-17358.861947121357,11607.810798833638,1176.7534782650653,6181.991936081917
betaG0,32638.56615223838,-27311.46482369396,51363.59385853076,35670.61537576763,-38236.74496232604,-20285.671465586012,-5478.1411934028165
betaF0,20711.79485519594,-17358.861947121357,35670.61537576763,25312.312265283592,-27483.475055873223,-15343.460634174422,-3435.6004369086495
qEG,-14213.530495117875,11607.810798833638,-38236.74496232604,-27483.475055873223,34054.776664695586,18766.780478898192,2749.3467443535037
qEF,-2436.6941568343004,1176.7534782650653,-20285.671465586012,-15343.460634174422,18766.780478898192,14246.704014973871,161.90504230860287
iG,-7052.270798193127,6181.991936081917,-5478.1411934028165,-3435.6004369086495,2749.3467443535037,161.90504230860287,1261.6831224701746
