,mu0,qN,betaG0,betaF0,qEG,qEF,iG,qXG,qXF
mu0,14693.110278413758,-5017.512582670169,7027.230236986548,3770.8091020207085,-2549.556070361621,-641.5383846283703,-1223.3871176253651,-148.21383091742973,-55.13369081086511
qN,-5017.512582670169,6083.42254086136,-4451.643322694645,-2472.047345744946,1780.3336505805648,359.4420780687056,779.7526772965844,107.54653898126361,33.56026845315914
betaG0,7027.230236986548,-4451.643322694645,7288.874838353235,4147.3537382803715,-4535.469429917406,-1909.559697652544,-751.8376130423551,-272.94582389707915,-151.69025989179767
betaF0,3770.8091020207085,-2472.047345744946,4147.3537382803715,2420.881324408669,-2670.2722972072033,-1209.1946553226737,-384.3982575861105,-159.8849073181638,-94.83398066248978
qEG,-2549.556070361621,1780.3336505805648,-4535.469429917406,-2670.2722972072033,3768.782981556731,1580.8818082118069,279.81737828144924,228.97922051250083,120.64849972134971
qEF,-641.5383846283703,359.4420780687056,-1909.559697652544,-1209.1946553226737,1580.8818082118069,1081.2584385434634,-13.963600780762135,94.63747317636114,85.97590199338686
iG,-1223.3871176253651,779.7526772965844,-751.8376130423551,-384.3982575861105,279.81737828144924,-13.963600780762135,163.96353442851262,16.837006517648454,-2.69303200344097
qXG,-148.21383091742973,107.54653898126361,-272.94582389707915,-159.8849073181638,228.97922051250083,94.63747317636114,16.837006517648454,14.478956395900724,7.357187098139213
qXF,-55.13369081086511,33.56026845315914,-151.69025989179767,-94.83398066248978,120.64849972134971,85.97590199338686,-2.69303200344097,7.357187098139213,7.97517184329925
