t,temperature_c,N_pulse,N_pulse_rate,X,N,G,F,E,mu,beta_G,beta_F,growth_factor,glucose_ferm_factor,fructose_ferm_factor,qN_growth,qXG_growth,qXF_growth,qEG_ferm,qEF_ferm,Kn,Kg,Kf,Kig,Kie,iG_T,iE_T,Kd,maintenance,Td_K,Kn0,Kg0,Kf0,Kig0,Kie0,Yxn,Yxg,Yxf,Yeg,Yef,candidate,batch_template,status,termination
0.0,22.4,0.0,0.0,0.41250000000000003,0.13942000000000002,65.64,74.52,6.560922561112442,0.10209885748638381,0.27813860247596756,0.10406940865153276,0.6510140762669248,0.7040778911252548,0.3670932681161298,0.008733585148119664,0.07323908358002898,0.07323908358002898,0.36180110008514627,0.184375667309712,0.010157784402346992,15.351835173604712,11.017077496515496,61.82263174183593,46.63381912922951,0.016175306224035933,0.02144366510555024,0.0,0.011248381443179776,315.2335400046001,0.008712805077532427,13.167984488735446,9.449860811086884,53.028152440627586,40.0,11.690371795180313,1.3940488124051895,1.3940488124051895,0.7687610745531466,0.5644422074238149,lhs_07,25170,ok,optimal
3.0,22.4,0.0,0.0,0.592448221577667,0.12402714300160224,64.86797964672776,74.05493976931928,7.231644977556132,0.10124554069086736,0.27405703217001975,0.10331626505955825,0.6455730629287463,0.6937458358552946,0.36443663783331165,0.008660592020914912,0.07262696957948389,0.07262696957948389,0.35649181682269665,0.18304135250818088,0.010157784402346992,15.351835173604712,11.017077496515496,61.82263174183593,46.63381912922951,0.016175306224035933,0.02144366510555024,0.0,0.011248381443179776,315.1835072749756,0.008712805077532427,13.167984488735446,9.449860811086884,53.028152440627586,40.0,11.690371795180313,1.3940488124051895,1.3940488124051895,0.7687610745531466,0.5644422074238149,lhs_07,25170,ok,optimal
6.0,22.4,0.0,0.0,0.8451001051553939,0.10241517994950014,63.78805081439598,73.39896244586623,8.171696674033194,0.09965363157731254,0.26848639373152144,0.10229875181610255,0.6354225552093039,0.679644365117021,0.3608474729986934,0.008524419353231996,0.07148503746104663,0.07148503746104663,0.34924556226729225,0.18123866442059125,0.010157784402346992,15.351835173604712,11.017077496515496,61.82263174183593,46.63381912922951,0.016175306224035933,0.02144366510555024,0.0,0.011248381443179776,315.11747763170615,0.008712805077532427,13.167984488735446,9.449860811086884,53.028152440627586,40.0,11.690371795180313,1.3940488124051895,1.3940488124051895,0.7687610745531466,0.5644422074238149,lhs_07,25170,ok,optimal
9.0,22.4,0.0,0.0,1.1878066105609564,0.07309990143342603,62.31337374572095,72.49415592151756,9.461943095873332,0.09617348546930278,0.2611123038599325,0.10096864163191642,0.6132320610200613,0.6609776514730382,0.35615565721157405,0.00822672598907017,0.06898860686475684,0.06898860686475684,0.33965338842332493,0.1788821606604332,0.010157784402346992,15.351835173604712,11.017077496515496,61.82263174183593,46.63381912922951,0.016175306224035933,0.02144366510555024,0.0,0.011248381443179776,315.033795245527,0.008712805077532427,13.167984488735446,9.449860811086884,53.028152440627586,40.0,11.690371795180313,1.3940488124051895,1.3940488124051895,0.7687610745531466,0.5644422074238149,lhs_07,25170,ok,optimal
12.0,22.4,0.0,0.0,1.602464130397901,0.03762989869693499,60.41579286705823,71.32150191340358,11.150503289804337,0.086254144886218,0.2519181175843317,0.09932431418057903,0.549983259751789,0.6377035599736495,0.35035547495065933,0.007378220846815045,0.06187311672207621,0.06187311672207621,0.32769364360801273,0.17596897055928484,0.010157784402346992,15.351835173604712,11.017077496515496,61.82263174183593,46.63381912922951,0.016175306224035933,0.02144366510555024,0.0,0.011248381443179776,314.9344475155308,0.008712805077532427,13.167984488735446,9.449860811086884,53.028152440627586,40.0,11.690371795180313,1.3940488124051895,1.3940488124051895,0.7687610745531466,0.5644422074238149,lhs_07,25170,ok,optimal
15.0,22.4,0.0,0.0,1.9212551267844549,0.010360364271127045,58.34383136444095,70.06192405198288,13.10684849244228,0.05530950261634484,0.24192768082677688,0.09749369973573359,0.35267059437334863,0.6124138462084154,0.3438981860323657,0.00473120133263407,0.03967544186700169,0.03967544186700169,0.31469814072909563,0.17272574313800354,0.010157784402346992,15.351835173604712,11.017077496515496,61.82263174183593,46.63381912922951,0.016175306224035933,0.02144366510555024,0.0,0.011248381443179776,314.8302406518026,0.008712805077532427,13.167984488735446,9.449860811086884,53.028152440627586,40.0,11.690371795180313,1.3940488124051895,1.3940488124051895,0.7687610745531466,0.5644422074238149,lhs_07,25170,ok,optimal
18.0,22.4,0.0,0.0,2.0213115247326736,0.0018014921118554386,56.40769935282239,68.92473954594088,15.096720164332064,0.016500243649089592,0.23246701691770646,0.09568158817388982,0.10521068640580843,0.588465195303985,0.3375061639766273,0.001411438741058029,0.011836202220653439,0.011836202220653439,0.3023917633353526,0.16951529654487144,0.010157784402346992,15.351835173604712,11.017077496515496,61.82263174183593,46.63381912922951,0.016175306224035933,0.02144366510555024,0.0,0.011248381443179776,314.7318223954827,0.008712805077532427,13.167984488735446,9.449860811086884,53.028152440627586,40.0,11.690371795180313,1.3940488124051895,1.3940488124051895,0.7687610745531466,0.5644422074238149,lhs_07,25170,ok,optimal
21.0,22.4,0.0,0.0,2.039128052615835,0.00027745780855387164,54.58362729837953,67.8549849951093,17.040700943752253,0.002912442217409147,0.2237700202789292,0.09400972499445125,0.018570637581329166,0.5664496857772813,0.331608852496381,0.0002491317015776935,0.0020891967278995295,0.0020891967278995295,0.29107875995022087,0.16655332248012322,0.010157784402346992,15.351835173604712,11.017077496515496,61.82263174183593,46.63381912922951,0.016175306224035933,0.02144366510555024,0.0,0.011248381443179776,314.6385460166441,0.008712805077532427,13.167984488735446,9.449860811086884,53.028152440627586,40.0,11.690371795180313,1.3940488124051895,1.3940488124051895,0.7687610745531466,0.5644422074238149,lhs_07,25170,ok,optimal
24.0,22.4,0.0,0.0,2.0418822110666413,4.186579663922044e-05,52.83206881795373,66.81075540387508,18.928933074418687,0.0004496110556248368,0.21575517286261314,0.0924950811485389,0.002866859955764302,0.5461609634771896,0.3262661147348,3.845994494462543e-05,0.0003225217450234837,0.0003225217450234837,0.2806530923642615,0.16386988770860714,0.010157784402346992,15.351835173604712,11.017077496515496,61.82263174183593,46.63381912922951,0.016175306224035933,0.02144366510555024,0.0,0.011248381443179776,314.54644934176514,0.008712805077532427,13.167984488735446,9.449860811086884,53.028152440627586,40.0,11.690371795180313,1.3940488124051895,1.3940488124051895,0.7687610745531466,0.5644422074238149,lhs_07,25170,ok,optimal
27.0,22.4,0.0,0.0,2.0422980195895315,6.2973562731382495e-06,51.14128978306614,65.78260462596953,20.7636517367343,6.78661189984616e-05,0.2083310357487058,0.09112226713480596,0.00043273548654055097,0.5273675606339568,0.32142366593695704,5.805300309305931e-06,4.868274223581194e-05,4.868274223581194e-05,0.27099581735430767,0.1614377272576752,0.010157784402346992,15.351835173604712,11.017077496515496,61.82263174183593,46.63381912922951,0.016175306224035933,0.02144366510555024,0.0,0.011248381443179776,314.4516804610727,0.008712805077532427,13.167984488735446,9.449860811086884,53.028152440627586,40.0,11.690371795180313,1.3940488124051895,1.3940488124051895,0.7687610745531466,0.5644422074238149,lhs_07,25170,ok,optimal
