,mu0,qN,betaG0,betaF0,qEG,qEF,iG,qXG,qXF
mu0,44854.94115058581,-38447.90030566064,32638.56615223838,20711.79485519594,-14213.530495117875,-2436.6941568343004,-7052.270798193127,-498.181758031366,-144.4497277064112
qN,-38447.90030566064,34797.37322740806,-27311.46482369396,-17358.861947121357,11607.810798833638,1176.7534782650653,6181.991936081917,408.2725970444164,92.36996088689992
betaG0,32638.56615223838,-27311.46482369396,51363.59385853076,35670.61537576763,-38236.74496232604,-20285.671465586012,-5478.1411934028165,-1332.8431163338569,-777.4258698890991
betaF0,20711.79485519594,-17358.861947121357,35670.61537576763,25312.312265283592,-27483.475055873223,-15343.460634174422,-3435.6004369086495,-947.1543015529431,-577.9589748049787
qEG,-14213.530495117875,11607.810798833638,-38236.74496232604,-27483.475055873223,34054.776664695586,18766.780478898192,2749.3467443535037,1188.7623291567504,688.0796045751847
qEF,-2436.6941568343004,1176.7534782650653,-20285.671465586012,-15343.460634174422,18766.780478898192,14246.704014973871,161.9050423086029,644.9994101119323,531.8574413452902
iG,-7052.270798193127,6181.991936081917,-5478.1411934028165,-3435.6004369086495,2749.3467443535037,161.9050423086029,1261.6831224701746,96.512318863396,3.8175069481207684
qXG,-498.181758031366,408.2725970444164,-1332.8431163338569,-947.1543015529431,1188.7623291567504,644.9994101119323,96.512318863396,43.50739600893668,24.544210238577417
qXF,-144.4497277064112,92.36996088689992,-777.4258698890991,-577.9589748049787,688.0796045751847,531.8574413452902,3.8175069481207684,24.544210238577417,23.457097724232817
