analysis,direction,eigenvalue,relative_eigenvalue
current_prior,1,1.2200014821341018e-05,8.106859559788459e-11
current_prior,2,0.03533853411665553,2.3482310253540273e-07
current_prior,3,0.15514647958842645,1.0309419616596079e-06
current_prior,4,0.3669717664584231,2.4385122613801187e-06
current_prior,5,0.640001,4.252780263879932e-06
current_prior,6,0.640001,4.252780263879932e-06
current_prior,7,0.640001,4.252780263879932e-06
current_prior,8,0.640001,4.252780263879932e-06
current_prior,9,0.640001,4.252780263879932e-06
current_prior,10,0.640001,4.252780263879932e-06
current_prior,11,0.6504705957167752,4.322350295856606e-06
current_prior,12,1.7777787777777776,1.1813266697517535e-05
current_prior,13,1.7777787777777776,1.1813266697517535e-05
current_prior,14,1.7777787777777776,1.1813266697517535e-05
current_prior,15,12.953745658803005,8.607710594370598e-05
current_prior,16,75.09912353915688,0.0004990305802991046
current_prior,17,294.13356519371,0.001954505416398492
current_prior,18,330.4411979950278,0.002195768139746805
current_prior,19,350.6458084359831,0.0023300269432841077
current_prior,20,576.1884867747884,0.0038287487438779994
current_prior,21,638.1967890059253,0.004240791356194669
current_prior,22,986.3334417844861,0.006554145063563695
current_prior,23,1880.99572994554,0.012499139090024577
current_prior,24,6288.023305819675,0.04178365567211139
current_prior,25,7922.2949195966685,0.05264332318027154
current_prior,26,8841.883071504273,0.05875394854387329
current_prior,27,19715.69330444304,0.13100996931855588
current_prior,28,22741.705673541674,0.151117696777668
current_prior,29,34336.4088183566,0.22816402123624777
current_prior,30,58979.11888010931,0.39191381381334894
current_prior,31,150490.02306460784,1.0
