,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS,kPyrD,kAldPyr,kAldS,kAcAld,kAcStress,qO2,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,131630.60991260718,-76060.13588544287,-20001.607162489945,-8038.671924752177,71142.20572554953,73921.95552280797,-14173.563796801376,-67514.18562182176,144.04543138530295,10607.185482722489,111.92023117605044,502.5492501325401,270.6619053177744,887.1363568740794,12914.442847346085,-3020.6313503346432,2128.950075564901,4247.649748918844,1397.4451893511632,8896.844741327666,1102.536146562337,10110.714262794587,1156.0859070066138,9983.518229564963,-620.6424870855515,-691.9189836674042,-745.2089715450696
qN,-76060.13588544287,70766.14216509777,14496.056820108839,6341.898156734271,-44794.661325923815,-52783.35119785469,9665.870525173246,45366.92368163583,1.8342659432184405,-5917.287076096782,-62.34592586094038,-193.43108987336112,-294.47205624536304,-691.7583879611873,-9490.385181319925,2262.584789862372,-1759.941356146735,-3347.5063517670155,-85.44136117712026,-1999.1052537489675,34.8876398014664,-1340.131370150009,17.86130109510314,-1490.8921015812855,139.90063799146046,82.43647550208742,88.16566803952787
betaG0,-20001.607162489945,14496.056820108839,78902.14185312048,46587.997835333095,-81803.26951413936,-57162.54169513897,1387.540344412454,13251.461744993854,4020.136292314414,-7612.04740946945,-84.86666980500922,-574.4268980296275,100.20639267984458,-354.53558815340443,-6515.795141926665,1956.4232314472836,38.28647858930015,-1681.059686498739,-696.6141250771038,-6831.075806574212,-500.5808810717095,-7110.975622508871,-500.4677200903605,-6560.806836701213,495.1411851798889,504.5518891627438,492.43556458001575
betaF0,-8038.671924752177,6341.898156734271,46587.997835333095,31932.272718279844,-42630.61328977507,-40745.80086704093,1174.1329742972712,4690.660533639453,2798.942704688827,-2092.7262013686122,-23.798331247750905,-283.1607853049607,51.46080150336206,-226.9533135155884,-3544.258784163629,1106.085570268582,43.83654156855127,-1210.946849878181,-413.1242692351334,-4089.8302820195,-303.8388801873068,-4332.803306117805,-306.3623055593601,-4052.4327965143116,309.0983860255665,324.30427633777447,327.2902909683798
qEG,71142.20572554953,-44794.661325923815,-81803.26951413936,-42630.61328977507,180500.0477108753,63018.823677767774,-3840.472256000915,-48967.83054518952,-3261.2122628440466,-25696.75466764882,-405.9982455935371,1224.336441634645,-261.3506037973551,415.7294811332911,11188.761476849202,-2772.6252520791963,619.2771055041851,825.6813159959096,1173.14167672429,10826.235322472832,823.543749554317,11204.193114538177,853.2147731858247,10729.654519173067,-727.7942484051548,-734.9680129359538,-748.2168355844753
qEF,73921.95552280797,-52783.35119785469,-57162.54169513897,-40745.80086704093,63018.823677767774,131543.750594243,-19661.578080521864,-52975.74228094989,-2596.5711910505074,-377.58675531121185,-6.248858103410594,1188.3772170288667,-445.3101456851272,548.6365048253192,10413.472966059928,-2849.4884752056378,411.0932102894785,2106.6124432738065,1092.7822585106876,10019.470377488798,804.7873333714184,10761.077319159156,835.7701622260633,10414.834159130141,-706.8173016804875,-748.4491815968646,-779.8928491840634
iG,-14173.563796801376,9665.870525173246,1387.540344412454,1174.1329742972712,-3840.472256000915,-19661.578080521864,5153.791069670445,10493.693131535576,-98.82418890625414,698.5453309443209,7.531852260975816,-160.12497697796934,40.6344115004211,-23.268656153825837,-1197.6702552059648,238.04695737805676,-134.53961465839123,147.51371475035393,-120.62716518423586,-1020.706859192376,-82.58568472727512,-1047.05393786817,-89.07415060447958,-1047.4167272381999,58.25892635171554,56.906905265102864,60.84375557225651
iE,-67514.18562182176,45366.92368163583,13251.461744993854,4690.660533639453,-48967.83054518952,-52975.74228094989,10493.693131535576,50225.906063647926,-450.39381535799987,-7536.943010867566,-82.24528016856758,-894.3885975221255,387.0346484198268,-299.3142139264262,-6641.6286753033,1738.6909062424625,-465.130411002433,-800.8860056874939,-668.542344311061,-6411.070976627353,-505.4466533131977,-7092.550062040597,-534.524011820805,-7039.39342123067,434.1034328393626,475.7334857313152,510.8543316462569
Kd0,144.04543138530295,1.8342659432184405,4020.136292314414,2798.942704688827,-3261.2122628440466,-2596.5711910505074,-98.82418890625414,-450.39381535799987,1800.1294834034748,-35.62809607299613,-0.6034152422420166,49.2676570287216,-68.43054053878076,-38.65438604415679,-439.05396809626967,73.64017200645539,-216.35393030489035,-178.15042831055374,-19.251127059025606,-216.2497436253162,-15.388489309635762,-248.4022683662044,-16.112075381039023,-246.16906176564171,18.719839275320105,21.13678777259928,22.35976734868683
gammaG0,10607.185482722489,-5917.287076096782,-7612.04740946945,-2092.7262013686122,-25696.75466764882,-377.58675531121185,698.5453309443209,-7536.943010867566,-35.62809607299613,49271.311508899635,659.1112753347095,-0.0404488869917624,0.0351377062109055,-0.0777925100266193,-0.7028283275705397,0.1971616752241975,-0.0318098746607271,-0.35792090108357566,-0.0121144705197339,-0.54622542257198,-0.006642471850986599,-0.554561148939122,-0.0023291987614632,-0.45475949744492294,0.041402501478348994,0.04238945412417,0.0341323658559337
gammaF0,111.92023117605044,-62.34592586094038,-84.86666980500922,-23.798331247750905,-405.9982455935371,-6.248858103410594,7.531852260975816,-82.24528016856758,-0.6034152422420166,659.1112753347095,9.794666487024509,-0.0032553158660752948,0.002931310967539986,8.079553981772333e-05,0.0019722683637703395,-0.00065112630583115,0.002851553436399518,0.0018537831684789195,-0.00028637786360284395,0.003226624818532334,-0.00022740088444648664,0.0036666658341665843,-0.00024346170145060934,0.003564856045333171,-0.00026684572553422627,-0.00038188788690997236,-0.0004689287885194833
kPyrS,502.5492501325401,-193.43108987336112,-574.4268980296275,-283.1607853049607,1224.336441634645,1188.3772170288667,-160.12497697796934,-894.3885975221255,49.2676570287216,-0.0404488869917624,-0.0032553158660752948,6975.628039632194,-5139.911391968493,439.51950768884075,3870.5154694109406,-2025.233183223562,34.879326381803025,1043.1199621215883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kPyrD,270.6619053177744,-294.47205624536304,100.20639267984458,51.46080150336206,-261.3506037973551,-445.3101456851272,40.6344115004211,387.0346484198268,-68.43054053878076,0.0351377062109055,0.002931310967539986,-5139.911391968493,5045.576846287576,-371.85320552844877,-2729.490345126446,1687.5563720869345,-10.244248294817892,-541.314607584262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldPyr,887.1363568740794,-691.7583879611873,-354.53558815340443,-226.9533135155884,415.7294811332911,548.6365048253192,-23.268656153825837,-299.3142139264262,-38.65438604415679,-0.0777925100266193,8.079553981772333e-05,439.51950768884075,-371.85320552844877,751.13018597842,6325.93081557055,-3701.88622645067,51.95135397356702,4587.295215980456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAldS,12914.442847346085,-9490.385181319925,-6515.795141926665,-3544.258784163629,11188.761476849202,10413.472966059928,-1197.6702552059648,-6641.6286753033,-439.05396809626967,-0.7028283275705397,0.0019722683637703395,3870.5154694109406,-2729.490345126446,6325.93081557055,69412.94947879695,-32728.259608417273,1346.354867654175,35334.02211299618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAld,-3020.6313503346432,2262.584789862372,1956.4232314472836,1106.085570268582,-2772.6252520791963,-2849.4884752056378,238.04695737805676,1738.6909062424625,73.64017200645539,0.1971616752241975,-0.00065112630583115,-2025.233183223562,1687.5563720869345,-3701.88622645067,-32728.259608417273,22461.586261264296,1077.3098729618064,-23373.773719701894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,2128.950075564901,-1759.941356146735,38.28647858930015,43.83654156855127,619.2771055041851,411.0932102894785,-134.53961465839123,-465.130411002433,-216.35393030489035,-0.0318098746607271,0.002851553436399518,34.879326381803025,-10.244248294817892,51.95135397356702,1346.354867654175,1077.3098729618064,4179.84860037381,-1734.6185504631096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qO2,4247.649748918844,-3347.5063517670155,-1681.059686498739,-1210.946849878181,825.6813159959096,2106.6124432738065,147.51371475035393,-800.8860056874939,-178.15042831055374,-0.35792090108357566,0.0018537831684789195,1043.1199621215883,-541.314607584262,4587.295215980456,35334.02211299618,-23373.773719701894,-1734.6185504631096,33375.4550471325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_growth,1397.4451893511632,-85.44136117712026,-696.6141250771038,-413.1242692351334,1173.14167672429,1092.7822585106876,-120.62716518423586,-668.542344311061,-19.251127059025606,-0.0121144705197339,-0.00028637786360284395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.4429309345669,3520.4830734739007,0.0,0.0,0.0,0.0,-253.7113262856709,0.0,0.0
k_EA_stationary,8896.844741327666,-1999.1052537489675,-6831.075806574212,-4089.8302820195,10826.235322472832,10019.470377488798,-1020.706859192376,-6411.070976627353,-216.2497436253162,-0.54622542257198,0.003226624818532334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3520.4830734739007,39718.28255536531,0.0,0.0,0.0,0.0,-2983.8434380217404,0.0,0.0
k_IAA_growth,1102.536146562337,34.8876398014664,-500.5808810717095,-303.8388801873068,823.543749554317,804.7873333714184,-82.58568472727512,-505.4466533131977,-15.388489309635762,-0.006642471850986599,-0.00022740088444648664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.72485744844516,2789.9922488828115,0.0,0.0,0.0,-200.19842527128873,0.0
k_IAA_stationary,10110.714262794587,-1340.131370150009,-7110.975622508871,-4332.803306117805,11204.193114538177,10761.077319159156,-1047.05393786817,-7092.550062040597,-248.4022683662044,-0.554561148939122,0.0036666658341665843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2789.9922488828115,45250.72657066301,0.0,0.0,0.0,-3435.8872730593507,0.0
k_EO_growth,1156.0859070066138,17.86130109510314,-500.4677200903605,-306.3623055593601,853.2147731858247,835.7701622260633,-89.07415060447958,-534.524011820805,-16.112075381039023,-0.0023291987614632,-0.00024346170145060934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.3516345980207,2911.0359595296204,0.0,0.0,-231.9931739086637
k_EO_stationary,9983.518229564963,-1490.8921015812855,-6560.806836701213,-4052.4327965143116,10729.654519173067,10414.834159130141,-1047.4167272381999,-7039.39342123067,-246.16906176564171,-0.45475949744492294,0.003564856045333171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2911.0359595296204,44685.38494988854,0.0,0.0,-3724.3792155870783
alpha_EA_loss,-620.6424870855515,139.90063799146046,495.1411851798889,309.0983860255665,-727.7942484051548,-706.8173016804875,58.25892635171554,434.1034328393626,18.719839275320105,0.041402501478348994,-0.00026684572553422627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-253.7113262856709,-2983.8434380217404,0.0,0.0,0.0,0.0,252.1385630343312,0.0,0.0
alpha_IAA_loss,-691.9189836674042,82.43647550208742,504.5518891627438,324.30427633777447,-734.9680129359538,-748.4491815968646,56.906905265102864,475.7334857313152,21.13678777259928,0.04238945412417,-0.00038188788690997236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.19842527128873,-3435.8872730593507,0.0,0.0,0.0,295.684111463339,0.0
alpha_EO_loss,-745.2089715450696,88.16566803952787,492.43556458001575,327.2902909683798,-748.2168355844753,-779.8928491840634,60.84375557225651,510.8543316462569,22.35976734868683,0.0341323658559337,-0.0004689287885194833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-231.9931739086637,-3724.3792155870783,0.0,0.0,359.14165147660555
