analysis,direction,eigenvalue,relative_eigenvalue
reduced_hybrid,1,0.9377248515749009,2.297610477759871e-06
reduced_hybrid,2,0.99262357985478,2.432123168875712e-06
reduced_hybrid,3,27.134422322772263,6.64846761094751e-05
reduced_hybrid,4,33.261051735293265,8.149612419887842e-05
reduced_hybrid,5,47.12400875235616,0.00011546309781767909
reduced_hybrid,6,156.91869074310762,0.00038448168180911963
reduced_hybrid,7,184.66295945400304,0.00045246060161792986
reduced_hybrid,8,293.88477699205185,0.00072007555493172
reduced_hybrid,9,467.41714217981917,0.0011452640095367533
reduced_hybrid,10,774.659706742098,0.001898068773499778
reduced_hybrid,11,1243.7431915748662,0.003047415650556277
reduced_hybrid,12,1497.6582350635786,0.0036695574903515085
reduced_hybrid,13,2281.50718326961,0.005590141714342696
reduced_hybrid,14,3479.485354843943,0.008525424057040579
reduced_hybrid,15,9993.790203356833,0.024486753278642883
reduced_hybrid,16,12601.353640774974,0.03087579699991502
reduced_hybrid,17,16391.096399571314,0.040161412770896396
reduced_hybrid,18,17202.391966311607,0.04214924661317112
reduced_hybrid,19,39719.68557895534,0.09732104849974321
reduced_hybrid,20,44741.62904722477,0.10962579856799068
reduced_hybrid,21,45506.21992634527,0.11149919673176598
reduced_hybrid,22,53160.44913288832,0.13025356502497337
reduced_hybrid,23,89123.83920577062,0.21837095010700844
reduced_hybrid,24,89740.72226689178,0.21988243504035976
reduced_hybrid,25,145830.61394092476,0.3573137109527275
reduced_hybrid,26,408130.47322502016,1.0
