analysis,parameter,theta,std_log_approx,approx_95_multiplier,active_bound,classification
reduced2_hybrid,mu0,0.0601697224171635,0.006294462631209021,1.012413563282839,False,well_estimated
reduced2_hybrid,qN,0.0146092346863683,0.0071973441228948614,1.014206764840103,False,well_estimated
reduced2_hybrid,betaG0,0.779853869422414,0.01608093366320752,1.032020601939609,False,well_estimated
reduced2_hybrid,betaF0,0.5108967442490071,0.02858813993748445,1.0576323251519197,False,well_estimated
reduced2_hybrid,qEG,1.5379361359484045,0.012659098707338343,1.0251222086826803,False,well_estimated
reduced2_hybrid,qEF,1.262713484739452,0.01778228170516441,1.0354677656855915,False,well_estimated
reduced2_hybrid,iG,0.0073666781875985,0.034305539630531984,1.0695509181129865,False,well_estimated
reduced2_hybrid,iE,0.0258618456174518,0.02429720263691781,1.0487746861551075,False,well_estimated
reduced2_hybrid,Kd0,0.0006690744222537,0.02563007856023359,1.051518125721262,False,well_estimated
reduced2_hybrid,gammaG0,0.0975070871956685,0.01839970158782328,1.0367215882221605,False,well_estimated
reduced2_hybrid,gammaF0,0.0013892430460828,1.0325601951691605,7.567161139612373,False,weak_but_actionable
reduced2_hybrid,kPyrS,0.3105557324575091,0.024318082715104366,1.0488176080883866,False,well_estimated
reduced2_hybrid,kPyrD,0.0053434401925797,0.029901192050717253,1.0603577343446067,False,well_estimated
reduced2_hybrid,kAldPyr,0.0022646643405813,0.16919979576761052,1.393239484118897,False,well_estimated
reduced2_hybrid,kAldS,1.2620397362713356,0.00912593945623185,1.0180477689443166,False,well_estimated
reduced2_hybrid,kAcAld,0.006626194154502,0.017030209992636557,1.0339425479024709,False,well_estimated
reduced2_hybrid,kAcStress,0.0019346883584667,0.01835224511461858,1.0366251623722067,False,well_estimated
reduced2_hybrid,qO2,0.0481677204427031,0.01805347455251729,1.0360183024335932,False,well_estimated
reduced2_hybrid,k_EA_growth,0.1,0.05883064352461422,1.1222190966101548,False,well_estimated
reduced2_hybrid,k_EA_stationary,0.28,0.016621636693416326,1.0331148943574164,False,well_estimated
reduced2_hybrid,k_IAA_growth,0.003,0.07975755628379465,1.1692059115617974,False,well_estimated
reduced2_hybrid,k_IAA_stationary,0.012,0.01539030433379814,1.0306245693663352,False,well_estimated
reduced2_hybrid,k_EO_growth,0.0008,0.07497857905229165,1.1583053304930295,False,well_estimated
reduced2_hybrid,k_EO_stationary,0.003,0.014319511251677014,1.0284638097195073,False,well_estimated
reduced2_hybrid,alpha_EA_loss,1.0,0.1912125035266943,1.4546662704294944,False,well_estimated
reduced2_hybrid,alpha_IAA_loss,1.0,0.172335877003794,1.4018297098444383,False,well_estimated
reduced2_hybrid,alpha_EO_loss,1.0,0.1448318248071809,1.3282607459487923,False,well_estimated
