analysis,parameter,theta,std_log_approx,approx_95_multiplier,active_bound,classification
reduced2_dopt,mu0,0.0601697224171635,0.006291586296404535,1.012407855699805,False,well_estimated
reduced2_dopt,qN,0.0146092346863683,0.0072910146111669115,1.0143929843700168,False,well_estimated
reduced2_dopt,betaG0,0.779853869422414,0.01571822703217232,1.0312871940594108,False,well_estimated
reduced2_dopt,betaF0,0.5108967442490071,0.028472524844596732,1.0573926869159795,False,well_estimated
reduced2_dopt,qEG,1.5379361359484045,0.012288054274211297,1.024376962562501,False,well_estimated
reduced2_dopt,qEF,1.262713484739452,0.017655315824357063,1.035210118354334,False,well_estimated
reduced2_dopt,iG,0.0073666781875985,0.03396261601307563,1.0688322820795733,False,well_estimated
reduced2_dopt,iE,0.0258618456174518,0.02388334799852918,1.0479243121680888,False,well_estimated
reduced2_dopt,Kd0,0.0006690744222537,0.029113321329897107,1.0587215653451305,False,well_estimated
reduced2_dopt,gammaG0,0.0975070871956685,0.0180851441964573,1.0360826126777982,False,well_estimated
reduced2_dopt,gammaF0,0.0013892430460828,1.0364531069029035,7.625120224598934,False,weak_but_actionable
reduced2_dopt,kPyrS,0.3105557324575091,0.024418756961599494,1.0490245827959115,False,well_estimated
reduced2_dopt,kPyrD,0.0053434401925797,0.029976017508956825,1.0605132555851426,False,well_estimated
reduced2_dopt,kAldPyr,0.0022646643405813,0.16857606654314702,1.3915372766146061,False,well_estimated
reduced2_dopt,kAldS,1.2620397362713356,0.00909456413744048,1.0179851653855996,False,well_estimated
reduced2_dopt,kAcAld,0.006626194154502,0.01702152013278089,1.0339249378133932,False,well_estimated
reduced2_dopt,kAcStress,0.0019346883584667,0.018499591523872292,1.0369245818771653,False,well_estimated
reduced2_dopt,qO2,0.0481677204427031,0.01804198349584868,1.0359949690041124,False,well_estimated
reduced2_dopt,k_EA_growth,0.1,0.058734307074752384,1.1220072198306923,False,well_estimated
reduced2_dopt,k_EA_stationary,0.28,0.015959278310193236,1.031774551647375,False,well_estimated
reduced2_dopt,k_IAA_growth,0.003,0.07969908771308834,1.1690719301138934,False,well_estimated
reduced2_dopt,k_IAA_stationary,0.012,0.014766608225389074,1.029365457915024,False,well_estimated
reduced2_dopt,k_EO_growth,0.0008,0.07501252191988646,1.1583823928171588,False,well_estimated
reduced2_dopt,k_EO_stationary,0.003,0.013768539390559715,1.0273537661442111,False,well_estimated
reduced2_dopt,alpha_EA_loss,1.0,0.1850663928608189,1.4372479368089008,False,well_estimated
reduced2_dopt,alpha_IAA_loss,1.0,0.16653884359360843,1.3859920065116553,False,well_estimated
reduced2_dopt,alpha_EO_loss,1.0,0.14062910135867773,1.3173643535334227,False,well_estimated
