,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS,kPyrD,kAldPyr,kAldS,kAldRed,kAcAld,kAcStress,kAcAssim,qO2,kLaO2,O2sat,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
kAcAld,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-65.96941575514995,72.00959220286336,-123.83857393043633,-6840.564213222629,103.11731965180165,4526.0624872548005,39.58697922977068,-0.008443004455615804,-3157.250564365094,51.26445300971802,445.2911891343121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21538047452038664,-0.0876341000705363,0.27702513047407296,43.80373331777787,-0.06279278337151657,39.58697922977068,993.5850042993269,-0.19293828200483856,-57.34412269720154,5.0974917363771794,9.05172232128758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAssim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2696549081660204e-05,1.6624607117251128e-05,-5.499485657519986e-05,-0.009290279461243844,1.145379625736851e-05,-0.008443004455615804,-0.19293828200483856,4.9669989044240084e-05,0.010772577088331955,-0.0008843258271952965,-0.0016401564557592366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-701.1660818913216,983.9582239657062,92.83491086149992,4505.5025363894965,-94.40333800321156,-3157.250564365094,-57.34412269720154,0.010772577088331955,3233.166908566214,-93.51947603808665,-477.938207989782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kLaO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.199811993359416,-15.428386091750642,-2.2219876820151203,-92.00724187711604,4.572525544902653,51.26445300971802,5.0974917363771794,-0.0008843258271952965,-93.51947603808665,11.61941385840483,21.261983857982184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O2sat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.49077127973928,-128.13208600142258,-13.648443482354297,-651.9493563028259,15.935200723407872,445.2911891343121,9.05172232128758,-0.0016401564557592366,-477.938207989782,21.261983857982184,77.78364322773044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.640001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_stationary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.640001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_IAA_growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.640001,0.0,0.0,0.0,0.0,0.0,0.0
k_IAA_stationary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.640001,0.0,0.0,0.0,0.0,0.0
k_EO_growth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.640001,0.0,0.0,0.0,0.0
k_EO_stationary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.640001,0.0,0.0,0.0
alpha_EA_loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7777787777777776,0.0,0.0
alpha_IAA_loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7777787777777776,0.0
alpha_EO_loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7777787777777776
