analysis,weak_direction,eigenvalue,dominant_parameters,dominant_abs_loadings
hybrid,1,0.00011965424764047534,"kAcAssim, kAldPyr, kAldRed, O2sat, kAcStress, kLaO2, qO2, Kd0","1.000, 0.001, 0.001, 0.000, 0.000, 0.000, 0.000, 0.000"
hybrid,2,0.2035729324938788,"kAldPyr, kAldRed, O2sat, kAcAld, gammaF0, kLaO2, kAldS, qO2","0.917, 0.397, 0.039, 0.009, 0.007, 0.006, 0.006, 0.005"
hybrid,3,0.9398511003614212,"gammaF0, kAldRed, gammaG0, O2sat, betaF0, iG, alpha_IAA_loss, alpha_EA_loss","1.000, 0.022, 0.012, 0.003, 0.002, 0.002, 0.002, 0.002"
hybrid,4,1.4730927957498883,"kAldRed, kAldPyr, O2sat, kLaO2, gammaF0, kAcAld, kPyrD, kAldS","0.901, 0.396, 0.144, 0.098, 0.021, 0.012, 0.006, 0.005"
hybrid,5,19.22586190751804,"O2sat, kLaO2, qO2, kAldRed, alpha_EA_loss, kAldPyr, k_IAA_growth, alpha_IAA_loss","0.903, 0.402, 0.116, 0.098, 0.009, 0.006, 0.006, 0.006"
hybrid,6,26.239214527825,"alpha_EA_loss, k_EA_stationary, alpha_IAA_loss, k_EA_growth, alpha_EO_loss, O2sat, iG, kLaO2","0.995, 0.078, 0.047, 0.039, 0.017, 0.008, 0.005, 0.005"
hybrid,7,31.91768883391217,"alpha_IAA_loss, k_IAA_growth, k_IAA_stationary, alpha_EA_loss, alpha_EO_loss, betaF0, iG, kLaO2","0.992, 0.080, 0.080, 0.048, 0.027, 0.006, 0.006, 0.004"
hybrid,8,44.98330031099586,"alpha_EO_loss, k_EO_stationary, k_EO_growth, alpha_IAA_loss, alpha_EA_loss, betaF0, kLaO2, iG","0.994, 0.086, 0.064, 0.028, 0.016, 0.008, 0.007, 0.006"
dopt_greedy,1,0.00011965424767961194,"kAcAssim, kAldPyr, kAldRed, O2sat, kAcStress, kLaO2, qO2, Kd0","1.000, 0.001, 0.001, 0.000, 0.000, 0.000, 0.000, 0.000"
dopt_greedy,2,0.20357293249525782,"kAldPyr, kAldRed, O2sat, kAcAld, gammaF0, kLaO2, kAldS, qO2","0.917, 0.397, 0.039, 0.009, 0.007, 0.006, 0.006, 0.005"
dopt_greedy,3,0.9398511003592424,"gammaF0, kAldRed, gammaG0, O2sat, betaF0, iG, alpha_IAA_loss, alpha_EA_loss","1.000, 0.022, 0.012, 0.003, 0.002, 0.002, 0.002, 0.002"
dopt_greedy,4,1.4730927957492048,"kAldRed, kAldPyr, O2sat, kLaO2, gammaF0, kAcAld, kPyrD, kAldS","0.901, 0.396, 0.144, 0.098, 0.021, 0.012, 0.006, 0.005"
dopt_greedy,5,19.22586190751792,"O2sat, kLaO2, qO2, kAldRed, alpha_EA_loss, kAldPyr, k_IAA_growth, alpha_IAA_loss","0.903, 0.402, 0.116, 0.098, 0.009, 0.006, 0.006, 0.006"
dopt_greedy,6,26.239214527825354,"alpha_EA_loss, k_EA_stationary, alpha_IAA_loss, k_EA_growth, alpha_EO_loss, O2sat, iG, kLaO2","0.995, 0.078, 0.047, 0.039, 0.017, 0.008, 0.005, 0.005"
dopt_greedy,7,31.917688833911978,"alpha_IAA_loss, k_IAA_growth, k_IAA_stationary, alpha_EA_loss, alpha_EO_loss, betaF0, iG, kLaO2","0.992, 0.080, 0.080, 0.048, 0.027, 0.006, 0.006, 0.004"
dopt_greedy,8,44.98330031099587,"alpha_EO_loss, k_EO_stationary, k_EO_growth, alpha_IAA_loss, alpha_EA_loss, betaF0, kLaO2, iG","0.994, 0.086, 0.064, 0.028, 0.016, 0.008, 0.007, 0.006"
dopt_exchange_from_hybrid,1,0.00011965424764047534,"kAcAssim, kAldPyr, kAldRed, O2sat, kAcStress, kLaO2, qO2, Kd0","1.000, 0.001, 0.001, 0.000, 0.000, 0.000, 0.000, 0.000"
dopt_exchange_from_hybrid,2,0.2035729324938788,"kAldPyr, kAldRed, O2sat, kAcAld, gammaF0, kLaO2, kAldS, qO2","0.917, 0.397, 0.039, 0.009, 0.007, 0.006, 0.006, 0.005"
dopt_exchange_from_hybrid,3,0.9398511003614212,"gammaF0, kAldRed, gammaG0, O2sat, betaF0, iG, alpha_IAA_loss, alpha_EA_loss","1.000, 0.022, 0.012, 0.003, 0.002, 0.002, 0.002, 0.002"
dopt_exchange_from_hybrid,4,1.4730927957498883,"kAldRed, kAldPyr, O2sat, kLaO2, gammaF0, kAcAld, kPyrD, kAldS","0.901, 0.396, 0.144, 0.098, 0.021, 0.012, 0.006, 0.005"
dopt_exchange_from_hybrid,5,19.22586190751804,"O2sat, kLaO2, qO2, kAldRed, alpha_EA_loss, kAldPyr, k_IAA_growth, alpha_IAA_loss","0.903, 0.402, 0.116, 0.098, 0.009, 0.006, 0.006, 0.006"
dopt_exchange_from_hybrid,6,26.239214527825,"alpha_EA_loss, k_EA_stationary, alpha_IAA_loss, k_EA_growth, alpha_EO_loss, O2sat, iG, kLaO2","0.995, 0.078, 0.047, 0.039, 0.017, 0.008, 0.005, 0.005"
dopt_exchange_from_hybrid,7,31.91768883391217,"alpha_IAA_loss, k_IAA_growth, k_IAA_stationary, alpha_EA_loss, alpha_EO_loss, betaF0, iG, kLaO2","0.992, 0.080, 0.080, 0.048, 0.027, 0.006, 0.006, 0.004"
dopt_exchange_from_hybrid,8,44.98330031099586,"alpha_EO_loss, k_EO_stationary, k_EO_growth, alpha_IAA_loss, alpha_EA_loss, betaF0, kLaO2, iG","0.994, 0.086, 0.064, 0.028, 0.016, 0.008, 0.007, 0.006"
