analysis,parameter,theta,std_log_approx,approx_95_multiplier,active_bound,classification
current_prior,mu0,0.0601697224171635,0.008883268802227553,1.0175636654585196,False,well_estimated
current_prior,qN,0.0146092346863683,0.010204782320883855,1.020202741120139,False,well_estimated
current_prior,betaG0,0.779853869422414,0.0392891730473415,1.0800493982092738,False,well_estimated
current_prior,betaF0,0.5108967442490071,0.07345111789080316,1.1548427540964974,False,well_estimated
current_prior,qEG,1.5379361359484045,0.025226120605311222,1.050685907763385,False,well_estimated
current_prior,qEF,1.262713484739452,0.04320717920397005,1.0883753407410306,False,well_estimated
current_prior,iG,0.0073666781875985,0.0871243023831296,1.1862103345141237,False,well_estimated
current_prior,iE,0.0258618456174518,0.04854921294522382,1.0998309183213015,False,well_estimated
current_prior,Kd0,0.0006690744222537,0.041705074515215775,1.0851757398082218,False,well_estimated
current_prior,gammaG0,0.0975070871956685,0.03928155331272748,1.0800332681377454,False,well_estimated
current_prior,gammaF0,0.0013892430460828,2.538524096642282,144.82226463440276,False,weak_or_confounded
current_prior,kPyrS,0.4414987236423745,0.03118642865995103,1.0630322102529517,False,well_estimated
current_prior,kPyrD,0.0078209107245985,0.03525719302113859,1.0715477496647292,False,well_estimated
current_prior,kAldPyr,0.0001989638630771,5.137379636841822,23606.186304503088,False,weak_or_confounded
current_prior,kAldS,0.8021403800399333,0.03321015729800091,1.0672571096676664,False,well_estimated
current_prior,kAldRed,0.0001006867990184,1.8926949347970794,40.840820030745945,True,weak_or_confounded
current_prior,kAcAld,0.002432481351446,0.07025886704914543,1.147639678142559,False,well_estimated
current_prior,kAcStress,0.0026055689557885,0.052162199743643896,1.1076469623305245,False,well_estimated
current_prior,kAcAssim,1.013544893471728e-05,211.552097346434,1.0576541811633429e+17,False,weak_or_confounded
current_prior,qO2,0.0416960530672166,0.14479142152436889,1.3281555645681762,False,well_estimated
current_prior,kLaO2,0.0015008512210468,1.0671733108955368,8.098344753331622,False,weak_but_actionable
current_prior,O2sat,2.713015080772752,1.2217037882275732,10.963147543608233,False,weak_but_actionable
current_prior,k_EA_growth,0.1,1.2499891171242263,11.588099537365622,False,weak_but_actionable
current_prior,k_EA_stationary,0.28,1.2499891171242263,11.588099537365622,False,weak_but_actionable
current_prior,k_IAA_growth,0.003,1.2499891171242263,11.588099537365622,False,weak_but_actionable
current_prior,k_IAA_stationary,0.012,1.2499891171242263,11.588099537365622,False,weak_but_actionable
current_prior,k_EO_growth,0.0008,1.2499891171242263,11.588099537365622,False,weak_but_actionable
current_prior,k_EO_stationary,0.003,1.2499891171242263,11.588099537365622,False,weak_but_actionable
current_prior,alpha_EA_loss,1.0,0.7499976492791854,4.34921510238726,False,moderate
current_prior,alpha_IAA_loss,1.0,0.7499976492791854,4.34921510238726,False,moderate
current_prior,alpha_EO_loss,1.0,0.7499976492791854,4.34921510238726,False,moderate
