,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS,kPyrD,kAldS,kAldRed,kAcStress,qO2,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
mu0,131163.0419363884,-77431.59536787278,-19486.340817171855,-7699.859199207873,70500.2491645705,75284.12530033187,-14587.808507174477,-68556.94868222336,344.0904291110697,10539.085592351936,110.29083567260635,536.1491163557514,219.07507200447768,13147.614224268196,-39.01565023226184,2064.2109217620737,4534.544741744385,1345.0544406097497,9096.361376531795,1062.5424938048495,10348.09156167611,1116.359973514366,10241.565959322492,-637.5692782511961,-712.234356894552,-765.4121453123919
qN,-77431.59536787278,71936.26718810243,14191.631395267495,6077.8475990788365,-45103.198361114155,-54999.645393380764,10239.618850180857,47172.44013835264,-221.32457573248155,-5987.010672380113,-62.549808303053204,-247.22547255454558,-242.1015310249454,-9910.353056311149,31.209189953130736,-1713.201706025484,-3653.8202567891835,-106.3058155067143,-2685.8463173867976,11.859011961994778,-2182.156356042112,-6.0717260671174955,-2320.3542004308792,190.48197020913605,148.19401833286338,159.83466467535885
betaG0,-19486.340817171855,14191.631395267495,81053.64237182924,47689.36471516657,-83628.50416990505,-58730.69736157469,1470.4542122415444,13348.785074270358,3506.916722051121,-7693.029014901186,-84.97117883676115,-646.5358190836178,156.926910907712,-6820.952959065438,9.841517982686572,71.62465985634284,-1922.8362750106694,-684.7387709021053,-7229.900262764505,-493.289427886324,-7567.119640977348,-494.2944633759945,-7006.063378748696,523.0906426110932,537.7179810116697,525.8621819690169
betaF0,-7699.859199207873,6077.8475990788365,47689.36471516657,32461.22813957602,-43595.08652724802,-41467.649329053806,1207.427450130417,4721.474946453895,2398.0893014000176,-2126.282019369244,-23.948501832550434,-325.36478682072527,86.45814237764603,-3676.932076485892,8.319842167364778,67.73020060282776,-1336.1674704360846,-401.1992569286191,-4232.262395876645,-295.4656625698904,-4499.050295472028,-298.3876151015208,-4216.712464781032,319.73218189004854,337.07997173151176,339.7589372532172
qEG,70500.2491645705,-45103.198361114155,-83628.50416990505,-43595.08652724802,183153.79089330757,64737.62628055611,-4071.5925886364266,-49615.14717164751,-2827.9450253272553,-25477.82736464173,-398.6756978545857,1299.6872231146417,-319.8229871841381,11578.87889279029,-0.5492675667498778,593.6053371194462,1123.0325800501453,1158.005872722916,11571.363509134975,817.202525935429,12088.799492723838,848.2782346646396,11606.132950794054,-773.965110376726,-792.6236428349946,-808.4418143084808
qEF,75284.12530033187,-54999.645393380764,-58730.69736157469,-41467.649329053806,64737.62628055611,135667.6544575454,-20505.50489269395,-55115.889198546196,-2389.977253536856,-340.1770706242294,-5.620580011894966,1299.057496164716,-531.0172359090844,11113.46278633169,-14.720489806162508,392.12726751431296,2689.8829252084583,1073.9059611796713,10811.81189997168,793.7863051900965,11691.54239629509,826.0215457664862,11339.058515542429,-765.8007568802182,-820.9371647526978,-856.0507241535154
iG,-14587.808507174477,10239.618850180857,1470.4542122415444,1207.427450130417,-4071.5925886364266,-20505.50489269395,5391.396366204067,11005.591046987029,-67.15864954767414,712.4140820320753,7.609756594317946,-176.7041903941783,50.90969409235359,-1333.5201057186637,-1.6367563102899743,-137.0693252767163,67.6283304367725,-122.50965619136387,-1201.1485676095735,-84.88769361635048,-1258.61310984104,-91.56776070978712,-1256.0920880908448,70.33231662244873,71.88652779842057,76.92611783687263
iE,-68556.94868222336,47172.44013835264,13348.785074270358,4721.474946453895,-49615.14717164751,-55115.889198546196,11005.591046987029,51750.582380719236,-295.1374377928219,-7608.9617719596845,-82.478188146017,-933.8734711205136,416.71389230822217,-6999.995478916693,3.6497095843635345,-473.8605379890797,-1092.3338931792027,-658.4946698122692,-6862.888873323647,-499.5345615660045,-7624.545820034931,-529.3007658444317,-7573.877106726974,466.5164099423929,515.7516269821442,553.5924714316975
Kd0,344.0904291110697,-221.32457573248155,3506.916722051121,2398.0893014000176,-2827.9450253272553,-2389.977253536856,-67.15864954767414,-295.1374377928219,1378.623063637046,-30.0808031369276,-0.4381613112405166,25.19107849220793,-47.21212961003438,-402.43210438394294,2.0149369392521264,-182.1889391185881,-168.63935926587075,-17.195666081098803,-188.92527950287564,-13.777124325012558,-217.39645140825752,-14.460474572793448,-215.79946877275017,16.497256965068345,18.425304156408302,19.264142586854934
gammaG0,10539.085592351936,-5987.010672380113,-7693.029014901186,-2126.282019369244,-25477.82736464173,-340.1770706242294,712.4140820320753,-7608.9617719596845,-30.0808031369276,49311.78809896152,652.1928799100917,-0.061894467842496394,0.0580655444145241,-0.5432515819833024,0.005538218217242311,0.0055679547605414,-0.28243270666395054,-0.005742493297057001,-0.4631426759150364,-0.005068556279653899,-0.5327154904833528,-0.0052189361611463,-0.5252052478095744,0.035454414945269394,0.0420672225513746,0.044414424524530496
