candidate,family,medium,horizon_h,hybrid_score,dopt_score,new_logdet,new_min_eigenvalue,new_max_eigenvalue,new_min_relative_eigenvalue,new_condition_number,new_trace_inv,new_rank_1e-8,combined_logdet,combined_min_eigenvalue,combined_max_eigenvalue,combined_min_relative_eigenvalue,combined_condition_number,combined_trace_inv,combined_rank_1e-8,var_ratio_mu0,var_reduction_mu0,var_ratio_qN,var_reduction_qN,var_ratio_betaG0,var_reduction_betaG0,var_ratio_betaF0,var_reduction_betaF0,var_ratio_qEG,var_reduction_qEG,var_ratio_qEF,var_reduction_qEF,var_ratio_iG,var_reduction_iG,var_ratio_iE,var_reduction_iE,var_ratio_Kd0,var_reduction_Kd0,var_ratio_gammaG0,var_reduction_gammaG0,var_ratio_gammaF0,var_reduction_gammaF0,var_ratio_kPyrS,var_reduction_kPyrS,var_ratio_kPyrD,var_reduction_kPyrD,var_ratio_kAldPyr,var_reduction_kAldPyr,var_ratio_kAldS,var_reduction_kAldS,var_ratio_kAldRed,var_reduction_kAldRed,var_ratio_kAcAld,var_reduction_kAcAld,var_ratio_kAcStress,var_reduction_kAcStress,var_ratio_kAcAssim,var_reduction_kAcAssim,var_ratio_qO2,var_reduction_qO2,var_ratio_kLaO2,var_reduction_kLaO2,var_ratio_O2sat,var_reduction_O2sat,var_ratio_k_EA_growth,var_reduction_k_EA_growth,var_ratio_k_EA_stationary,var_reduction_k_EA_stationary,var_ratio_k_IAA_growth,var_reduction_k_IAA_growth,var_ratio_k_IAA_stationary,var_reduction_k_IAA_stationary,var_ratio_k_EO_growth,var_reduction_k_EO_growth,var_ratio_k_EO_stationary,var_reduction_k_EO_stationary,var_ratio_alpha_EA_loss,var_reduction_alpha_EA_loss,var_ratio_alpha_IAA_loss,var_reduction_alpha_IAA_loss,var_ratio_alpha_EO_loss,var_reduction_alpha_EO_loss,new_param_mean_var_reduction,new_param_worst_var_reduction
natural_aroma_matrix_cold_hot,natural_aroma_matrix,natural,216.0,107.08310859328485,152.62868946393635,57.062689903734736,1.365628924708305e-13,18513.876907274695,7.376245027165033e-18,1000000000000.0,892708.7532802029,28,152.62868946393635,2.755718816048699e-05,166009.20932008163,1.659979483870325e-10,6024170838.957901,25585.72716892343,30,0.8836984531022677,0.11630154689773231,0.8474541245775128,0.1525458754224872,0.8182012971745314,0.18179870282546862,0.8062445073373097,0.19375549266269032,0.841104583406603,0.158895416593397,0.8923471222681065,0.10765287773189347,0.9555841899896494,0.044415810010350554,0.8704979569905359,0.1295020430094641,0.9572894254241683,0.04271057457583172,0.8674928158465512,0.13250718415344875,0.8428748133245438,0.15712518667545616,0.8730293813160022,0.12697061868399784,0.8607667365257259,0.13923326347427412,0.7640804477831497,0.23591955221685035,0.7396743460165386,0.2603256539834614,0.8142046512718663,0.18579534872813375,0.8529659665489026,0.14703403345109745,0.675814479335753,0.324185520664247,0.5709732367877665,0.42902676321223354,0.9255724742664471,0.07442752573355293,0.9183330978186947,0.08166690218130535,0.9295490318511216,0.07045096814887841,0.02539582841135011,0.9746041715886499,0.002853781788005336,0.9971462182119947,0.04529868085895862,0.9547013191410414,0.0027027893195177353,0.9972972106804823,0.04072709684466894,0.9592729031553311,0.002926734542513711,0.9970732654574863,0.7242023310814908,0.2757976689185092,0.6367134225306641,0.3632865774693359,0.4913902716069932,0.5086097283930068,0.4551412606746935,0.07045096814887841
natural_CO2_strip_reference_highN,natural_co2_aroma,natural,168.0,101.24131478560206,147.79573971883096,34.54947563123603,1.457460611408829e-14,14438.052924594234,1.0094578673597634e-18,1000000000000.0,1633514.6460879373,28,147.79573971883096,1.6613053214096495e-05,164325.6865657526,1.0109833441924502e-10,9891359790.885344,36004.53132230588,30,0.934905150882864,0.06509484911713603,0.9033523391840367,0.09664766081596332,0.8534849372523275,0.14651506274767245,0.7998970537819236,0.20010294621807645,0.7012274811672621,0.2987725188327379,0.6839071872227237,0.3160928127772763,0.8310512119390003,0.16894878806099967,0.7129930038533214,0.2870069961466786,0.9750248396961028,0.024975160303897237,0.8900722927818888,0.10992770721811118,0.9606170695192521,0.039382930480747924,0.8440846602678065,0.15591533973219351,0.8885909439378332,0.11140905606216678,0.8322346806402436,0.16776531935975636,0.6968046622855308,0.30319533771446916,0.8683989414768358,0.13160105852316417,0.9643356024668929,0.03566439753310713,0.9047868766979376,0.09521312330206244,0.8037121360004023,0.19628786399959774,0.8660950979081357,0.13390490209186434,0.8784340298743202,0.12156597012567982,0.9144506441663062,0.08554935583369383,0.055594646506989906,0.9444053534930101,0.00342685545973539,0.9965731445402646,0.09628964654042395,0.9037103534595761,0.003120667725202839,0.9968793322747972,0.08692892660952659,0.9130710733904734,0.003258551616965595,0.9967414483830344,0.656821406999567,0.34317859300043296,0.5476810779793279,0.45231892202067214,0.39359632788566423,0.6064036721143358,0.4345676808477175,0.03566439753310713
natural_cold_hot_switch,natural_temperature,natural,216.0,107.31234304270323,152.86384857331635,57.78723582571341,7.963499471986346e-14,19075.753011567685,4.174671095372863e-18,1000000000000.0,856089.9229774558,28,152.86384857331635,2.760041847019516e-05,166773.81952826172,1.6549611053021397e-10,6042438077.826814,25518.876281632147,30,0.8597324988218709,0.14026750117812914,0.821847819623769,0.17815218037623104,0.8181820281170545,0.18181797188294546,0.8022554766924842,0.1977445233075158,0.8303349096827146,0.16966509031728538,0.8786381448403389,0.12136185515966114,0.9516997271006232,0.04830027289937677,0.8581717347744413,0.1418282652255587,0.956666410503052,0.04333358949694799,0.8666704499613817,0.13332955003861835,0.8453526172956346,0.1546473827043654,0.8692712817927462,0.13072871820725385,0.8565167392581058,0.14348326074189421,0.7574299600676994,0.24257003993230064,0.7319211092791696,0.26807889072083035,0.8230015282675852,0.17699847173241479,0.8494825915416501,0.15051740845834993,0.6608931821461559,0.3391068178538441,0.5694823789093157,0.43051762109068425,0.9168007032773707,0.08319929672262927,0.9034972009261645,0.09650279907383552,0.9280450082580848,0.07195499174191522,0.023761457367767615,0.9762385426322324,0.0027247670340477684,0.9972752329659522,0.04227314454137179,0.9577268554586282,0.0025680524040485233,0.9974319475959514,0.03791642565388969,0.9620835743461104,0.002785630362737018,0.997214369637263,0.7370322289738187,0.2629677710261813,0.6560220879427546,0.34397791205724537,0.5148376576790504,0.48516234232094957,0.45568684321582326,0.07195499174191522
natural_control_18C,natural_baseline,natural,216.0,105.59165614413864,151.84442521526802,54.1413567096305,-2.143274992076584e-13,20493.938102282285,-1.0458092443628004e-17,1000000000000.0001,880917.8037918407,28,151.84442521526802,1.9759735725467784e-05,168613.79195796378,1.1718932061259841e-10,8533200762.429331,31766.478036764056,30,0.9550975525486118,0.04490244745138816,0.9324339949831348,0.06756600501686516,0.816987971703065,0.18301202829693497,0.7828665451761984,0.21713345482380164,0.778943846800163,0.22105615319983696,0.8210421472449453,0.1789578527550547,0.9375875953175364,0.06241240468246356,0.8029251343923557,0.1970748656076443,0.9558257043527804,0.04417429564721964,0.8583988118089126,0.14160118819108736,0.8490879578720639,0.15091204212793607,0.8598030476246541,0.1401969523753459,0.8589235596103448,0.14107644038965517,0.750451376973255,0.24954862302674496,0.7118591798110625,0.2881408201889375,0.8393815533742156,0.1606184466257844,0.8576663181957118,0.14233368180428818,0.671804851870481,0.328195148129519,0.7090817626698642,0.2909182373301358,0.8822058828333267,0.11779411716667332,0.8621579714333495,0.1378420285666505,0.9177462861829172,0.0822537138170828,0.0391131291212585,0.9608868708787415,0.002358393196428596,0.9976416068035714,0.06891988676494827,0.9310801132350517,0.0022134337561762474,0.9977865662438238,0.062011814854903174,0.9379881851450969,0.002375958004797056,0.9976240419952029,0.730969483044086,0.26903051695591396,0.6497577830418134,0.3502422169581866,0.5165169084719552,0.4834830915280448,0.45023407095822254,0.0822537138170828
natural_glucose_pulse_after_growth,natural_sugar_pulse,natural,216.0,109.59673076010604,155.66724450239045,73.80450554720106,3.3665231398327414e-06,21586.789962430426,1.559529298099359e-10,6412191173.443982,212499.69169067786,28,155.66724450239045,2.188465128461554e-05,170781.7459941274,1.2814397204586533e-10,7803722516.437056,29602.282414803587,30,0.9470456167121519,0.05295438328784807,0.9199022519985811,0.08009774800141889,0.8127586042139388,0.18724139578606125,0.9061470853378151,0.09385291466218493,0.796935416519033,0.203064583480967,0.8953055702196611,0.10469442978033894,0.9681813312646822,0.0318186687353178,0.8385453587176925,0.16145464128230747,0.874955896225387,0.12504410377461295,0.8960507452981379,0.10394925470186211,0.9571401667080904,0.042859833291909566,0.8519693173818111,0.14803068261818886,0.8551916086554857,0.1448083913445143,0.743050630753952,0.25694936924604805,0.6977134932709278,0.3022865067290722,0.8378941033626407,0.1621058966373593,0.8358413660349883,0.16415863396501174,0.63236491331652,0.36763508668348,0.6607244413212301,0.3392755586787699,0.8707341182071717,0.12926588179282827,0.8585264180227044,0.14147358197729565,0.909639838455812,0.09036016154418802,0.028321363512389668,0.9716786364876103,0.002120882974479648,0.9978791170255203,0.05046102852112027,0.9495389714788798,0.0018684335236861434,0.9981315664763138,0.044824358284276146,0.9551756417157239,0.0018083279258655225,0.9981916720741345,0.47956811637968466,0.5204318836203153,0.4006302573197051,0.5993697426802949,0.29943028586619275,0.7005697141338072,0.49686583484546787,0.09036016154418802
synthetic_acetaldehyde_redox_proxy_ethanol,secondary_acetaldehyde,synthetic,216.0,104.39226016462987,150.66808971412564,64.7774309246191,2.9924684467621874e-10,29778.746143571705,1.004900754496061e-14,1000000000000.0,626066.7739463351,28,150.66808971412564,2.0651631414752023e-05,178425.80594304274,1.1574352322860998e-10,8639792293.386969,30663.11715348169,30,0.9556934083957613,0.044306591604238665,0.9563862651007231,0.04361373489927689,0.8594659988936484,0.1405340011063516,0.9074272365298823,0.09257276347011767,0.9163137910270218,0.08368620897297818,0.8933869620142803,0.10661303798571975,0.9107993823526721,0.0892006176473279,0.8704906802549025,0.1295093197450975,0.6365621643201971,0.3634378356798029,0.923528458723451,0.07647154127654898,0.9639581844066937,0.036041815593306326,0.8918809686200914,0.10811903137990864,0.8959526903033233,0.10404730969667675,0.8509392850824402,0.1490607149175598,0.8453995713218819,0.15460042867811807,0.9196442926211802,0.08035570737881981,0.8425106462186362,0.15748935378136375,0.5403617785550805,0.4596382214449195,0.6843707911508238,0.3156292088491762,0.571814624146354,0.428185375853646,0.11322143099072998,0.88677856900927,0.30461658824396415,0.6953834117560358,0.1677457382897908,0.8322542617102092,0.0017549145947038027,0.9982450854052962,0.26399292728459894,0.7360070727154011,0.0014535500996600823,0.9985464499003399,0.2377046812933975,0.7622953187066025,0.0014173359870630305,0.9985826640129369,0.6056151792643926,0.39438482073560743,0.5624830275565168,0.4375169724434832,0.5137558353777081,0.4862441646222919,0.5091682071498831,0.08035570737881981
synthetic_ethanol_inhibition_challenge,ethanol_inhibition,synthetic,216.0,108.447081490033,154.35184970885163,75.96958576026299,1.7075468284058265e-08,23370.131112864692,7.306535081721742e-13,1000000000000.0001,614944.1723675142,29,154.35184970885163,2.4007641518766134e-05,172701.96451900946,1.3901197699533748e-10,7193624762.516257,27915.113770491836,30,0.9530851885661341,0.04691481143386589,0.9191539507768643,0.08084604922313565,0.9099674019686083,0.09003259803139174,0.8456749431231592,0.15432505687684084,0.9139884539110461,0.0860115460889539,0.8489313243461534,0.15106867565384663,0.8655854596380071,0.13441454036199285,0.8198723749673109,0.1801276250326891,0.6975158446637479,0.30248415533625206,0.903953944063927,0.09604605593607296,0.8953228764624125,0.10467712353758751,0.918149683279815,0.08185031672018495,0.8947846073341059,0.10521539266589408,0.7761751840779494,0.2238248159220506,0.8367473165160569,0.16325268348394306,0.8843202467932719,0.11567975320672808,0.7188196583183107,0.28118034168168926,0.4027214806368386,0.5972785193631613,0.6230401279983182,0.3769598720016818,0.5869652040147372,0.4130347959852628,0.1365244240845766,0.8634755759154233,0.34018741784542483,0.6598125821545752,0.06515284742086656,0.9348471525791334,0.0019403400057020602,0.9980596599942979,0.11150677760917627,0.8884932223908237,0.0016599057424763048,0.9983400942575237,0.09902580230369494,0.900974197696305,0.0016044775731721547,0.9983955224268278,0.5558901768189045,0.4441098231810955,0.49672298366768486,0.5032770163323151,0.4248624293984617,0.5751375706015383,0.5561599454280228,0.08185031672018495
synthetic_fast_CO2_aroma_strip_highN,co2_aroma_loss,synthetic,168.0,107.14234356596174,154.1364243998148,56.721188454047606,8.686926149221348e-10,32418.896898841238,2.6795872099929e-14,1000000000000.0001,786054.3142088633,27,154.1364243998148,1.4665811895794541e-05,180550.61695998552,8.122825688845388e-11,12310986820.426823,37470.12226203069,30,0.9211214886353863,0.07887851136461366,0.8843704707420367,0.11562952925796333,0.7143198666653866,0.2856801333346134,0.8803827780075222,0.11961722199247782,0.7469306455413811,0.2530693544586189,0.8959930334235817,0.10400696657641828,0.9316612519042589,0.06833874809574114,0.8265126185410017,0.17348738145899834,0.9664391956560697,0.03356080434393027,0.7905197559705797,0.20948024402942034,0.8760245438601366,0.12397545613986338,0.8515576961971891,0.14844230380281087,0.8461328713834501,0.15386712861654994,0.8488233609854201,0.1511766390145799,0.7515943396513143,0.24840566034868572,0.931132499099934,0.06886750090006599,0.9212194560511755,0.0787805439488245,0.7982125583644056,0.20178744163559437,0.8365045579594451,0.16349544204055488,0.5948110653609965,0.4051889346390035,0.17206515915794732,0.8279348408420527,0.38026187066505684,0.6197381293349431,0.036490120927489426,0.9635098790725106,0.00219926359710702,0.997800736402893,0.06321879458034359,0.9367812054196564,0.001829046394575522,0.9981709536054245,0.055868213905425144,0.9441317860945748,0.0017535293770539707,0.998246470622946,0.3353198491391458,0.6646801508608542,0.3116087416565627,0.6883912583434373,0.2662432146268535,0.7337567853731465,0.5496576895459555,0.06886750090006599
synthetic_fructose_rich_glucose_pulse,sugar_separation,synthetic,216.0,117.58488157072249,163.73352863664508,88.18711924239746,2.2186584304135036e-08,56473.586963947164,3.9286656819406547e-13,1000000000000.0,349691.50862526323,29,163.73352863664508,2.44573580909524e-05,198977.24306580762,1.2291535310328746e-10,8135680163.239544,26687.057092549385,30,0.9007681965774633,0.09923180342253668,0.8798906286213523,0.12010937137864774,0.5393081311060327,0.4606918688939673,0.2924568293123147,0.7075431706876854,0.7157779369076488,0.2842220630923512,0.32983506575140575,0.6701649342485942,0.2714864010648431,0.7285135989351569,0.639008961049738,0.36099103895026197,0.8622646872752554,0.1377353127247446,0.4861394301163583,0.5138605698836417,0.2382960643519129,0.7617039356480871,0.898542026195541,0.10145797380445898,0.8792843768848764,0.12071562311512363,0.6785915029919289,0.32140849700807106,0.7847970401242903,0.2152029598757097,0.8796106606651599,0.12038933933484008,0.5660532984470183,0.43394670155298165,0.40396599937648114,0.5960340006235189,0.5957661571044945,0.40423384289550546,0.571534587698676,0.42846541230132396,0.12775327475375836,0.8722467252462416,0.32493434813755323,0.6750656518624467,0.017553292650466883,0.9824467073495331,0.0017031885709310347,0.998296811429069,0.03127304550400715,0.9687269544959929,0.0014534570247231502,0.9985465429752769,0.02751115213078594,0.9724888478692141,0.0013617901692800016,0.99863820983072,0.40973091495806446,0.5902690850419355,0.3538692483318518,0.6461307516681483,0.2752305414718171,0.724769458528183,0.6084740048404147,0.10145797380445898
synthetic_glucose_rich_fructose_pulse,sugar_separation,synthetic,216.0,116.18634049048369,162.18218884733153,84.23179506386012,2.076855116668652e-08,41947.469737623716,4.951085559293865e-13,1000000000000.0,395252.6168330289,28,162.18218884733153,2.4666799796781684e-05,185908.08501767938,1.3268277059836282e-10,7536773580.249153,26757.3993848426,30,0.9019461237208071,0.09805387627919293,0.875328798757847,0.12467120124215303,0.523595771176721,0.47640422882327904,0.5691941546578662,0.43080584534213384,0.7922527557580052,0.20774724424199476,0.727138852206282,0.27286114779371795,0.6656872156119062,0.33431278438809375,0.7868523082195371,0.2131476917804629,0.8338715333261838,0.1661284666738162,0.682945152206363,0.317054847793637,0.7296590836439656,0.2703409163560344,0.8919337004347279,0.10806629956527214,0.8786480581191375,0.12135194188086251,0.7077759377028805,0.2922240622971195,0.7946933649711989,0.2053066350288011,0.8867582409905165,0.11324175900948352,0.5823783482245252,0.41762165177547483,0.40167110711346604,0.598328892886534,0.5972514909389727,0.4027485090610273,0.568961147607899,0.43103885239210105,0.1275902263868038,0.8724097736131962,0.3239765264538214,0.6760234735461785,0.020829740315907348,0.9791702596840927,0.001667242378596111,0.9983327576214039,0.03689715925579795,0.963102840744202,0.0013971435983360363,0.998602856401664,0.03230008896379279,0.9676999110362072,0.0012797470986607015,0.9987202529013393,0.3244500074738713,0.6755499925261287,0.27982620191450774,0.7201737980854923,0.22050344638422262,0.7794965536157774,0.6159605536836178,0.10806629956527214
