case,parameter,theta
historical_only,mu0,0.059469471394580954
historical_only,qN,0.014939941033320156
historical_only,betaG0,0.7969427351457699
historical_only,betaF0,0.49635118639171494
historical_only,qEG,1.5311566728738524
historical_only,qEF,1.3265135983829275
historical_only,iG,0.007704545191858687
historical_only,iE,0.026188010247588937
historical_only,Kd0,0.000753987457851095
historical_only,gammaG0,0.09845142463665203
historical_only,gammaF0,0.0001317665869675359
historical_only,kAcAld,0.0013923120060084
historical_only,kAcStress,0.0026158743573774
historical_only,k_EA_growth,0.1
historical_only,k_EA_stationary,0.28
historical_only,k_IAA_growth,0.003
historical_only,k_IAA_stationary,0.012
historical_only,k_EO_growth,0.0008
historical_only,k_EO_stationary,0.003
historical_only,alpha_EA_loss,1.0
historical_only,alpha_IAA_loss,1.0
historical_only,alpha_EO_loss,1.0
historical_only,kPyrS_N,0.8508617891421286
historical_only,kPyrO2,0.2731889591927507
historical_only,kPyrDrain,0.0035910294181966
historical_only,kAldS_N,2.359887977142201
historical_plus_lot1,mu0,0.0785780299336264
historical_plus_lot1,qN,0.016296441287017016
historical_plus_lot1,betaG0,0.7138298895044697
historical_plus_lot1,betaF0,0.5398215404690709
historical_plus_lot1,qEG,1.5554041122984843
historical_plus_lot1,qEF,1.4011518771306635
historical_plus_lot1,iG,0.006401845212108186
historical_plus_lot1,iE,0.03964317272467652
historical_plus_lot1,Kd0,0.0009067101651034062
historical_plus_lot1,gammaG0,0.100932760545298
historical_plus_lot1,gammaF0,0.0004287262831490746
historical_plus_lot1,kAcAld,0.0013923120060084
historical_plus_lot1,kAcStress,0.0026158743573774
historical_plus_lot1,k_EA_growth,0.1
historical_plus_lot1,k_EA_stationary,0.28
historical_plus_lot1,k_IAA_growth,0.003
historical_plus_lot1,k_IAA_stationary,0.012
historical_plus_lot1,k_EO_growth,0.0008
historical_plus_lot1,k_EO_stationary,0.003
historical_plus_lot1,alpha_EA_loss,1.0
historical_plus_lot1,alpha_IAA_loss,1.0
historical_plus_lot1,alpha_EO_loss,1.0
historical_plus_lot1,kPyrS_N,0.8508617891421286
historical_plus_lot1,kPyrO2,0.2731889591927507
historical_plus_lot1,kPyrDrain,0.0035910294181966
historical_plus_lot1,kAldS_N,2.359887977142201
