fit,n_batches,mediums,parameters,n_parameters,success,status,message,nfev,initial_wsse,final_wsse,n_residuals,dof,wsse_per_residual,wsse_per_dof,l2_lambda,l2_parameters,best_seed
historical_only,19,"natural,synthetic","mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0",11,True,3,`xtol` termination condition is satisfied.,8,25423.53156635537,23859.608424464524,1150,1139,20.747485586490892,20.94785638671161,0.0,,qN_up_25pct
historical_plus_lot1,22,"natural,synthetic","mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0",11,True,3,`xtol` termination condition is satisfied.,9,40773.13316876674,36256.53323555278,1537,1526,23.58915630159582,23.75919609145005,0.0,,qN_up_25pct
