,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0
mu0,89376.90551410854,-54326.2430049549,-13078.655920139232,-5729.591890015918,31983.248864953188,37733.40352424783,-7139.481584368966,-37072.860857868975,412.5922544317905,7338.884186953076,24.38937727150769
qN,-54326.2430049549,51827.28524901863,10487.342297114166,4972.10539325734,-22678.39672498236,-29884.58786705927,5445.0200037129425,27651.928573505076,-279.88550458477516,-4644.4802119344495,-15.593103723343221
betaG0,-13078.655920139232,10487.342297114166,29833.64445187958,20279.277279705555,-31482.811342665264,-26118.44781553259,1227.9854335294258,8309.349583897421,1665.2451245490379,-4920.394612688879,-17.012706893884772
betaF0,-5729.591890015918,4972.10539325734,20279.277279705555,15011.898173965843,-18903.317244485388,-19702.60933331239,1028.8997473182585,3334.859000718494,1235.1685359151647,-1678.6210547366159,-5.769235215386301
qEG,31983.248864953188,-22678.39672498236,-31482.811342665264,-18903.317244485388,75686.07931649881,24121.23928250225,-756.3790254220424,-21481.467333552886,-1067.6468233211438,-15546.583394599365,-65.19898516508364
qEF,37733.40352424783,-29884.58786705927,-26118.44781553259,-19702.60933331239,24121.23928250225,65750.91873064039,-10735.467401365631,-28514.392633760657,-868.8889675128142,-169.16902595488617,-0.7465901637353662
iG,-7139.481584368966,5445.0200037129425,1227.9854335294258,1028.8997473182585,-756.3790254220424,-10735.467401365631,2536.5511719087162,5485.015027941276,-82.76618976660592,579.2050988322613,1.952955707772425
iE,-37072.860857868975,27651.928573505076,8309.349583897421,3334.859000718494,-21481.467333552886,-28514.392633760657,5485.015027941276,28996.53664697388,-620.9041187137559,-5443.088837035492,-18.499074846297543
Kd0,412.5922544317905,-279.88550458477516,1665.2451245490379,1235.1685359151647,-1067.6468233211438,-868.8889675128142,-82.76618976660592,-620.9041187137559,823.92799155384,-32.394088735628124,-0.1296719902543061
gammaG0,7338.884186953076,-4644.4802119344495,-4920.394612688879,-1678.6210547366159,-15546.583394599365,-169.16902595488617,579.2050988322613,-5443.088837035492,-32.394088735628124,30196.01098351867,114.73017532034181
gammaF0,24.38937727150769,-15.593103723343221,-17.012706893884772,-5.769235215386301,-65.19898516508364,-0.7465901637353662,1.952955707772425,-18.499074846297543,-0.1296719902543061,114.73017532034181,0.452634132282444
