annex_id,oe,activity,category,evidence_requirement,role_in_bundle,status,source_path,bundle_path,bytes,sha256
A03,OE3,3.10,datos,Datos crudos y homologados,Excel fuente mosto sintetico,ok,fermentation_model/data/mosto_sintetico_vl3.xlsx,rendicion_tecnica/A03_ensayos_estaciones_fermentacion_laboratorio/data_sources/mosto_sintetico_vl3.xlsx,126115,1bbf657740503af13facefea7a1e1cae52719e6ff4c570771b678562f170b4a2
A03,OE3,3.10,documentos_referencia,"Equipos, protocolos y fotos",Documento de referencia anexo_3_sistema_vinificacion,ok,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Proyectos I+D\PI-4497\Rendición Técnica 4\Anexo 3 - Nuevo sistema de vinificación laboratorio.pdf,rendicion_tecnica/A03_ensayos_estaciones_fermentacion_laboratorio/reference_documents/anexo_3_sistema_vinificacion.pdf,1138521,e70739cd0ff9c4e230d2b6840ed19b8617dc9423d4317df6d25e8d2884141225
A03,OE3,3.10,documentos_referencia,"Equipos, protocolos y fotos",Documento de referencia anexo_8_experimentos_2024,ok,C:\Users\ctorrealba\OneDrive - Viña Concha y Toro S.A\Documentos\Proyectos I+D\PI-4497\Rendición Técnica 4\Anexo 8 - Informe Experimentos a Escala Laboratorio – Vendimia 2024.pdf,rendicion_tecnica/A03_ensayos_estaciones_fermentacion_laboratorio/reference_documents/anexo_8_experimentos_2024.pdf,1111928,2fd04ad03492501543877f2f412836205d34615fe8ba15f9aec460679e7a81be
A03,OE3,3.10,codigo,Homologacion y procesamiento,Codigo de carga/homologacion,ok,fermentation_model/new_must_data_loader.py,rendicion_tecnica/A03_ensayos_estaciones_fermentacion_laboratorio/code_sources/new_must_data_loader.py,19130,f13c31e95313f767efde1d2c67079abf18c694b17d51880501c9e240551dd0bf
A03,OE3,3.10,codigo,Generacion reproducible del bundle,Script generador del bundle,ok,scripts/build_A03_fermentation_station_bundle.py,rendicion_tecnica/A03_ensayos_estaciones_fermentacion_laboratorio/code_sources/build_A03_fermentation_station_bundle.py,36471,18b885130d0295c0dddce49a0a889985542bebfdb14d8e7cee12596e2d739fa9
A03,OE3,3.10,figuras,Resultados y datos,Figura de respaldo,ok,fermentation_model/results/new_must_data_loading/density_sugar_regression.png,rendicion_tecnica/A03_ensayos_estaciones_fermentacion_laboratorio/figures/density_sugar_regression.png,89105,3e2ef63733621ef24150fec91129f9050c3c2fd8df637f63ddfdb9f35355aec5
A03,OE3,3.10,figuras,Resultados y datos,Figura de respaldo,ok,fermentation_model/results/new_must_data_loading/operational_inputs_by_medium.png,rendicion_tecnica/A03_ensayos_estaciones_fermentacion_laboratorio/figures/operational_inputs_by_medium.png,111650,358b95023511962b6407d2057d7562c022ebe40285fcbc4623d392952c08594f
A03,OE3,3.10,figuras,Resultados y datos,Figura de respaldo,ok,fermentation_model/results/new_must_data_loading/batch_trajectory_synthetic_MS007.png,rendicion_tecnica/A03_ensayos_estaciones_fermentacion_laboratorio/figures/batch_trajectory_synthetic_MS007.png,165265,e7b2069decfe3e8c2a50e23573208500ff841305b8efc546ea8b57016aedd3e0
A03,OE3,3.10,tablas_fuente,Datos crudos y registros de proceso,Export CSV hoja summary,ok,fermentation_model/data/mosto_sintetico_vl3.xlsx,rendicion_tecnica/A03_ensayos_estaciones_fermentacion_laboratorio/source_tables/00_Resumen.csv,753,6d3b9f60d99fb74b9e6e3556106892eb7d4924441763cd157d196882193e5c87
A03,OE3,3.10,tablas_fuente,Datos crudos y registros de proceso,Export CSV hoja homologated,ok,fermentation_model/data/mosto_sintetico_vl3.xlsx,rendicion_tecnica/A03_ensayos_estaciones_fermentacion_laboratorio/source_tables/Datos_homologados.csv,73774,9c55a37b84614f786c9dc589babb4ce42dff9243c1f32207f07d7042c37edf28
A03,OE3,3.10,tablas_fuente,Datos crudos y registros de proceso,Export CSV hoja design,ok,fermentation_model/data/mosto_sintetico_vl3.xlsx,rendicion_tecnica/A03_ensayos_estaciones_fermentacion_laboratorio/source_tables/Diseno_CCD.csv,1898,bcd744aa0bbfe2943b9b1e3536b4ef51f04049ca50b14b594acbbbbb99678fc5
A03,OE3,3.10,tablas_fuente,Datos crudos y registros de proceso,Export CSV hoja raw,ok,fermentation_model/data/mosto_sintetico_vl3.xlsx,rendicion_tecnica/A03_ensayos_estaciones_fermentacion_laboratorio/source_tables/Datos_originales.csv,10883,cfb2600d417c8bf84fb6b780a9bd5377d06211c38b48c070628d6b9dedc2b315
A03,OE3,3.10,tablas_fuente,Datos crudos y registros de proceso,Export CSV hoja flags,ok,fermentation_model/data/mosto_sintetico_vl3.xlsx,rendicion_tecnica/A03_ensayos_estaciones_fermentacion_laboratorio/source_tables/Flags_calidad.csv,170,1dacbf65c3daaacd0cfd827a982da21f7945641025f1ce848c8315d96778d7f2
A03,OE3,3.10,tablas_fuente,Datos crudos y registros de proceso,Export CSV hoja dictionary,ok,fermentation_model/data/mosto_sintetico_vl3.xlsx,rendicion_tecnica/A03_ensayos_estaciones_fermentacion_laboratorio/source_tables/Diccionario_mapeo.csv,1260,f536dd1e871211289f8a31499ae7207b758e25d23ef9810913e049a179c0b471
A03,OE3,3.10,tabla_anexo,Contenido minimo y evidencia fuente,Tabla segun imagen,ok,generated,rendicion_tecnica/A03_ensayos_estaciones_fermentacion_laboratorio/01_tabla_anexo_A03.csv,540,221892652e2f09bea7871181a9cec689166f0d90758e6a64a4ba1bc3a5e54b3c
A03,OE3,3.10,matriz_cumplimiento,Contenido minimo,Matriz contenido minimo a evidencia,ok,generated,rendicion_tecnica/A03_ensayos_estaciones_fermentacion_laboratorio/02_matriz_cumplimiento_A03.csv,1761,79c5961ab528211b731ab962c50881af37e1d68994bf67485397ea8b8eb4234a
A03,OE3,3.10,documentos_referencia,"Equipos, protocolos y fotos",Resumen de PDF de referencia,ok,generated,rendicion_tecnica/A03_ensayos_estaciones_fermentacion_laboratorio/tables/02_documentos_referencia_pdf.csv,5658,b3384cf8da2ebc1a8487a21de77776512457cd7cb5ce362dde702c53a7906e13
A03,OE3,3.10,datos,Datos crudos,Resumen de hojas del Excel,ok,generated,rendicion_tecnica/A03_ensayos_estaciones_fermentacion_laboratorio/tables/03_excel_hojas_resumen.csv,7287,dbfb2e3e3d8d2be1dce1f80bc0b6c01f1abcf3bcb289b1b0a1264618bc6bddef
A03,OE3,3.10,diseno,Diseno experimental,Diseno CCD por cubada,ok,generated,rendicion_tecnica/A03_ensayos_estaciones_fermentacion_laboratorio/tables/03_diseno_experimental_CCD.csv,1705,9a5c2edc423d8c2d8782c596f01668bf697f827e1d4135a7149d490756ec39de
