fit_label,success,status,message,nfev,n_parameters_fit,n_batches,n_residuals,initial_wsse,final_wsse,wsse_per_residual
batch_v2_reduced_o2fixed_synthetic_MS007,False,0.0,The maximum number of function evaluations is exceeded.,80.0,7,1,9,22.037486749056118,1.9897021680431495,0.22107801867146104
batch_v2_all_o2free_synthetic_MS007,True,2.0,`ftol` termination condition is satisfied.,43.0,10,1,9,22.037486749056118,0.8759579607279926,0.09732866230311028
batch_v2_reduced_o2fixed_synthetic_MS008,True,2.0,`ftol` termination condition is satisfied.,76.0,7,1,9,18.622732974152576,8.720450805149143,0.9689389783499048
batch_v2_all_o2free_synthetic_MS008,True,2.0,`ftol` termination condition is satisfied.,32.0,10,1,9,18.622732974152576,4.213337851128433,0.4681486501253814
batch_v2_reduced_o2fixed_synthetic_MS009,True,2.0,`ftol` termination condition is satisfied.,22.0,7,1,9,81.10850468808725,21.662439370355095,2.406937707817233
batch_v2_all_o2free_synthetic_MS009,True,2.0,`ftol` termination condition is satisfied.,62.0,10,1,9,81.10850468808725,5.411407290730648,0.6012674767478497
batch_v2_reduced_o2fixed_synthetic_MS010,True,2.0,`ftol` termination condition is satisfied.,79.0,7,1,9,41.00917492693211,15.400091133605708,1.7111212370673008
batch_v2_all_o2free_synthetic_MS010,True,2.0,`ftol` termination condition is satisfied.,28.0,10,1,9,41.00917492693211,10.882264806276636,1.2091405340307373
batch_v2_reduced_o2fixed_synthetic_MS011,True,2.0,`ftol` termination condition is satisfied.,18.0,7,1,9,114.14134601898778,16.68729207708548,1.854143564120609
batch_v2_all_o2free_synthetic_MS011,True,2.0,`ftol` termination condition is satisfied.,29.0,10,1,9,114.14134601898779,10.405019662152982,1.1561132957947757
batch_v2_reduced_o2fixed_synthetic_MS012,True,2.0,`ftol` termination condition is satisfied.,17.0,7,1,9,96.31815912834259,11.095238388674105,1.2328042654082338
batch_v2_all_o2free_synthetic_MS012,True,2.0,`ftol` termination condition is satisfied.,15.0,10,1,9,96.31815912834259,10.452653291802777,1.1614059213114196
batch_v2_reduced_o2fixed_synthetic_MS013,False,0.0,The maximum number of function evaluations is exceeded.,80.0,7,1,8,39.127885233973295,5.94223557625448,0.74277944703181
batch_v2_all_o2free_synthetic_MS013,True,2.0,`ftol` termination condition is satisfied.,13.0,10,1,8,39.127885233973295,2.890397288899119,0.36129966111238987
batch_v2_reduced_o2fixed_synthetic_MS014,True,2.0,`ftol` termination condition is satisfied.,72.0,7,1,8,46.95887962141124,13.890313168150438,1.7362891460188048
batch_v2_all_o2free_synthetic_MS014,True,2.0,`ftol` termination condition is satisfied.,30.0,10,1,8,46.95887962141124,2.7081020041559563,0.33851275051949453
batch_v2_reduced_o2fixed_synthetic_MS015,True,2.0,`ftol` termination condition is satisfied.,13.0,7,1,8,30.556456046108323,12.195885221568414,1.5244856526960517
batch_v2_all_o2free_synthetic_MS015,True,2.0,`ftol` termination condition is satisfied.,22.0,10,1,8,30.556456046108323,6.992832557265073,0.8741040696581341
batch_v2_reduced_o2fixed_synthetic_MS016,True,2.0,`ftol` termination condition is satisfied.,67.0,7,1,8,113.45877836948848,25.958015326369804,3.2447519157962255
batch_v2_all_o2free_synthetic_MS016,False,0.0,The maximum number of function evaluations is exceeded.,80.0,10,1,8,113.45877836948848,1.2842234056327375,0.1605279257040922
