fit_label,parameter,n,min,median,max,fold_range,robust_cv
batch_v2_all_o2free,kPyrS_N,27,0.00010000000042857229,0.005296612528057251,2.438536127376279,24385.361169253887,195.06115373845387
batch_v2_all_o2free,kPyrO2,27,0.00010000000000000026,1.1805678419568058,9.982827012018044,99828.27012018018,1.5221364266829593
batch_v2_all_o2free,kPyrDrain,27,0.0010190299031682603,0.0073525093770779315,0.14855126610242816,145.7771412208496,1.17106853262271
batch_v2_all_o2free,kAldS_N,27,0.00023877665440902993,2.168405174608411,9.999999999999998,41880.14119198507,1.4774677893804735
batch_v2_all_o2free,kAldRed,27,1.0000000000000016e-05,2.7846428703519154e-05,1.9769548086516067,197695.48086516035,23.38016050669674
batch_v2_all_o2free,kAcAld,27,4.267440243903996e-05,0.004115018089753364,1.693591107064618,39686.34615291682,13.477082097197368
batch_v2_all_o2free,kAcStress,27,1.0000000008492341e-06,0.0026158743573774,0.4682471625123846,468247.16211473313,0.5654121870220589
batch_v2_all_o2free,qO2,27,0.00010386904259955055,0.09896527085157876,0.3597248658720765,3463.2538903716927,0.9383465131557103
batch_v2_all_o2free,kLaO2,27,1.000000000000634e-05,0.0005904233135678596,0.10834011913245692,10834.011913238823,14.168084141514917
batch_v2_all_o2free,O2sat,27,0.5000000395103007,2.284355620522702,7.999999868925375,15.999998473521249,3.2554459586703017
