medium,batch,label,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAldRed,kAcAld,kAcStress,qO2,kLaO2,O2sat
historical_vl3,25026,historical_vl3/25026,0.008662533190380507,2.2931782744928983,0.005636239933005276,1.0448870127390488,1.9769548086516067,0.007832593133272973,0.0026158743573774118,0.3597248658720765,0.014172307109260337,1.1500178815853344
historical_vl3,25027,historical_vl3/25027,0.0014599512759525862,9.982827012018044,0.14855126610242816,2.0583116234357903,4.3185309887968836e-05,0.0012793680274686327,0.0026158743573774,0.00010386904259955055,0.10834011913245692,0.5001647794319095
historical_vl3,25085,historical_vl3/25085,0.00011395292321807971,2.666854707465685,0.023164874949581714,2.9480019843349483,1.0000000000000016e-05,0.0012120896816216818,0.028690354823750062,0.13226809825008523,0.016678060927428327,7.998661325043654
historical_vl3,25086,historical_vl3/25086,0.0002395988225105092,3.589429952364552,0.03223089070812025,1.2396941037379743,1.0000000000000477e-05,0.0009957439755547757,0.0016938737624738306,0.14728300156919702,0.02300226103468147,7.999091680910923
historical_vl3,25150,historical_vl3/25150,2.438536127376279,0.00010000000000000063,0.002734931670484755,3.371667509392044,1.0000099296823933e-05,0.011195018194311221,0.013422634576003298,0.09896527085157876,0.015525490757761828,0.5000532056258628
historical_vl3,25151,historical_vl3/25151,2.0604852159994165,0.00010082650343148384,0.0016162532176106238,3.008798865335192,1.502214819659219e-05,0.007225731015292289,2.5704657564290585e-05,0.10290616904053802,0.006830935908899777,1.777201496517736
historical_vl3,25170,historical_vl3/25170,0.00010000005585550161,0.8794362378182026,0.009999658153427552,3.382970407342877,0.0001629560762544671,0.0009310852685280024,1.0678121300666182e-06,0.0665114158622329,0.00454489624268819,7.988717233679389
historical_vl3,25171,historical_vl3/25171,0.003128111125120751,0.3921871636071826,0.0020979903039636018,2.168405174608411,0.0004970181277551918,4.267440243903996e-05,0.002615874357377402,0.05885646347828446,0.0007087884251586265,4.7277301813939445
natural,LAB004,natural/LAB004,0.5272532986908367,1.1805678419568058,0.023221554199164527,2.7678748046585246,1.0000016628308635e-05,0.0040160457785993016,0.0009078142669226372,0.11935652785674766,0.015099545702567468,7.880669864060545
natural,LAB005,natural/LAB005,0.005296612528057251,2.035337648007641,0.012836066610104058,4.168162300346002,1.0008962292575666e-05,0.018881719490388704,5.346226434094911e-05,0.26228255724966526,0.009919418992938127,6.732286154368762
natural,LAB006,natural/LAB006,0.8265856112125786,0.0001000000000000056,0.009117215017402341,9.999999999999998,0.0009861395185241976,0.06643827512876135,0.4682471625123846,0.14642943170850917,1.0052946382686927e-05,5.514058144958273
