fit_label,state,n_obs,wsse,wsse_per_obs,rmse_weighted_mean,mae_weighted_mean
batch_v2_all_o2free,AcAld,193,425.56549597668675,2.2050025698273923,11.248566503821738,7.896997290445378
batch_v2_all_o2free,Acetate,50,59.117417417551174,1.1823483483510235,0.0360318679144675,0.02772576216357555
batch_v2_all_o2free,O2,32,110.45831397669515,3.4518223117717235,0.37094352034214817,0.3209750356872127
batch_v2_all_o2free,Pyr,313,362.75196240556033,1.1589519565672854,5.89605289097005,4.540201763982775
batch_v2_reduced_o2fixed,AcAld,193,685.1902022541166,3.5502083018348007,13.691246661876225,9.945551394265488
batch_v2_reduced_o2fixed,Acetate,50,99.2743319566513,1.985486639133026,0.04600720007375487,0.03542596479201831
batch_v2_reduced_o2fixed,O2,32,98.12937294072681,3.066542904397713,0.34561549980171025,0.2976180633320008
batch_v2_reduced_o2fixed,Pyr,313,466.1470966067376,1.4892878485838261,6.844140495729041,5.256607129381603
global_v2_reduced_o2fixed,AcAld,193,2686.8937388578743,13.921729216880177,28.462373656346376,23.61516894783652
global_v2_reduced_o2fixed,Acetate,50,677.1163670480564,13.542327340961128,0.12754326601774302,0.10496049422675176
global_v2_reduced_o2fixed,O2,32,98.12937294072681,3.066542904397713,0.34561549980171025,0.2976180633320008
global_v2_reduced_o2fixed,Pyr,313,2291.954844880678,7.322539440513348,15.431787415071703,12.128513142973343
medium_v2_reduced_o2fixed,AcAld,193,2308.0287606007946,11.958698241454895,25.915700864209956,21.222548394350326
medium_v2_reduced_o2fixed,Acetate,50,675.3956029231201,13.507912058462402,0.1276671750723056,0.10537343266610318
medium_v2_reduced_o2fixed,O2,32,98.12937294072681,3.066542904397713,0.34561549980171025,0.2976180633320008
medium_v2_reduced_o2fixed,Pyr,313,1645.3531141641893,5.256719214582074,12.700923687856829,9.767177129225663
batch_v2_all_o2free,ALL,588,957.8931897764935,1.629070050640295,,
batch_v2_reduced_o2fixed,ALL,588,1348.7410037582324,2.2937772172759057,,
global_v2_reduced_o2fixed,ALL,588,5754.094323727336,9.785874700216558,,
medium_v2_reduced_o2fixed,ALL,588,4726.906850628831,8.038957228960598,,
