,theta_secondary_joint
mu0,0.0601697224171635
sN,8.751445870938538
qN,0.0146092346863683
qXG,0.0814909864046577
qXF,0.0709327065015376
betaG0,0.779853869422414
sG,0.0974550987386739
betaF0,0.5108967442490071
sF,0.1782952055176543
qEG,1.5379361359484045
qEF,1.262713484739452
iG,0.0073666781875985
iE,0.0258618456174518
Kd0,0.0006690744222537
m0,0.0183385793928771
gammaG0,0.0975070871956685
gammaF0,0.0013892430460828
kPyrS,0.4414987236423745
kPyrD,0.007820910724598559
kAldPyr,0.0001989638630771814
kAldS,0.8021403800399333
kAldRed,0.00010068679901843212
kAcAld,0.0024324813514460305
kAcStress,0.0026055689557885394
kAcAssim,1.013544893471728e-05
qO2,0.04169605306721663
kLaO2,0.0015008512210468578
O2sat,2.7130150807727516
k_EA_growth,0.1
k_EA_stationary,0.28
k_IAA_growth,0.003
k_IAA_stationary,0.012
k_EO_growth,0.0008
k_EO_stationary,0.003
alpha_EA_loss,1.0
alpha_IAA_loss,1.0
alpha_EO_loss,1.0
