parameter,nominal,lower_bound,upper_bound,theta_minus,theta_plus,delta,minus_pct,plus_pct,mode,n_common_predictions,n_missing_sensitivities,used_in_q_matrix,dropped_from_q_reason
mu0,0.13652810728742387,0.05,1.0,0.1092224858299391,0.16383372874490865,0.05461124291496955,-0.19999999999999996,0.19999999999999996,central_clipped,286,0,True,
betaG0,1.983794221144364,0.1,10.0,1.5870353769154912,2.3805530653732365,0.7935176884577453,-0.19999999999999996,0.19999999999999996,central_clipped,286,0,True,
betaF0,0.8566482467324674,0.1,10.0,0.685318597385974,1.027977896078961,0.34265929869298695,-0.19999999999999996,0.19999999999999996,central_clipped,286,0,True,
Kn0,0.08609038129868851,0.01,0.1,0.06887230503895081,0.1,0.031127694961049196,-0.19999999999999996,0.16156995115461736,central_clipped,286,0,True,
Kg0,1.6144433417628585,0.01,10.0,1.291554673410287,1.93733201011543,0.6457773367051431,-0.19999999999999996,0.19999999999999996,central_clipped,286,0,True,
Kf0,0.285444134943843,0.01,10.0,0.22835530795507442,0.3425329619326116,0.11417765397753721,-0.19999999999999996,0.19999999999999996,central_clipped,286,0,True,
Kig0,50.34800210633763,10.0,1000.0,40.27840168507011,60.417602527605155,20.139200842535047,-0.19999999999999996,0.19999999999999996,central_clipped,286,0,True,
Kie0,16.234190686616866,10.0,1000.0,12.987352549293494,19.48102882394024,6.493676274646745,-0.19999999999999996,0.19999999999999996,central_clipped,286,0,True,
Yxn,3.523271430882247,1.0,100.0,2.8186171447057977,4.227925717058696,1.4093085723528982,-0.19999999999999996,0.19999999999999996,central_clipped,286,0,True,
Yxg,2.608882056665494,0.1,10.0,2.0871056453323953,3.1306584679985927,1.0435528226661974,-0.19999999999999996,0.19999999999999996,central_clipped,286,0,True,
Yxf,0.1625836076203427,0.1,10.0,0.13006688609627418,0.19510032914441125,0.06503344304813707,-0.19999999999999996,0.19999999999999996,central_clipped,286,0,True,
Yeg,1.004391698695511,0.1,10.0,0.8035133589564089,1.2052700384346131,0.40175667947820426,-0.19999999999999996,0.19999999999999996,central_clipped,286,0,True,
Yef,0.36857568240713795,0.1,10.0,0.29486054592571037,0.44229081888856553,0.14743027296285516,-0.19999999999999996,0.19999999999999996,central_clipped,286,0,True,
m0,0.00015992178849722302,0.0001,0.05,0.00012793743079777842,0.0001919061461966676,6.396871539888918e-05,-0.19999999999999996,0.19999999999999996,central_clipped,286,0,True,
