batch,state,t,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0
25026,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,X,12.0,6.513093560843679,0.3339524004334872,-0.07992699938721093,1.1102230246251567e-15,0.0,-2.220446049250313e-15,-2.220446049250313e-15,0.0,0.0,0.0,-2.220446049250314e-15,-1.1102230246251571e-15,-1.1102230246251573e-15,0.0,2.220446049250313e-15
25026,X,36.0,9.510381662346042,6.405746225457423e-05,-9.906464954125909,4.440892098500627e-15,4.440892098500627e-15,-4.440892098500626e-15,4.440892098500626e-15,0.0,0.0,0.0,-4.440892098500628e-15,4.4408920985006285e-15,-4.440892098500629e-15,0.0,4.440892098500626e-15
25026,X,42.0,9.510271226862809,1.1345543837748555e-06,-9.906530457587888,0.0,4.440892098500627e-15,0.0,0.0,-4.440892098500626e-15,-4.440892098500626e-15,0.0,-4.440892098500628e-15,0.0,0.0,0.0,4.440892098500626e-15
25026,X,60.0,13.448269956297366,2.8020168816311763e-05,-14.00860845702948,4.440892098500627e-15,4.440892098500627e-15,-4.440892098500626e-15,0.0,4.440892098500626e-15,0.0,-4.440892098500628e-15,4.440892098500628e-15,0.0,0.0,0.0,4.440892098500626e-15
25026,X,84.0,13.448270000002664,3.0238034298690776e-11,-14.008614575518235,0.0,4.440892098500627e-15,0.0,0.0,-4.440892098500626e-15,0.0,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-15
25026,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,N,12.0,-13.08647307497304,-1.2826809747981471,-11.23615943231733,0.0,0.0,1.0495425316616225e-14,0.0,0.0,1.0495425316616225e-14,0.0,0.0,0.0,0.0,0.0,0.0
25026,N,36.0,-0.0005430517784723027,-0.00024603892058905135,-0.0001957674655127212,-3.8335303270950465e-17,-3.800499909133131e-17,-1.0971203464313707e-15,-1.631502462967343e-17,-1.0959893048466143e-15,-1.9187670070603662e-17,1.0963996827667477e-15,1.0946580789105739e-15,6.6861573328968446e-18,-1.0955088624035325e-15,0.0,-2.079915409844257e-17
25026,N,42.0,-5.97220821609364e-06,-4.357720804738968e-06,-2.3509022029579133e-06,-4.393108146544543e-19,-4.363393281900775e-19,-2.1028468400719268e-15,-1.8720364725574288e-19,-2.1028290111531404e-15,-2.2004639238832935e-19,2.10283495412607e-15,2.1028155612670393e-15,7.647667795159424e-20,-2.1028282291830196e-15,0.0,-2.388136753212359e-19
25026,N,60.0,-1.665386642261506e-05,-0.00010762293489446568,-6.9351044745440796e-06,-5.004608782108415e-21,-2.001843512843366e-20,5.004608782108414e-21,-2.5023043910542073e-20,1.5013826346325245e-20,3.002765269265049e-20,1.5013826346325248e-20,1.0009217564216833e-20,-1.0009217564216834e-20,-1.0009217564216834e-20,0.0,1.5013826346325242e-20
25026,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,G,12.0,-1.859564836100732,-0.10562865861423895,0.021075467035657457,-0.25830115094669176,-9.804954756453615e-05,0.1688008930011595,-0.13286798419919107,0.012459989150114028,0.001353326932813803,-1.3520464284473712,-0.00017941720207905045,-0.00906314106067836,0.2163486797833668,0.0,-0.02065486077440791
25026,G,36.0,-8.654944279290596,-0.30432121804981016,5.711969092497977,-0.7491891505816708,-0.005329603195819835,2.147346768122732,-1.0642932830348812,0.40689027866263583,0.05000468753535858,-8.797219578996133,-0.01697015400667548,-0.26126337389860876,2.304312810552024,0.0,-0.15743237835715573
25026,G,42.0,-9.306053653262486,-0.27518309592307366,6.708876086855581,-0.7187290596334797,-0.007088295808984992,2.679529386981684,-1.305069718216944,0.5294409985643099,0.0655684182609165,-10.092055638964396,-0.026547755561336248,-0.3306400557735231,2.797252605330085,0.0,-0.18520220238258703
25026,G,60.0,-8.852546481566554,-0.18825826253678626,7.3865589838565695,-0.7343045672330577,-0.015287198330513452,3.8499825586695375,-2.038689068263585,0.8008636484120116,0.10437420654127712,-10.74122151165322,-0.08471419491277984,-0.42640148109872983,3.4608874104383887,0.0,-0.21753527479817192
25026,G,84.0,-2.541946553609486,-0.027970767464132806,1.856109808130557,-0.12551965892279388,-0.008099942259912762,1.244720533875979,-0.8321846640807179,0.24863666543627566,0.029382920277562542,-3.706782529290158,-0.07832151106014537,-0.09307170508439776,0.9093641498565314,0.0,-0.06031885309045725
25026,G,90.0,-1.512819119415723,-0.013746672150581483,1.0586427419441191,-0.06277609364240268,-0.005764792166425084,0.7249504305321799,-0.4975005062467482,0.14295370481527697,0.013039524437030936,-2.3790434437719132,-0.06695010994558466,-0.04378144309723865,0.5009341411189177,0.0,-0.035979446436532364
25026,G,108.0,-0.24511335472682003,-0.0014208783207633742,0.15387379174835633,-0.006006984201486308,-0.0025205108468671295,0.10597890448812813,-0.06432014758572072,0.029949208369237354,-0.007600739513845012,-0.45495875893305543,-0.03207181311571052,0.0023461004727624826,0.06631168547949284,0.0,-0.01006225009299333
25026,G,114.0,-0.12510174049128475,-0.0005351275145186111,0.07489490230703733,-0.002011014065775879,-0.0014807333060919345,0.04438941035512688,-0.02011955442545508,0.013914324020192052,-0.0059846380781722695,-0.2279685634958472,-0.015771598535054204,0.0028556846735811234,0.02768059079470432,0.0,-0.0057929039831241085
25026,G,132.0,-0.00983157044388285,-4.281659341000043e-07,0.003106112372097469,-1.5231982684157563e-06,-1.4114218395051843e-06,0.00013464041766269121,-1.7357351119162296e-05,5.727208405852271e-05,-1.1978566117727464e-05,-0.0033828570238331524,-0.0007986362487681494,3.2227568248635598e-06,9.411242529192236e-05,0.0,-1.4873419002298755e-05
25026,G,138.0,-0.002091164811467655,-3.0641938607131886e-08,0.00038119376288556407,-1.0935709945640166e-07,-1.013075938529417e-07,1.136666559937325e-05,-1.3086841360925e-06,4.661043906326228e-06,-8.585294009243052e-07,-0.0003030430003429374,-0.0001157830341595759,2.3047758637592854e-07,6.964730312266863e-06,0.0,-1.4293753550020264e-06
25026,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,F,12.0,-0.8216831843356023,-0.053760897108612316,0.011437696464687244,-0.0025083053294655275,-0.24050501727696993,0.013598076293533903,2.3287710454409427e-05,0.047224965536257546,-0.043961443783935475,-0.013359782986582185,-0.43876232836101253,0.28730489037373463,0.07247742206645004,0.0,-0.019457440727583014
25026,F,36.0,-4.716184689325305,-0.17045634273650956,3.5670030558018726,-0.10508450266988752,-0.7419435202401369,0.6191195693962053,-0.038293530975492554,0.6373731642037149,-0.4112371212005456,-0.8733778189438223,-3.7464351276585526,2.010514660250672,1.2087539742161355,0.0,-0.19867779351515139
25026,F,42.0,-5.6895512712610135,-0.17265672586168654,4.58503125756059,-0.13867890352664564,-0.7347141436827755,0.8980279323250971,-0.07053383758671174,0.854754154807599,-0.5202719463948465,-1.3388938145354354,-4.635121233074821,2.35195823593988,1.653311833045425,0.0,-0.2557144701577352
