batch,state,t,mu0,betaG0,betaF0,Kn0,Kg0,Kf0,Kig0,Kie0,Kd0,Yxn,Yxg,Yxf,Yeg,Yef,m0
25026,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,X,12.0,2.031261505296183,-5.333808691961598e-16,-2.666904345980799e-16,-1.7078158920968296,-1.600142607588479e-17,-8.000713037942395e-18,-1.6223142354732809e-18,-1.5001336946141994e-18,0.0,0.0002342095733447445,-7.500668473071001e-17,-3.7503342365355003e-17,-1.2245989343789386e-16,-1.2245989343789386e-16,0.0
25026,X,36.0,0.0006471279112265548,0.0,0.0,-0.00039718155075048995,-3.200285215176958e-17,0.0,-6.4892569418931236e-18,0.0,0.0,0.026105050475984545,0.0,1.5001336946142001e-16,0.0,4.898395737515754e-16,0.0
25026,X,42.0,1.100494695000778e-05,0.0,1.0667617383923195e-15,-7.0814025153344175e-06,0.0,0.0,0.0,0.0,0.0,0.026105188324243345,0.0,0.0,0.0,0.0,0.0
25026,X,60.0,1.2697975579765693e-05,-1.0667617383923195e-15,0.0,-0.0001707044967239131,-3.200285215176958e-17,-3.200285215176958e-17,-6.4892569418931236e-18,6.0005347784567976e-18,0.0,0.036914776398522045,0.0,0.0,0.0,0.0,0.0
25026,X,84.0,1.1081920974071311e-10,0.0,1.0667617383923195e-15,-2.256585110925577e-09,0.0,0.0,-6.4892569418931236e-18,0.0,0.0,0.036914792429377695,-1.5001336946142001e-16,0.0,0.0,0.0,0.0
25026,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,N,12.0,-0.7903569190272766,2.553998216298957e-16,0.0,0.6645053348493639,0.0,7.66199464889687e-18,0.0,0.0,0.0,0.003244775847408796,3.59155999167041e-17,0.0,1.1727542829944194e-16,1.1727542829944194e-16,0.0
25026,N,36.0,-0.0002517952616149522,2.67170013757546e-17,2.755926038530296e-17,0.00015454198582771616,9.243415099005262e-21,1.1274774306533692e-20,-9.986380576809888e-22,1.5002281917110813e-19,0.0,4.347088824324898e-08,1.325544087196778e-20,1.2364894456796816e-20,-1.2253359459932858e-17,-1.2226293559465495e-17,-1.1393513828556485e-17
25026,N,42.0,-4.281987299074942e-06,5.117161905856822e-17,5.118131992528733e-17,2.7553495656613386e-06,1.060663614992081e-22,1.2924340281711901e-22,-1.1413403246400397e-23,2.878379595794823e-19,0.0,5.187682021922631e-10,1.5199229682004397e-22,1.423589822328581e-22,-2.349701299054393e-17,-2.3496700180872976e-17,-1.3058493107074194e-19
25026,N,60.0,-4.94073896132737e-06,1.2178412515158448e-22,1.2178412515158448e-22,6.642053708511028e-05,1.0960571263642602e-23,7.307047509095068e-24,3.7041470982232524e-24,6.850357039776626e-25,0.0,1.9762911910072683e-09,-6.85035703977663e-23,-3.425178519888315e-23,0.0,-2.7960640978680114e-22,8.220428447731952e-21
25026,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,G,12.0,-0.0799328097284624,-0.03794698889968608,0.00039285689777477506,0.06514700078295807,0.00011158436372519201,-1.1362237359691025e-06,1.5763311578672346e-06,-3.608730080972497e-05,0.0,-7.420031940555817e-06,0.0010943278819684067,4.1560186600903136e-07,0.018696454027104584,2.4839705952310134e-06,-0.013441145931587762
25026,G,36.0,-0.15777936174763368,-0.2230101931180845,0.012665224782596409,0.18947580403750758,0.0008979583416029117,-4.2024544784383935e-05,4.5852116089876726e-05,-0.00037887629638899765,0.0,-0.0018584301171408902,0.003172965160531723,2.2635283889388596e-05,0.12072591063511484,0.00023678174348875302,-0.10244908425988566
25026,G,42.0,-0.14270654808687175,-0.2524237115105309,0.0163644606517481,0.17133662302123517,0.0011029925312099754,-5.511392759820458e-05,5.8100785221094414e-05,-0.00045957199400130497,0.0,-0.002185564984019075,0.0030433458351825054,3.0109862481883034e-05,0.13779455581280228,0.0003714491834775462,-0.12052029090207673
25026,G,60.0,-0.08638700892286373,-0.2626153195231161,0.02361953419196278,0.11709449459867616,0.0017335556084132331,-8.788755725737438e-05,7.514476354452024e-05,-0.0005775448943827164,0.0,-0.0025158331682396777,0.003098302616644234,6.50606178106718e-05,0.13642113835454023,0.0012095444014249557,-0.14156103039195117
