epoch,evaluations,cache_hits,successful_evaluations,failed_evaluations,best_objective,relative_improvement_since_checkpoint
1,12,0,6,6,12494.97028093485,inf
5,60,0,49,11,7579.77714026094,0.3933737360042896
10,120,0,104,16,6829.959500139831,0.09892344144768556
15,180,0,162,18,6563.663398040595,0.0389894115907692
20,240,0,221,19,6017.825643778617,0.08316053416525342
25,300,0,280,20,5883.64195889091,0.02229770233147732
30,360,0,338,22,5811.534817213174,0.012255528494349159
35,420,0,396,24,5762.458516753167,0.008444636744608082
40,480,0,455,25,5736.353146834351,0.004530248650453619
45,540,0,514,26,5709.9071605045065,0.004610243765141754
50,600,0,570,30,5701.254016649204,0.0015154613922896698
55,660,0,628,32,5696.635866432614,0.0008100235848293868
60,720,0,687,33,5693.655837448594,0.0005231208477937414
65,780,0,742,38,5692.642028848982,0.00017805933982595215
70,840,0,796,44,5692.237573933038,7.104871760665395e-05
75,900,0,852,48,5690.563958247456,0.0002940171881170943
