,theta_WSSE_pso_best
mu0,0.14985845904263273
betaG0,0.40554341803951327
betaF0,0.39257111305058295
Kn0,0.016569274239348383
Kg0,7.5
Kf0,8.26971980890598
Kig0,43.35974509832656
Kie0,33.84315923987616
Kd0,0.00044
Yxn,10.354713497812847
Yxg,1.6
Yxf,0.9262462710544613
Yeg,0.7408653665642276
Yef,0.6774584944299654
m0,0.02817843903217035
