batch,state,t,mu0,qN,qXG,qXF,betaG0,betaF0,qEG,qEF,iG
25026,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
25026,X,12.0,13.394526152841404,-2.454054089205164,2.220446049250313e-13,2.220446049250313e-13,-1.4051119850126968e-15,0.0,1.029246268649105e-15,0.0,
25026,X,36.0,18.572352562258118,-223.91926250173404,0.0,0.0,-2.8102239700253936e-15,0.0,2.05849253729821e-15,0.0,
25026,X,42.0,18.571637921273062,-223.92219467245533,-4.440892098500626e-13,0.0,0.0,3.864606749014003e-15,0.0,0.0,
25026,X,60.0,26.261863411403326,-316.64325702140167,0.0,0.0,0.0,0.0,0.0,0.0,
25026,X,84.0,24.88811317761907,-300.0303344401739,8.881784197001252e-13,0.0,-0.32739675922558975,-0.2645787364746273,0.0,0.0,
25026,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
25026,N,12.0,-0.5525435150704439,-6.617381719718281,0.0,0.0,1.756389981265871e-16,2.415379218133752e-16,1.2865578358113813e-16,1.3413906808195641e-16,
25026,N,36.0,-7.891565928651323e-05,-0.00020019000148217646,-2.5040411503205254e-17,-2.276401045745932e-18,5.170015222221862e-16,3.431202337222569e-16,-1.3639837407253232e-16,-2.9685248400262974e-17,
25026,N,42.0,-1.5472098472709798e-06,-3.0004465954057794e-06,1.9852334701272664e-19,9.926167350636332e-21,-3.676363645321941e-18,-2.1805653997479336e-18,1.0728053338190355e-18,2.3670919237341887e-19,
25026,N,60.0,-1.4358275168279266e-05,-1.4315950964733696e-05,1.0587911840678754e-19,1.5881867761018131e-19,4.355062438288941e-21,2.303485124715568e-21,-1.2269571645845234e-21,-5.116999362257248e-22,
25026,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
25026,G,12.0,-28.139348890261143,3.7708871627763365,-6.802128116291328,-0.002170682961377679,0.4789934583185252,0.2126326016334786,-8.639169086744637,-0.001251736480807499,
25026,G,36.0,-145.43612518740773,969.2590693976866,-17.66574105490548,-0.07663556885262324,8.85108995802821,4.343509831989418,-46.85335565600645,-0.06668112507289566,
25026,G,42.0,-160.24543967397585,1201.5394435808132,-17.358388321326856,-0.10174978827848236,11.311441563590233,5.628529340164136,-54.58788536195049,-0.10113819232465383,
25026,G,60.0,-203.8625254475826,1854.9978688020371,-22.79520526276002,-0.2438794569741276,19.5910509503513,10.36011585503557,-76.55989709012992,-0.3208474585663744,
25026,G,84.0,-201.71912090414125,1967.6417781401474,-17.650441094051672,-0.4105789774335733,24.08279680210046,13.784476491200092,-80.54766790324179,-0.7459508378668545,
25026,G,90.0,-187.49642879251638,1825.3703618583586,-15.65987712268857,-0.4302766197152863,23.395189373754068,13.747585486656488,-75.65337718076593,-0.8474925720841394,
25026,G,108.0,-121.56642247465135,1133.7595910922705,-8.713002322128904,-0.3886113162976379,16.46533931968936,10.319313741951447,-52.68241955041525,-0.9768942560613236,
25026,G,114.0,-97.95990810718958,892.6642091507049,-6.548938817604544,-0.3446080959723652,13.27995477328377,8.47078375085579,-44.46856986694629,-0.9434778820883174,
25026,G,132.0,-43.77418590221672,370.1053895889649,-2.3040578541488888,-0.2058826875465103,5.7638282271177035,3.818460046762878,-24.402189491442837,-0.7370350700321169,
25026,G,138.0,-32.103787702221936,265.54870739894403,-1.5649420350336563,-0.17034405622268212,4.196945232122662,2.804416990192717,-19.41801404302313,-0.6716264228496259,
25026,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
25026,F,12.0,-12.929842836121908,1.773383722850006,-0.06787698229970829,-6.818568509814327,0.21432044144557028,0.09517016078866003,-0.08803755128992863,-3.896673969978477,
25026,F,36.0,-83.99741262176221,561.5434706467883,-1.6197114518163858,-18.21332846035517,4.96286982078004,2.433516676946458,-3.020026993294481,-24.324207326456264,
25026,F,42.0,-97.78544726732225,736.9495205878693,-2.0603340671243586,-18.105371293891892,6.710459521320519,3.336364062431728,-4.375921346711137,-29.303687133959638,
25026,F,60.0,-157.11647934080221,1454.828550248469,-4.612067147242271,-25.068000439546267,14.740473627120396,7.782505106523631,-11.979510246032248,-47.93932225009865,
25026,F,84.0,-229.67915801519985,2339.629822396268,-7.9166257936122975,-23.699904233005498,26.81414918310042,15.271871585471679,-25.79005488360743,-69.07839138045325,
25026,F,90.0,-244.63056020689473,2520.424151462551,-8.597113772054854,-23.177064138714343,30.020671981767688,17.545437047370548,-29.263485922904763,-73.58595601031061,
25026,F,108.0,-269.47724963304285,2817.638555756526,-9.814949232495707,-20.992326877816936,38.14902707067714,23.79064492044873,-36.91107233340399,-82.27635687599118,
25026,F,114.0,-268.7912441855523,2805.597552031846,-9.847904909495497,-19.94400121974138,39.69183170391345,25.315120989901544,-38.044663315792675,-82.73082901552942,
25026,F,132.0,-237.49554249117318,2412.853795978724,-8.821655118818938,-15.815527450588007,39.27343111997368,26.77719925608632,-36.61891024696295,-75.03439129287366,
25026,F,138.0,-217.91931721583737,2177.5560102335407,-8.083703997821878,-14.034826429560887,37.065879542138326,25.794903231511526,-34.37108483124541,-69.53181413649357,
25026,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
25026,E,12.0,27.016774559130546,-3.5752811454552385,0.015798213386375437,-0.00646722558350632,8.209799509276685,3.69613827909906,0.02050553503987694,-0.0037255560478773953,
25026,E,36.0,149.3193262401758,-986.6253972333709,0.24581294206171833,-0.15194538009666303,39.387592650435316,20.125714890787822,0.4539839206611309,-0.14205073631482112,
25026,E,42.0,167.11432948962414,-1245.5501555541305,0.26853283466721223,-0.1962538917581469,45.31029033862878,23.838187365329194,0.5404881674842734,-0.2166716130657419,
25026,E,60.0,229.0351489015542,-2083.7191252262623,0.05711747061809547,-0.5129028155721471,63.826459983058626,37.778173306047016,-0.1561580566790082,-0.7560988696793254,
25026,E,84.0,264.2360894006855,-2614.7205823204595,-1.8365269442170984,-1.1753504132769876,81.32478651552081,55.98443606770782,-8.802338828065855,-2.5271002526499236,
25026,E,90.0,261.31028823991545,-2601.046321906515,-2.904324070826192,-1.4579493489748074,85.17149097798381,61.06091947771461,-13.880930379958041,-3.4398833916015996,
