profiled_theta,n_success,theta_hat,min_profile_objective,max_lr_stat,crosses_left,crosses_right,chi2_threshold
Kf0,10,0.0772367913955493,3674.5345593715615,62.30071715075155,False,True,3.841458820694124
Kg0,9,0.001,3676.711064627045,138.68395873942063,False,True,3.841458820694124
Kig0,8,41.49281243788179,3673.725295537456,4.599708321642538,False,True,3.841458820694124
Yef,8,0.7227165166592366,3673.525181649553,44.55505808952239,True,True,3.841458820694124
Yeg,9,0.836993590748342,3676.711064246052,119.2865047785026,True,True,3.841458820694124
Yxf,10,0.0738056894062923,3676.7200381819816,6597.473349486168,True,True,3.841458820694124
Yxg,8,3.080224020633149,3676.711065128748,1.2532888985879254,False,False,3.841458820694124
betaF0,10,1.0636250030788126,3673.0294659400174,13.83063810411022,True,True,3.841458820694124
betaG0,9,2.0,3675.367106709364,39.00088031507676,True,False,3.841458820694124
mu0,9,1.0,3676.711064463834,94.189796953322,True,False,3.841458820694124
