batch,state,t,mu0,betaG0,betaF0,Kn0,Kg0,Kf0,Kig0,Kie0,Yxn,Yxg,Yxf,Yeg,Yef,m0
25026,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,X,12.0,0.05471450345584182,0.0,-3.000267389228399e-17,-0.02018871680747537,3.0002673892284e-17,3.000267389228398e-17,-6.000534778456799e-17,-3.8443836183856417e-11,0.012641112007033096,0.0,0.0,3.5090797355002544e-11,-6.000534778456799e-17,0.0
25026,X,36.0,0.003955077829026956,-6.0005347784568e-17,6.000534778456798e-17,-0.0016225892591717117,0.0,-6.000534778456796e-17,0.0,-1.3321487234913017e-11,0.09026546044719241,0.0,0.0,1.247253157445695e-11,-6.000534778456799e-17,0.0
25026,X,42.0,0.001227750367450437,0.0,0.0,-0.00048430631590729267,6.0005347784568e-17,0.0,0.0,3.288293058594326e-14,0.09152350648990784,0.0,0.0,-1.2193086669824217e-13,-6.000534778456799e-17,0.0
25026,X,60.0,0.00216657750749626,0.0,6.000534778456798e-17,-0.0015063844854166658,0.0,-6.000534778456796e-17,0.0,-1.926954733673221e-10,0.1290196189084105,0.0,0.0,1.8819327212304599e-10,-6.000534778456799e-17,0.0
25026,X,84.0,-0.002090765740245127,-0.01273173616856973,-0.002553010767097823,0.00024474780891933155,0.0001946527528765139,7.70272439671849e-06,-0.0019805082833381717,-0.012317007305812836,0.1193150442780988,2.1734772433428744e-06,-1.477457234207244e-06,9.335338721630851e-05,-6.92895159009364e-06,-2.2162625073025868e-08
25026,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,N,12.0,-0.11897603664075876,-5.746495986672656e-17,0.0,0.04390012444423705,-5.746495986672654e-17,8.61974398000898e-17,5.746495986672654e-17,8.359559881220404e-11,0.08095795395817919,2.8732479933363265e-17,-2.873247993336327e-17,-7.630444470431379e-11,0.0,2.873247993336328e-17
25026,N,36.0,-0.008600269672247531,-2.244724994794006e-19,4.48944998958801e-19,0.0035283010346226916,-1.3468349968764036e-18,1.1223624973970026e-18,8.978899979176022e-19,2.8967411280010915e-11,0.0028209928895496783,6.734174984382016e-19,1.1223624973970027e-18,-2.712123698357009e-11,8.978899979176022e-19,-2.244724994794006e-19
25026,N,42.0,-0.0026697285633117125,0.0,1.6835437460955038e-19,0.0010531183205059866,-4.489449989588011e-19,2.8059062434925064e-19,2.2447249947940056e-19,-7.150504129166461e-14,0.0007582578862305364,1.683543746095504e-19,1.1223624973970028e-19,2.6506554510400667e-13,2.805906243492507e-19,-1.6835437460955043e-19
25026,N,60.0,-0.004711197006931662,2.244724994794006e-18,-7.632064982299617e-18,0.0032756151369745566,1.3468349968764036e-18,-8.97889997917602e-19,0.0,4.1901392566721763e-10,0.0012064168082861148,-8.97889997917602e-19,1.7957799958352045e-18,-4.0922423865198705e-10,1.1672569972928827e-17,-8.978899979176024e-19
25026,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25026,G,12.0,-0.005966029995312055,-0.013984515537986186,0.00048214258497725795,0.0020238069167651134,0.0003272716272685291,-1.985025400858769e-06,0.00028284987937628517,-0.006003131334915503,-0.0009328167137137536,0.00032387489354496565,6.21326296521927e-08,0.017277796581518373,1.0505817772563172e-07,-1.2945509751173812e-06
25026,G,36.0,-0.00937751211504212,-0.03827898585772718,0.00267157864886136,0.003710000930537864,0.0011098509779371199,-1.2687371651043439e-05,0.0014608989698733556,-0.02135115581125966,-0.01480986332136199,0.0005980274939706914,9.462353439749808e-07,0.053502591860025546,2.077043473021829e-06,-5.560237538830792e-06
25026,G,42.0,-0.0086910496675047,-0.042780193866719204,0.003203966944641672,0.0034401159435382784,0.0013026571278251487,-1.548143016906568e-05,0.0017325919808348171,-0.024604379686773883,-0.018003570089602437,0.00059663435706627,1.2508652528075776e-06,0.060662037987761604,2.9732897393667734e-06,-6.626249553360676e-06
