parameter,nominal,lower_bound,upper_bound,theta_minus,theta_plus,delta,minus_pct,plus_pct,mode,n_common_predictions,n_missing_sensitivities
mu0,0.1908590729428511,0.05,1.0,0.15268725835428087,0.2290308875314213,0.07634362917714044,-0.19999999999999996,0.19999999999999996,central_clipped,335,0
betaG0,0.9479620237132378,0.1,10.0,0.7583696189705903,1.1375544284558854,0.3791848094852951,-0.19999999999999996,0.19999999999999996,central_clipped,335,0
betaF0,1.2654111670259098,0.1,10.0,1.012328933620728,1.5184934004310917,0.5061644668103638,-0.19999999999999996,0.19999999999999996,central_clipped,335,0
Kn0,0.1,0.01,0.1,0.08000000000000002,0.1,0.01999999999999999,-0.19999999999999984,0.0,central_clipped,335,0
Kig0,53.7669729700391,10.0,1000.0,43.01357837603128,64.52036756404692,21.506789188015638,-0.19999999999999996,0.19999999999999996,central_clipped,335,0
Kie0,10.0,10.0,1000.0,10.0,12.0,2.0,0.0,0.19999999999999996,central_clipped,335,0
Kd0,0.0026473375265555796,0.0001,0.05,0.0021178700212444636,0.0031768050318666955,0.0010589350106222318,-0.19999999999999996,0.19999999999999996,central_clipped,335,0
Yxn,8.245768240603311,1.0,100.0,6.596614592482649,9.894921888723973,3.2983072962413233,-0.19999999999999996,0.19999999999999996,central_clipped,335,0
Yxf,0.1,0.1,10.0,0.1,0.12,0.01999999999999999,0.0,0.19999999999999996,central_clipped,335,0
Yeg,0.5455229489941172,0.1,10.0,0.4364183591952938,0.6546275387929407,0.21820917959764685,-0.19999999999999996,0.19999999999999996,central_clipped,335,0
Yef,1.4752818985538494,0.1,10.0,1.1802255188430795,1.7703382782646193,0.5901127594215398,-0.20000000000000007,0.19999999999999996,central_clipped,335,0
