,mu0,qN,betaG0,betaF0,qEG,qEF,iG
mu0,42272.64441571254,-10514.12772569841,41886.27455236424,16138.341362111005,-26067.451752217545,1230.8707446169146,-3079.3919621313244
qN,-10514.12772569841,13498.184944516752,-21878.12380242699,-9513.908474265867,17298.76612151614,-973.5184826009004,1588.6131162271877
betaG0,41886.27455236424,-21878.12380242699,105733.18925656665,49982.41993604085,-91251.7413312924,-18626.59239195565,-4653.7745675171
betaF0,16138.341362111005,-9513.908474265867,49982.41993604085,25547.914959937953,-45989.97020628629,-10766.639785385183,-1975.1214130421404
qEG,-26067.451752217545,17298.76612151614,-91251.7413312924,-45989.97020628629,87093.86742267337,18527.898575274256,3638.623821715001
qEF,1230.8707446169146,-973.5184826009004,-18626.59239195565,-10766.639785385183,18527.898575274256,10359.160871399361,-99.07403648450124
iG,-3079.3919621313244,1588.6131162271877,-4653.7745675171,-1975.1214130421404,3638.623821715001,-99.07403648450124,342.4130234729187
