direction,fim_eigenvalue,relative_eigenvalue,dominant_parameters,dominant_loadings,dominant_abs_loadings
1,5.4132712066580005e-20,1.3972119819325528e-20,"Kd0, Kig0, Kf0, Yxf, betaF0","-1.000, -0.000, +0.000, -0.000, +0.000","1.000, 0.000, 0.000, 0.000, 0.000"
2,3.0899007821414023e-06,7.9753003885724e-07,"m0, Kf0, Yef, Yxf, betaF0","+0.963, +0.168, +0.110, +0.103, +0.082","0.963, 0.168, 0.110, 0.103, 0.082"
3,1.289053131042414e-05,3.3271572978366806e-06,"Yxg, Kg0, Kig0, Kf0, betaF0","-0.872, -0.227, +0.205, -0.203, -0.192","0.872, 0.227, 0.205, 0.203, 0.192"
4,1.572473440617319e-05,4.058689558725506e-06,"Yxf, Kf0, Kig0, Yxg, betaF0","-0.533, +0.512, -0.478, -0.348, +0.218","0.533, 0.512, 0.478, 0.348, 0.218"
5,2.1782224928685672e-05,5.622180101761222e-06,"Yxf, Kg0, Kf0, betaF0, Kie0","+0.633, -0.506, +0.334, +0.303, -0.298","0.633, 0.506, 0.334, 0.303, 0.298"
6,6.696441312566035e-05,1.728409252194434e-05,"Kg0, Kf0, Yxf, Yxg, Kie0","+0.710, +0.515, +0.373, -0.218, +0.186","0.710, 0.515, 0.373, 0.218, 0.186"
7,0.00014682926932037003,3.7897900652104505e-05,"Kie0, Kf0, betaG0, Kig0, Kg0","-0.582, -0.443, +0.351, -0.316, +0.303","0.582, 0.443, 0.351, 0.316, 0.303"
8,0.0005096061680962182,0.00013153374677681378,"Yef, Yeg, betaF0, betaG0, Kn0","-0.476, +0.428, -0.411, +0.339, -0.279","0.476, 0.428, 0.411, 0.339, 0.279"
9,0.0005155954121266535,0.00013307962231169366,"Kn0, Yef, Yeg, betaF0, betaG0","+0.956, -0.141, +0.127, -0.122, +0.107","0.956, 0.141, 0.127, 0.122, 0.107"
10,0.0011007714811936355,0.0002841186122361151,"Kig0, Kie0, betaG0, Kf0, Yxf","+0.697, -0.434, +0.362, +0.271, -0.239","0.697, 0.434, 0.362, 0.271, 0.239"
11,0.04315827179611882,0.011139522143075342,"betaG0, Yef, Kie0, betaF0, Yeg","-0.593, -0.482, -0.434, -0.364, -0.256","0.593, 0.482, 0.434, 0.364, 0.256"
12,0.06168354626526108,0.01592105524362263,"betaF0, Yeg, Yef, betaG0, Kig0","-0.573, -0.539, +0.395, +0.391, -0.193","0.573, 0.539, 0.395, 0.391, 0.193"
13,0.1821441697402626,0.047012981002547805,"Yeg, Yef, betaG0, betaF0, Kie0","+0.620, +0.564, -0.304, -0.303, -0.278","0.620, 0.564, 0.304, 0.303, 0.278"
14,0.4139956328044454,0.10685584308258457,"mu0, Kn0, Yeg, Yxn, betaG0","-0.988, +0.082, +0.072, +0.062, -0.057","0.988, 0.082, 0.072, 0.062, 0.057"
15,3.8743378074747383,1.0,"Yxn, mu0, Yeg, Yef, betaF0","-0.998, -0.058, +0.016, +0.015, -0.015","0.998, 0.058, 0.016, 0.015, 0.015"
