,mu0,betaG0,betaF0,Kn0,Kg0,Kf0,Kig0,Kie0,Yxn,Yxg,Yxf,Yeg,Yef,m0
mu0,0.07869366342048212,0.01256273453872032,0.010875810817118813,-0.03834046689590225,-0.0006373538448539946,-9.949017008062145e-05,0.004126835247535044,0.016877619823945922,-0.021359153772790334,-0.00013257469571166042,-0.001901794289013192,-0.013653397750330969,-0.010753086427202635,5.074910503068235e-06
betaG0,0.01256273453872032,0.10623449113085588,0.004354275664175443,-0.00602217087355385,-0.006084115871945935,-6.555313357973171e-05,0.0003664922981529417,0.08081704864906633,0.0579568228180996,-0.0007070304539164383,0.0006426349296768674,-0.07909595604132443,0.0029539420384453218,1.1079528401555228e-05
betaF0,0.010875810817118813,0.004354275664175443,0.1314873680177608,-0.0053173572716090104,-0.0006834315673723751,-0.0012863230172759723,0.045408519317757225,0.10474209528180292,0.09880698049424874,-0.00041145165168655136,-0.019053835523215698,-0.044994738469867165,-0.13308573108382998,4.889769573540344e-05
Kn0,-0.03834046689590225,-0.00602217087355385,-0.0053173572716090104,0.019110281693577088,0.00030852587107168476,4.869365308185441e-05,-0.0020081128432869254,-0.00818471650484319,0.009975535688039341,6.35911201614785e-05,0.0009202839507972413,0.006570319958452767,0.005258883797195188,-2.475859798405874e-06
Kg0,-0.0006373538448539946,-0.006084115871945935,-0.0006834315673723751,0.00030852587107168476,0.0004112063932651841,9.210538147744703e-06,-0.00016121790195056576,-0.0051073795185437075,-0.0038600661258316312,3.7257556062804756e-05,2.2802959165328972e-05,0.004203267830704819,0.00019753829073606685,-8.059815648816446e-07
Kf0,-9.949017008062145e-05,-6.555313357973171e-05,-0.0012863230172759723,4.869365308185441e-05,9.210538147744703e-06,1.7159414195116674e-05,-0.00043417610253260907,-0.0010636314195123322,-0.0010018019429633913,4.61941797045773e-06,0.00017787877000671206,0.00046265619766314435,0.001246700567675137,-5.315216337420698e-07
Kig0,0.004126835247535044,0.0003664922981529417,0.045408519317757225,-0.0020081128432869254,-0.00016121790195056576,-0.00043417610253260907,0.016608197562015366,0.035052417725846906,0.033639678824677555,-0.00014017872224576775,-0.007226180943031692,-0.014922963824274518,-0.04672545790508624,1.6957505855188863e-05
Kie0,0.016877619823945922,0.08081704864906633,0.10474209528180292,-0.00818471650484319,-0.0051073795185437075,-0.0010636314195123322,0.035052417725846906,0.14091561821007303,0.11929134367537883,-0.0008379596736483226,-0.014021477598074414,-0.09329354783587943,-0.10073615194031334,4.705585381178429e-05
Yxn,-0.021359153772790334,0.0579568228180996,0.09880698049424874,0.009975535688039341,-0.0038600661258316312,-0.0010018019429633913,0.033639678824677555,0.11929134367537883,0.23922983587922397,-0.0007627683951548027,-0.014346060699092045,-0.08846631629945237,-0.100887546902099,4.588032252280452e-05
Yxg,-0.00013257469571166042,-0.0007070304539164383,-0.00041145165168655136,6.35911201614785e-05,3.7257556062804756e-05,4.61941797045773e-06,-0.00014017872224576775,-0.0008379596736483226,-0.0007627683951548027,1.4400312402940882e-05,9.633141194218983e-05,0.0017974271206448048,0.0007282588727123628,-5.057670157464685e-07
Yxf,-0.001901794289013192,0.0006426349296768674,-0.019053835523215698,0.0009202839507972413,2.2802959165328972e-05,0.00017787877000671206,-0.007226180943031692,-0.014021477598074414,-0.014346060699092045,9.633141194218983e-05,0.0035441350278268367,0.011709285853437522,0.02173345443917322,-8.437394638849432e-06
Yeg,-0.013653397750330969,-0.07909595604132443,-0.044994738469867165,0.006570319958452767,0.004203267830704819,0.00046265619766314435,-0.014922963824274518,-0.09329354783587943,-0.08846631629945237,0.0017974271206448048,0.011709285853437522,0.24483846865790077,0.0955588381101953,-6.674886045977307e-05
Yef,-0.010753086427202635,0.0029539420384453218,-0.13308573108382998,0.005258883797195188,0.00019753829073606685,0.001246700567675137,-0.04672545790508624,-0.10073615194031334,-0.100887546902099,0.0007282588727123628,0.02173345443917322,0.0955588381101953,0.15515420902862062,-6.256786163915011e-05
m0,5.074910503068235e-06,1.1079528401555228e-05,4.889769573540344e-05,-2.475859798405874e-06,-8.059815648816446e-07,-5.315216337420698e-07,1.6957505855188863e-05,4.705585381178429e-05,4.588032252280452e-05,-5.057670157464685e-07,-8.437394638849432e-06,-6.674886045977307e-05,-6.256786163915011e-05,3.194950095554264e-08
