case,seed,fit,n_batches,mediums,parameters,n_parameters,success,status,message,nfev,initial_wsse,final_wsse,n_residuals,dof,wsse_per_residual,wsse_per_dof,l2_lambda,l2_parameters
historical_only,seed_default,historical_only__seed_default,19,"natural,synthetic","mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0",11,True,3,`xtol` termination condition is satisfied.,7,23904.780292286403,23882.788575576888,1150,1139,20.767642239632075,20.968207704632913,0.0,
historical_only,qN_up_25pct,historical_only__qN_up_25pct,19,"natural,synthetic","mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0",11,True,3,`xtol` termination condition is satisfied.,8,25423.53156635537,23859.608424464524,1150,1139,20.747485586490892,20.94785638671161,0.0,
historical_only,Kd0_up_2x,historical_only__Kd0_up_2x,19,"natural,synthetic","mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0",11,True,3,`xtol` termination condition is satisfied.,8,24279.81480081185,23895.443165846587,1150,1139,20.778646231170946,20.979317968258638,0.0,
historical_only,qN_up_25pct_Kd0_up_2x,historical_only__qN_up_25pct_Kd0_up_2x,19,"natural,synthetic","mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0",11,True,3,`xtol` termination condition is satisfied.,10,25859.859286912048,23901.686602297326,1150,1139,20.7840753063455,20.984799475239093,0.0,
historical_plus_lot1,seed_default,historical_plus_lot1__seed_default,22,"natural,synthetic","mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0",11,True,3,`xtol` termination condition is satisfied.,7,39461.2951687461,39076.59898445829,1537,1526,25.423942084878522,25.60720772244973,0.0,
historical_plus_lot1,qN_up_25pct,historical_plus_lot1__qN_up_25pct,22,"natural,synthetic","mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0",11,True,3,`xtol` termination condition is satisfied.,9,40773.13316876674,36256.53323555278,1537,1526,23.58915630159582,23.75919609145005,0.0,
historical_plus_lot1,Kd0_up_2x,historical_plus_lot1__Kd0_up_2x,22,"natural,synthetic","mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0",11,True,3,`xtol` termination condition is satisfied.,10,39462.11519241564,38977.69234729489,1537,1526,25.359591637797585,25.542393412381973,0.0,
historical_plus_lot1,qN_up_25pct_Kd0_up_2x,historical_plus_lot1__qN_up_25pct_Kd0_up_2x,22,"natural,synthetic","mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0",11,True,3,`xtol` termination condition is satisfied.,9,41186.66957111916,36447.52132676476,1537,1526,23.713416608174864,23.884352114524745,0.0,
