case,direction,eigenvalue,relative_eigenvalue
historical_only,1,0.0,0.0
historical_only,2,0.0,0.0
historical_only,3,0.0,0.0
historical_only,4,0.0,0.0
historical_only,5,0.0,0.0
historical_only,6,0.0,0.0
historical_only,7,0.0,0.0
historical_only,8,0.0,0.0
historical_only,9,0.0,0.0
historical_only,10,0.0,0.0
historical_only,11,0.0,0.0
historical_only,12,0.0,0.0
historical_only,13,0.0,0.0
historical_only,14,0.0,0.0
historical_only,15,0.0,0.0
historical_only,16,0.0011923262169914568,7.759307410235886e-09
historical_only,17,78.31065187272593,0.0005096226290399507
historical_only,18,325.2904829954067,0.0021168945370959287
historical_only,19,342.2242025378872,0.002227094190224722
historical_only,20,566.8650393011117,0.0036889905106265797
historical_only,21,6189.255188466207,0.04027784759181459
historical_only,22,7647.280858931053,0.04976624869205903
historical_only,23,23281.146519407153,0.15150683607598445
historical_only,24,34537.73541035321,0.22476139707682047
historical_only,25,59254.95111238878,0.38561374790504815
historical_only,26,153664.00040016067,1.0
historical_plus_lot1,1,0.0,0.0
historical_plus_lot1,2,0.0,0.0
historical_plus_lot1,3,0.0,0.0
historical_plus_lot1,4,0.0,0.0
historical_plus_lot1,5,0.0,0.0
historical_plus_lot1,6,0.0,0.0
historical_plus_lot1,7,0.0,0.0
historical_plus_lot1,8,0.0,0.0
historical_plus_lot1,9,0.0,0.0
historical_plus_lot1,10,0.015836815507845076,7.426351191550186e-08
historical_plus_lot1,11,19.135400042186834,8.973155040777522e-05
historical_plus_lot1,12,29.681897514073523,0.00013918719635391154
historical_plus_lot1,13,147.4424691224525,0.000691401346255639
historical_plus_lot1,14,196.1591608439687,0.0009198483225023765
historical_plus_lot1,15,360.5145044399894,0.0016905591394259683
historical_plus_lot1,16,433.19131830368593,0.002031362214998435
historical_plus_lot1,17,704.7369672089258,0.0033047200768165116
historical_plus_lot1,18,746.290561779467,0.0034995771719182793
historical_plus_lot1,19,1246.7899188998897,0.005846566688390276
historical_plus_lot1,20,2570.657658046865,0.012054574072954908
historical_plus_lot1,21,13480.508875752848,0.06321409320109721
historical_plus_lot1,22,14633.135682454707,0.06861910120609845
historical_plus_lot1,23,31021.85035876105,0.1454706315557909
historical_plus_lot1,24,48655.14901164539,0.22815838427788251
historical_plus_lot1,25,80175.4337868774,0.3759663222326999
historical_plus_lot1,26,213251.63730291187,1.0
