parameter,historical_only,historical_plus_lot1,std_log_delta_plus_minus_old,std_log_ratio_plus_over_old
Kd0,0.04199503742359073,0.03793019217293946,-0.004064845250651268,0.9032065334374999
alpha_EA_loss,301.57089433405037,252.54051154912267,-49.030382784927696,0.8374167278536612
alpha_EO_loss,301.57089433405037,252.54051154912267,-49.030382784927696,0.8374167278536612
alpha_IAA_loss,301.57089433405037,252.54051154912267,-49.030382784927696,0.8374167278536612
betaF0,0.07021516371507898,0.053818741837000604,-0.016396421878078375,0.7664831781264198
betaG0,0.03733190410897793,0.03705941961813931,-0.00027248449083862314,0.9927010288560906
gammaF0,28.827622133720677,7.942338105158624,-20.885284028562054,0.27551138516791485
gammaG0,0.03963136124272028,0.03663969599164751,-0.002991665251072771,0.9245126799266251
iE,0.046219394619685036,0.036606366153845604,-0.009613028465839432,0.7920131030503544
iG,0.08680016850457174,0.06403550550667482,-0.022764662997896923,0.7377348063938618
kAcAld,301.57089433405037,0.18202937968367197,-301.3888649543667,0.00060360393892004
kAcStress,301.57089433405037,0.029659733050544836,-301.5412346009998,9.835078121859705e-05
kAldS_N,301.57089433405037,0.030834079600068107,-301.5400602544503,0.00010224487899655585
kPyrDrain,301.57089433405037,0.16231800723529888,-301.4085763268151,0.0005382416217378693
kPyrO2,301.57089433405037,0.16615146108231743,-301.40474287296803,0.0005509532392017623
kPyrS_N,301.57089433405037,0.06940107129227843,-301.50149326275806,0.0002301318615164592
k_EA_growth,301.57089433405037,252.54051154912267,-49.030382784927696,0.8374167278536612
k_EA_stationary,301.57089433405037,252.54051154912267,-49.030382784927696,0.8374167278536612
k_EO_growth,301.57089433405037,252.54051154912267,-49.030382784927696,0.8374167278536612
k_EO_stationary,301.57089433405037,252.54051154912267,-49.030382784927696,0.8374167278536612
k_IAA_growth,301.57089433405037,252.54051154912267,-49.030382784927696,0.8374167278536612
k_IAA_stationary,301.57089433405037,252.54051154912267,-49.030382784927696,0.8374167278536612
mu0,0.00906901883374575,0.006151549947995917,-0.0029174688857498323,0.6783038011902729
qEF,0.0428408146411199,0.031759372027180016,-0.011081442613939882,0.7413344562476274
qEG,0.02471992317750513,0.023645660090259854,-0.0010742630872452759,0.9565426203175726
qN,0.010378906235172777,0.007723857549064713,-0.0026550486861080646,0.7441880072959474
