parameter,natural,synthetic,natural_over_synthetic_std_ratio
Kd0,0.3756216770076713,0.0381908498904355,9.83538407983274
alpha_EA_loss,418.4567582104635,380.4876807732253,1.0997905565827455
alpha_EO_loss,418.4567582104635,380.4876807732253,1.0997905565827455
alpha_IAA_loss,418.4567582104635,380.4876807732253,1.0997905565827455
betaF0,0.3545833713174343,0.1263431634428247,2.8065101557940437
betaG0,0.1108383104951832,0.0581092395459723,1.9074128548437643
gammaF0,304.9373184687923,141.65439921098258,2.1526851277990544
gammaG0,0.0725893474788194,0.0513459810392361,1.4137298773851483
iE,0.1123045495074668,0.0580589996826668,1.9343176789350491
iG,0.304853375169604,0.1105361454269653,2.7579519259700453
kAcAld,0.158030644947369,380.4876807732253,0.00041533708693595507
kAcStress,0.0343450752199396,380.4876807732253,9.026593226394004e-05
kAldS_N,0.0299964092689497,380.4876807732253,7.883674238280497e-05
kPyrDrain,0.1452815685452736,0.0708443112863881,2.050716083017208
kPyrO2,0.1682172089263977,0.1421875641084186,1.1830655513454846
kPyrS_N,0.0763774693554962,0.0405073389664207,1.8855217672731035
k_EA_growth,418.4567582104635,380.4876807732253,1.0997905565827455
k_EA_stationary,418.4567582104635,380.4876807732253,1.0997905565827455
k_EO_growth,418.4567582104635,380.4876807732253,1.0997905565827455
k_EO_stationary,418.4567582104635,380.4876807732253,1.0997905565827455
k_IAA_growth,418.4567582104635,380.4876807732253,1.0997905565827455
k_IAA_stationary,418.4567582104635,380.4876807732253,1.0997905565827455
mu0,0.0127642167423808,0.0143050458965879,0.8922877168416058
qEF,0.3451948159172996,0.093067207810271,3.709091784734983
qEG,0.0654270058571256,0.0439204361581985,1.4896711321686757
qN,0.0146247178000281,0.0088692750522124,1.6489191860590715
