case,parameter,theta,std_log_approx,approx_95_multiplier,fim_diag,active_bound,classification,medium
historical_natural_only,mu0,0.0787279167844739,0.0127642167423808,1.0253334377530583,29341.358553586284,False,well_estimated,natural
historical_natural_only,qN,0.0210803824284854,0.0146247178000281,1.02907922579695,21037.894502449668,False,well_estimated,natural
historical_natural_only,betaG0,0.4288780029973869,0.1108383104951832,1.2426461384990015,3382.689692392892,False,well_estimated,natural
historical_natural_only,betaF0,3.440399174765835,0.3545833713174343,2.003675828239565,17577.489557442732,False,moderate,natural
historical_natural_only,qEG,1.712806793770099,0.0654270058571256,1.1368223197856375,26432.664332260847,False,well_estimated,natural
historical_natural_only,qEF,5.023016750172416,0.3451948159172996,1.967142218830002,21271.01378008539,False,well_estimated,natural
historical_natural_only,iG,0.0560374372695645,0.304853375169604,1.817592122152848,2760.8021803197644,False,well_estimated,natural
historical_natural_only,iE,0.0401679409799797,0.1123045495074668,1.2462224267006616,11683.835231578523,False,well_estimated,natural
historical_natural_only,Kd0,0.0001502495478967,0.3756216770076713,2.08802467386356,7.3266399627642675,False,moderate,natural
historical_natural_only,gammaG0,0.1155587913675031,0.0725893474788194,1.152893790268721,9109.510907274402,False,well_estimated,natural
historical_natural_only,gammaF0,0.000100001621599,304.9373184687923,1.0576541811633427e+17,0.0001441312811907,True,weak_or_confounded,natural
historical_natural_only,kPyrS_N,0.8508617891421286,0.0763774693554962,1.1614855588216355,512.0675995386312,False,well_estimated,natural
historical_natural_only,kPyrO2,0.2731889591927507,0.1682172089263977,1.3905588677908327,403.8532436448135,False,well_estimated,natural
historical_natural_only,kPyrDrain,0.0035910294181966,0.1452815685452736,1.3294321209831248,377.2985762874189,False,well_estimated,natural
historical_natural_only,kAldS_N,2.359887977142201,0.0299964092689497,1.0605556428664846,3597.8651629902383,False,well_estimated,natural
historical_natural_only,kAcAld,0.0013923120060084,0.158030644947369,1.3630707570508085,83.87813647155433,False,well_estimated,natural
historical_natural_only,kAcStress,0.0026158743573774,0.0343450752199396,1.0696338005630757,901.893372217392,False,well_estimated,natural
historical_natural_only,k_EA_growth,0.1,418.4567582104635,1.0576541811633427e+17,0.0,False,weak_or_confounded,natural
historical_natural_only,k_EA_stationary,0.28,418.4567582104635,1.0576541811633427e+17,0.0,False,weak_or_confounded,natural
historical_natural_only,k_IAA_growth,0.003,418.4567582104635,1.0576541811633427e+17,0.0,False,weak_or_confounded,natural
