strategy,dose_design,sampling_mode,parameter,posterior_variance_median,posterior_variance_q10,posterior_variance_q90,posterior_standard_deviation_median,least_identified_direction_loading,least_identified_direction_abs_loading,watermark,candidate_only_not_for_physical_execution
I_reference_information,N80,independent_source_final,ethyl_acetate__formation_growth_ug_per_g_sugar,0.030233673296304175,0.00240648786205463,3.5142663570073838,0.17387832900135708,-0.0003784467103704348,0.0003784467103704348,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,independent_source_final,ethyl_acetate__formation_stationary_ug_per_g_sugar,0.0012914925029449379,0.0010963286971363896,0.0016432033163520311,0.03593734134497066,-0.0004556521371990271,0.0004556521371990271,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,independent_source_final,ethyl_acetate__effective_loss_scale,0.0035694905783455184,0.003074901371661065,0.003941531214123506,0.059745213853040297,0.0003739018666142114,0.0003739018666142114,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,independent_source_final,ethyl_octanoate__formation_growth_ug_per_g_sugar,0.7205114061357824,0.017854951413866334,2.9755661635348583,0.8488294328873042,0.9997194699893106,0.9997194699893106,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,independent_source_final,ethyl_octanoate__formation_stationary_ug_per_g_sugar,0.001448698018794336,0.0012934326666423249,0.001583464641924863,0.038061765839150656,-0.023239680533466422,0.023239680533466422,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,independent_source_final,ethyl_octanoate__effective_loss_scale,0.0037408041648668514,0.0034620532278818767,0.004049935791323649,0.06116211380312858,-0.003279951153251809,0.003279951153251809,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,independent_source_final,isoamyl_acetate__formation_growth_ug_per_g_sugar,0.16174653118835317,0.006872353484613303,2.7869923621100683,0.4021772385259429,0.0025614756519059365,0.0025614756519059365,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,independent_source_final,isoamyl_acetate__formation_stationary_ug_per_g_sugar,0.001088275473248,0.0010596780423328999,0.0012243469261565684,0.0329890204954315,0.000571431064934407,0.000571431064934407,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,independent_source_final,isoamyl_acetate__effective_loss_scale,0.003796491987199061,0.0034560465395710813,0.003897019026421443,0.06161567971871333,-0.0016619744467347255,0.0016619744467347255,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
three_anchor_reference,N80,independent_optimized,ethyl_acetate__formation_growth_ug_per_g_sugar,0.031251201758268884,0.002414871526149669,3.763192884966826,0.17678009434964356,1.8579871695081642e-05,1.8579871695081642e-05,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
