wave,cell,policy,temperature_profile_12h_blocks_c,nutrition_time_h,yan_mg_l,selection_after_wave1,watermark,candidate_only_not_for_physical_execution
2,cold_late,III_diagonal_2__N76_all_conservative__cold_late,"[16.643632518730254, 18.129634709345048, 16.394619916985654, 16.394619916985654, 16.394619916985654, 16.394619916985654, 16.394619916985654, 16.394619916985654, 16.394619916985654, 20.961486390865097, 20.961486390865097, 20.961486390865097, 20.961486390865097, 20.961486390865097]",42.0,76.0,"re-rank using posterior reduction, least identified direction, and model-data discrepancy",COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
2,warm_early,III_diagonal_2__N76_all_conservative__warm_early,"[20.35615242776089, 24.772724323952566, 24.772724323952566, 24.772724323952566, 24.772724323952566, 22.218319031973063, 22.218319031973063, 22.218319031973063, 22.218319031973063, 22.218319031973063, 22.218319031973063, 22.218319031973063, 22.218319031973063, 22.218319031973063]",2.0,76.0,"re-rank using posterior reduction, least identified direction, and model-data discrepancy",COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
