strategy,dose_design,candidate_id,policy,thermal_archetype,nutrition_archetype,first_24h_mean_setpoint_c,action,time_h,end_h,value,unit,controller_phase,explicit_hold_last_setpoint,sample_before_action_if_coincident,initial_temperature_scenario_c,initial_setpoint_jump_c,initial_jump_within_5c,watermark,candidate_only_not_for_physical_execution
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,0.0,12.0,18.0,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,12.0,24.0,18.0,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,24.0,36.0,18.0,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,36.0,48.0,18.0,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,48.0,60.0,18.0,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,60.0,72.0,18.0,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,72.0,84.0,18.0,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,84.0,96.0,18.0,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,96.0,108.0,18.0,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,108.0,120.0,18.0,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,120.0,132.0,18.0,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,132.0,144.0,18.0,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,144.0,156.0,18.0,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,reference_source_final,anchor_18C,unclassified,late,18.0,temperature_setpoint,156.0,168.0,18.0,degC,optimized_window,False,False,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
