candidate_id,parent_candidate_id,strategy,dose_design,independent_seed,source_type,robust_score,penalized_search_score,median,q10,minimum,tail_cvar,completion_probability,minimum_drying_margin_h,maximum_residual_sugar_g_l,minimum_posterior_fim_eigenvalue,maximum_posterior_fim_condition_number,maximum_internal_jump_c,maximum_initial_jump_c,maximum_initial_or_internal_jump_c,minimum_robust_physical_temperature_c,maximum_robust_physical_temperature_c,total_thermal_variation_c,temperature_changes,nutrition_operational_margin_fraction,coverage_pass,thermal_pass,nutrition_pass,completion_pass,controller_explicit_to_504h,first_24h_mean_contrast_c,nutrition_time_contrast_h,feasible,local_refinement_accepted,local_refinement_qualified,local_refinement_qualification_reason,watermark,candidate_only_not_for_physical_execution
2be5deea1537c3fb,,II_diagonal_1,N80,20260803,seed_champion_original,19.808943185784944,19.808943185784944,21.29312898422061,15.356385790477946,9.941494402963972,13.737931403229078,1.0,73.34251650249666,3.9318699713634806,0.1872576456550064,5921.706999649153,5.0,5.0,5.0,15.0,26.31580649342119,15.414281066492492,5,1.544658121217609e-16,True,True,True,True,True,5.755490647315256,44.0,True,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
9dee8f77c43bd2da,2be5deea1537c3fb,II_diagonal_1,N80,20260803,full_64_local_refinement_trial,19.80671130904043,19.80671130904043,21.290169836124008,15.356335727789704,9.940048155737117,13.735935191886027,1.0,73.39439518366244,3.932425273840061,0.18725685342362755,5920.545452269403,5.0,4.920000000000002,5.0,15.0,26.31580649342119,15.49428106649249,5,1.544658121217609e-16,True,True,True,True,True,5.7154906473152565,44.0,True,False,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
07ec8484ef3bad71,2be5deea1537c3fb,II_diagonal_1,N80,20260803,full_64_local_refinement_trial,19.80536291351693,19.80536291351693,21.289292946457103,15.353572814696413,9.919630681587382,13.731802249650753,1.0,73.89076446630703,3.7487914460333323,0.18725739487306384,5921.711435826737,5.0,5.0,5.0,15.0,26.31580649342119,15.734281066492493,5,1.544658121217609e-16,True,True,True,True,True,5.755490647315256,44.0,True,False,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
dbfd67a2e686416b,,II_diagonal_1,N80,20260817,seed_champion_original,19.799215419752407,19.799215419752407,21.296806866226003,15.306441080331618,9.826418652732563,13.61143570082102,1.0,38.1309511668879,2.920261546662658,0.1872465015069371,5874.612849711222,3.8128795727316387,3.63199609109315,3.8128795727316387,15.0,25.839495580810443,12.07552705104138,5,1.544658121217609e-16,True,True,True,True,True,5.021177374198057,44.0,True,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
dbfd67a2e686416b,dbfd67a2e686416b,II_diagonal_1,N80,20260817,full_64_local_refinement_trial,19.799215419752407,19.799215419752407,21.296806866226003,15.306441080331618,9.826418652732563,13.61143570082102,1.0,38.1309511668879,2.920261546662658,0.1872465015069371,5874.612849711222,3.8128795727316387,3.63199609109315,3.8128795727316387,15.0,25.839495580810443,12.07552705104138,5,1.544658121217609e-16,True,True,True,True,True,5.021177374198057,44.0,True,False,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
dbfd67a2e686416b,dbfd67a2e686416b,II_diagonal_1,N80,20260817,full_64_local_refinement_trial,19.799215419752407,19.799215419752407,21.296806866226003,15.306441080331618,9.826418652732563,13.61143570082102,1.0,38.1309511668879,2.920261546662658,0.1872465015069371,5874.612849711222,3.8128795727316387,3.63199609109315,3.8128795727316387,15.0,25.839495580810443,12.07552705104138,5,1.544658121217609e-16,True,True,True,True,True,5.021177374198057,44.0,True,False,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
6b9f9cd3bd315cfb,,II_diagonal_1,N80,20260831,seed_champion_original,19.5317792912333,19.5317792912333,20.982993102779528,15.178137856594619,10.397677045948146,13.597723245664358,0.984375,69.62542722931225,6.709790912171792,0.18699101875421517,6406.190141950584,5.0,4.1660773876497785,5.0,15.238402164718302,27.0,13.411660696674957,4,1.544658121217609e-16,True,True,True,True,True,5.65130832194847,40.0,True,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
97dbab52f05c8aa6,6b9f9cd3bd315cfb,II_diagonal_1,N80,20260831,full_64_local_refinement_trial,19.532618797934298,19.532618797934298,20.983069777068476,15.181265860531767,10.394547177592614,13.597722053407653,0.984375,69.62542722931225,6.710274177346497,0.186991346181024,6405.1155628579645,5.0,4.1660773876497785,5.0,15.238402164718302,27.0,13.411660696674957,4,1.544658121217609e-16,True,True,True,True,True,5.685987438680311,40.0,True,True,True,accepted_improvement_on_real_64_member_objective,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
6b9f9cd3bd315cfb,6b9f9cd3bd315cfb,II_diagonal_1,N80,20260831,full_64_local_refinement_trial,19.5317792912333,19.5317792912333,20.982993102779528,15.178137856594619,10.397677045948146,13.597723245664358,0.984375,69.62542722931225,6.709790912171792,0.18699101875421517,6406.190141950584,5.0,4.1660773876497785,5.0,15.238402164718302,27.0,13.411660696674957,4,1.544658121217609e-16,True,True,True,True,True,5.65130832194847,40.0,True,False,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
80bab8760923fe04,,II_diagonal_1,N80,20260847,seed_champion_original,19.76382096191787,19.76382096191787,21.242681516642193,15.327239297744892,10.113875206965975,13.726822748749772,0.984375,46.32026248123401,5.492695028703727,0.1872180685654708,5964.835844888169,5.0,3.854677856000677,5.0,15.430326651288453,26.806814258700857,14.362611693560044,5,1.544658121217609e-16,True,True,True,True,True,5.3382746113366935,48.0,True,,,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
