candidate_id,parent_candidate_id,strategy,dose_design,independent_seed,source_type,robust_score,penalized_search_score,median,q10,minimum,tail_cvar,completion_probability,minimum_drying_margin_h,maximum_residual_sugar_g_l,minimum_posterior_fim_eigenvalue,maximum_posterior_fim_condition_number,maximum_internal_jump_c,maximum_initial_jump_c,maximum_initial_or_internal_jump_c,minimum_robust_physical_temperature_c,maximum_robust_physical_temperature_c,total_thermal_variation_c,temperature_changes,nutrition_operational_margin_fraction,coverage_pass,thermal_pass,nutrition_pass,completion_pass,controller_explicit_to_504h,first_24h_mean_contrast_c,nutrition_time_contrast_h,feasible,local_refinement_qualified,local_refinement_qualification_reason,local_refinement_accepted,watermark,candidate_only_not_for_physical_execution
2be5deea1537c3fb,,II_diagonal_1,N80,20260803,seed_champion_original,19.808943185784944,19.808943185784944,21.29312898422061,15.356385790477946,9.941494402963972,13.737931403229078,1.0,73.34251650249666,3.9318699713634806,0.1872576456550064,5921.706999649153,5.0,5.0,5.0,15.0,26.31580649342119,15.414281066492492,5,1.544658121217609e-16,True,True,True,True,True,5.755490647315256,44.0,True,True,no_better_feasible_step_on_real_64_member_objective,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
dbfd67a2e686416b,,II_diagonal_1,N80,20260817,seed_champion_original,19.799215419752407,19.799215419752407,21.296806866226003,15.306441080331618,9.826418652732563,13.61143570082102,1.0,38.1309511668879,2.920261546662658,0.1872465015069371,5874.612849711222,3.8128795727316387,3.63199609109315,3.8128795727316387,15.0,25.839495580810443,12.07552705104138,5,1.544658121217609e-16,True,True,True,True,True,5.021177374198057,44.0,True,True,no_better_feasible_step_on_real_64_member_objective,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
97dbab52f05c8aa6,6b9f9cd3bd315cfb,II_diagonal_1,N80,20260831,full_64_local_refinement_trial,19.532618797934298,19.532618797934298,20.983069777068476,15.181265860531767,10.394547177592614,13.597722053407653,0.984375,69.62542722931225,6.710274177346497,0.186991346181024,6405.1155628579645,5.0,4.1660773876497785,5.0,15.238402164718302,27.0,13.411660696674957,4,1.544658121217609e-16,True,True,True,True,True,5.685987438680311,40.0,True,True,accepted_improvement_on_real_64_member_objective,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
d3ba8622c0e2674c,80bab8760923fe04,II_diagonal_1,N80,20260847,full_64_local_refinement_trial,19.765428397325117,19.765428397325117,21.242746001194302,15.33347558571756,10.117479038575915,13.731021918914399,0.984375,46.32026248123401,5.492695028703727,0.18722269536383557,5958.4822038558195,5.0,3.854677856000677,5.0,15.430326651288453,26.806814258700857,14.308607419021975,5,1.544658121217609e-16,True,True,True,True,True,5.36527674860573,48.0,True,True,accepted_improvement_on_real_64_member_objective,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
98d59422cc3f0e23,e1cef820fd71d0d9,II_diagonal_1,N80,20260861,full_64_local_refinement_trial,19.521994649136705,19.521994649136705,20.971747479593468,15.17273615776641,10.388643459237407,13.596531176166826,0.984375,68.31621742441278,6.712750600980054,0.1869890148244168,6413.436419643049,4.68,4.529850219076579,4.68,15.238583118888673,27.0,13.047706911077785,4,1.544658121217609e-16,True,True,True,True,True,5.567615151045462,44.0,True,True,accepted_improvement_on_real_64_member_objective,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
e87fe2cecfd59a11,,II_diagonal_1,N76_historical_anchor,20260803,seed_champion_original,19.791267773234157,19.791267773234157,21.266500754323644,15.365568829965694,9.941945344607102,13.691176228789297,0.984375,24.135413161822342,6.849274476094465,0.18726976011899205,5869.879346939658,3.2480241817698285,4.387049361831231,4.387049361831231,15.0,27.0,10.484654170751917,5,1.544658121217609e-16,True,True,True,True,True,5.565615757156792,40.0,True,True,no_better_feasible_step_on_real_64_member_objective,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
8d6eff1a9d7b0f79,,II_diagonal_1,N76_historical_anchor,20260817,seed_champion_original,19.78098540432414,19.78098540432414,21.280257162156616,15.283170130826724,9.789935996249977,13.588765397606505,1.0,39.03371597703901,3.0177120689012655,0.1872307031091805,5881.504535265225,3.8128795727316387,3.63199609109315,3.8128795727316387,15.0,25.839495580810443,12.07552705104138,5,1.544658121217609e-16,True,True,True,True,True,5.021177374198057,44.0,True,True,no_better_feasible_step_on_real_64_member_objective,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
590a3fc3e92a5edc,668df5d7c3d3dbf6,II_diagonal_1,N76_historical_anchor,20260831,full_64_local_refinement_trial,19.523677413743535,19.523677413743535,20.9737581767311,15.173435124780836,10.37159517164553,13.589518998723136,0.984375,70.48878872932647,6.826840293717881,0.18699060702649595,6406.246181018722,5.0,4.1660773876497785,5.0,15.238402164718302,27.0,13.411660696674957,4,1.544658121217609e-16,True,True,True,True,True,5.685987438680311,40.0,True,True,accepted_improvement_on_real_64_member_objective,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
519b7bbf12bb8ea0,ee4a859a582e61c3,II_diagonal_1,N76_historical_anchor,20260847,full_64_local_refinement_trial,19.81902100901898,19.81902100901898,21.313959116498,15.334206686581913,10.0261130136705,13.710645444943813,0.984375,58.494229285505085,6.804163408840538,0.1872584879534767,5903.51045139716,5.0,3.84405721584886,5.0,15.0,26.968963871830507,12.90875705825281,4,1.544658121217609e-16,True,True,True,True,True,5.653096620935333,48.0,True,True,accepted_improvement_on_real_64_member_objective,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
8cdc98d6c2133d60,8a8e88d6bbcc1fb2,II_diagonal_1,N76_historical_anchor,20260861,full_64_local_refinement_trial,19.513939581689627,19.513939581689627,20.962803474702202,15.167347902651903,10.36706549199901,13.589720085505036,0.984375,69.13207649550473,6.827926943382633,0.186987718930225,6414.488734309152,4.68,4.529850219076579,4.68,15.238583118888673,27.0,13.047706911077785,4,1.544658121217609e-16,True,True,True,True,True,5.567615151045462,44.0,True,True,accepted_improvement_on_real_64_member_objective,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
