strategy,dose_design,sampling_mode,rank,parameter_left,parameter_right,posterior_correlation_median,absolute_posterior_correlation_median,watermark,candidate_only_not_for_physical_execution
I_reference_information,N80,independent_source_final,1,ethyl_acetate__formation_growth_ug_per_g_sugar,ethyl_acetate__effective_loss_scale,-0.47427138627510845,0.47427138627510845,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,independent_source_final,2,ethyl_octanoate__formation_growth_ug_per_g_sugar,ethyl_octanoate__formation_stationary_ug_per_g_sugar,-0.4605650715317176,0.4605650715317176,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,independent_source_final,3,isoamyl_acetate__formation_stationary_ug_per_g_sugar,isoamyl_acetate__effective_loss_scale,-0.452883483716091,0.452883483716091,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,independent_source_final,4,isoamyl_acetate__formation_growth_ug_per_g_sugar,isoamyl_acetate__formation_stationary_ug_per_g_sugar,-0.3662473771498966,0.3662473771498966,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
I_reference_information,N80,independent_source_final,5,ethyl_octanoate__formation_stationary_ug_per_g_sugar,ethyl_octanoate__effective_loss_scale,-0.2806897811292939,0.2806897811292939,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
three_anchor_reference,N80,independent_optimized,1,ethyl_octanoate__formation_growth_ug_per_g_sugar,ethyl_octanoate__formation_stationary_ug_per_g_sugar,-0.5292820805370245,0.5292820805370245,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
three_anchor_reference,N80,independent_optimized,2,ethyl_acetate__formation_growth_ug_per_g_sugar,ethyl_acetate__effective_loss_scale,-0.4908952462756698,0.4908952462756698,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
three_anchor_reference,N80,independent_optimized,3,isoamyl_acetate__formation_stationary_ug_per_g_sugar,isoamyl_acetate__effective_loss_scale,-0.419814722361461,0.419814722361461,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
three_anchor_reference,N80,independent_optimized,4,isoamyl_acetate__formation_growth_ug_per_g_sugar,isoamyl_acetate__formation_stationary_ug_per_g_sugar,-0.3980917581121143,0.3980917581121143,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
three_anchor_reference,N80,independent_optimized,5,ethyl_acetate__formation_growth_ug_per_g_sugar,ethyl_acetate__formation_stationary_ug_per_g_sugar,-0.2769540536479085,0.2769540536479085,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,1,ethyl_acetate__formation_growth_ug_per_g_sugar,ethyl_acetate__effective_loss_scale,-0.4648620017965561,0.4648620017965561,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,2,ethyl_octanoate__formation_growth_ug_per_g_sugar,ethyl_octanoate__formation_stationary_ug_per_g_sugar,-0.4576865835807513,0.4576865835807513,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,3,isoamyl_acetate__formation_stationary_ug_per_g_sugar,isoamyl_acetate__effective_loss_scale,-0.440952655306467,0.440952655306467,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,4,isoamyl_acetate__formation_growth_ug_per_g_sugar,isoamyl_acetate__formation_stationary_ug_per_g_sugar,-0.37958071934368187,0.37958071934368187,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,5,ethyl_octanoate__formation_stationary_ug_per_g_sugar,ethyl_octanoate__effective_loss_scale,-0.2829910427502905,0.2829910427502905,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,partially_harmonized,1,ethyl_acetate__formation_growth_ug_per_g_sugar,ethyl_acetate__effective_loss_scale,-0.47810299192829575,0.47810299192829575,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,partially_harmonized,2,ethyl_octanoate__formation_growth_ug_per_g_sugar,ethyl_octanoate__formation_stationary_ug_per_g_sugar,-0.4703978258021266,0.4703978258021266,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,partially_harmonized,3,isoamyl_acetate__formation_stationary_ug_per_g_sugar,isoamyl_acetate__effective_loss_scale,-0.43008586850477976,0.43008586850477976,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,partially_harmonized,4,isoamyl_acetate__formation_growth_ug_per_g_sugar,isoamyl_acetate__formation_stationary_ug_per_g_sugar,-0.39494298596507005,0.39494298596507005,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,partially_harmonized,5,ethyl_octanoate__formation_stationary_ug_per_g_sugar,ethyl_octanoate__effective_loss_scale,-0.28590460047890986,0.28590460047890986,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,independent,1,ethyl_acetate__formation_growth_ug_per_g_sugar,ethyl_acetate__effective_loss_scale,-0.46506542021731273,0.46506542021731273,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,independent,2,ethyl_octanoate__formation_growth_ug_per_g_sugar,ethyl_octanoate__formation_stationary_ug_per_g_sugar,-0.4589889756443053,0.4589889756443053,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,independent,3,isoamyl_acetate__formation_stationary_ug_per_g_sugar,isoamyl_acetate__effective_loss_scale,-0.44091006635523233,0.44091006635523233,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,independent,4,isoamyl_acetate__formation_growth_ug_per_g_sugar,isoamyl_acetate__formation_stationary_ug_per_g_sugar,-0.38018469112475217,0.38018469112475217,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,independent,5,ethyl_octanoate__formation_stationary_ug_per_g_sugar,ethyl_octanoate__effective_loss_scale,-0.2827990055225784,0.2827990055225784,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,partially_harmonized,1,ethyl_acetate__formation_growth_ug_per_g_sugar,ethyl_acetate__effective_loss_scale,-0.4782890844535021,0.4782890844535021,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,partially_harmonized,2,ethyl_octanoate__formation_growth_ug_per_g_sugar,ethyl_octanoate__formation_stationary_ug_per_g_sugar,-0.4716667075065449,0.4716667075065449,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,partially_harmonized,3,isoamyl_acetate__formation_stationary_ug_per_g_sugar,isoamyl_acetate__effective_loss_scale,-0.4300755121155857,0.4300755121155857,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,partially_harmonized,4,isoamyl_acetate__formation_growth_ug_per_g_sugar,isoamyl_acetate__formation_stationary_ug_per_g_sugar,-0.3948849236738732,0.3948849236738732,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,partially_harmonized,5,ethyl_octanoate__formation_stationary_ug_per_g_sugar,ethyl_octanoate__effective_loss_scale,-0.2856307969521912,0.2856307969521912,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,independent,1,ethyl_acetate__formation_growth_ug_per_g_sugar,ethyl_acetate__effective_loss_scale,-0.46504111581925245,0.46504111581925245,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
