candidate,scenario,tau_h,tracking_error_c,initial_temperature_offset_c,probe_bias_c,command_delay_h,initial_temperature_scenario_c,initial_setpoint_c,initial_setpoint_jump_c,initial_jump_within_5c,minimum_physical_temperature_c,maximum_physical_temperature_c,physical_temperature_within_15_27c,controller_horizon_h,candidate_only_not_for_physical_execution,watermark,strategy,dose_design,candidate_id
anchor_18C,approved_actuator_032,0.3177272541838157,-0.8946199169856546,0.0,0.0,0.0,18.0,18.0,0.0,True,17.105380083014346,18.0,True,504.0,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,I_reference_information,N80,reference_source_final
anchor_18C,approved_actuator_033,0.3177272541838157,-0.8946199169856546,0.0,0.5,0.0,18.0,18.0,0.0,True,16.605380083014346,18.0,True,504.0,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,I_reference_information,N80,reference_source_final
anchor_18C,approved_actuator_034,0.3177272541838157,-0.8946199169856546,1.0,-0.5,0.0,19.0,18.0,1.0,True,17.605380083014346,19.0,True,504.0,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,I_reference_information,N80,reference_source_final
anchor_18C,approved_actuator_035,0.3177272541838157,-0.8946199169856546,1.0,0.0,0.0,19.0,18.0,1.0,True,17.105380083014346,19.0,True,504.0,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,I_reference_information,N80,reference_source_final
anchor_18C,approved_actuator_036,0.3177272541838157,-0.8946199169856546,1.0,0.5,0.0,19.0,18.0,1.0,True,16.605380083014346,19.0,True,504.0,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,I_reference_information,N80,reference_source_final
anchor_18C,approved_actuator_037,0.3177272541838157,0.0,-1.0,-0.5,0.0,17.0,18.0,1.0,True,17.0,18.5,True,504.0,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,I_reference_information,N80,reference_source_final
anchor_18C,approved_actuator_038,0.3177272541838157,0.0,-1.0,0.0,0.0,17.0,18.0,1.0,True,17.0,18.0,True,504.0,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,I_reference_information,N80,reference_source_final
anchor_18C,approved_actuator_039,0.3177272541838157,0.0,-1.0,0.5,0.0,17.0,18.0,1.0,True,17.0,17.5,True,504.0,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,I_reference_information,N80,reference_source_final
anchor_18C,approved_actuator_040,0.3177272541838157,0.0,0.0,-0.5,0.0,18.0,18.0,0.0,True,18.0,18.5,True,504.0,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,I_reference_information,N80,reference_source_final
anchor_18C,approved_actuator_041,0.3177272541838157,0.0,0.0,0.0,0.0,18.0,18.0,0.0,True,18.0,18.0,True,504.0,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,I_reference_information,N80,reference_source_final
