policy,species,capture_interval,start_h,end_h,duration_h,capture_stage_1_c,capture_stage_2_c,maximum_capture_interval_h,maximum_capture_interval_policy,within_approved_duration,captured_mass_mean_ug,captured_mass_min_ug,captured_mass_max_ug,cumulative_mass_start_mean_ug,cumulative_mass_end_mean_ug,mass_conservation_max_abs_error_ug,maximum_trap_loading,maximum_trap_loading_policy,trap_loading_constraint_satisfied,vessel_change_required,strategy,dose_design,sampling_mode,watermark,candidate_only_not_for_physical_execution
II_diagonal_1__N80__anchor,ethyl_octanoate,6,70.0,90.0,20.0,0.0,-40.0,,unbounded_by_hardware,True,6.675777827576942,3.586337462738812,43.29988744459489,7.9574279446115295,14.633205772188473,2.842170943040401e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__anchor,ethyl_octanoate,7,90.0,98.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,2.601898568153806,1.2612456913083623,15.054287335196292,14.633205772188473,17.235104340342275,2.842170943040401e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__anchor,ethyl_octanoate,8,98.0,162.0,64.0,0.0,-40.0,,unbounded_by_hardware,True,12.936027548277496,6.095428495416664,66.43581153162626,17.235104340342275,30.171131888619776,2.842170943040401e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__anchor,ethyl_octanoate,9,162.0,170.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,0.7218541360791382,0.33596975087989733,3.3888465871903293,30.171131888619776,30.892986024698914,2.842170943040401e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__anchor,isoamyl_acetate,1,0.0,22.0,22.0,0.0,-40.0,,unbounded_by_hardware,True,0.09086040004070592,0.00798910900813445,1.0311876924635819,0.0,0.09086040004070592,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__anchor,isoamyl_acetate,2,22.0,26.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,0.12403113804327406,0.004646757733970608,1.545211710510091,0.09086040004070592,0.21489153808397998,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__anchor,isoamyl_acetate,3,26.0,42.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,4.522275295694193,0.074975305374439,57.322004889953874,0.21489153808397998,4.737166833778173,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__anchor,isoamyl_acetate,4,42.0,50.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,8.185775850723058,0.1691619821644778,61.381101142173144,4.737166833778173,12.92294268450123,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__anchor,isoamyl_acetate,5,50.0,70.0,20.0,0.0,-40.0,,unbounded_by_hardware,True,40.67730532499229,4.642250230894647,183.07589871174656,12.92294268450123,53.60024800949352,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__anchor,isoamyl_acetate,6,70.0,90.0,20.0,0.0,-40.0,,unbounded_by_hardware,True,51.504092958700056,27.276296613037154,162.99078757287657,53.60024800949352,105.10434096819358,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__anchor,isoamyl_acetate,7,90.0,98.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,20.608640979632845,10.145262688769876,57.45874304224793,105.10434096819358,125.71298194782644,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__anchor,isoamyl_acetate,8,98.0,162.0,64.0,0.0,-40.0,,unbounded_by_hardware,True,105.79040238801099,52.79222546200951,265.3784835588551,125.71298194782644,231.50338433583744,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__anchor,isoamyl_acetate,9,162.0,170.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,6.045076931044189,2.376633824561054,12.95647637866523,231.50338433583744,237.5484612668816,5.684341886080802e-14,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__cold_early,ethyl_acetate,1,0.0,26.0,26.0,0.0,-40.0,,unbounded_by_hardware,True,120.55077648394035,0.033174969811282984,1379.838067432865,0.0,120.55077648394035,7.275957614183426e-12,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__cold_early,ethyl_acetate,2,26.0,42.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,829.7056027201497,0.08023197726286746,12079.98689653572,120.55077648394035,950.25637920409,7.275957614183426e-12,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
