strategy,dose_design,sampling_mode,eigenvalue_rank_ascending,fim_eigenvalue_median,fim_eigenvalue_q10,fim_eigenvalue_minimum,watermark,candidate_only_not_for_physical_execution
II_diagonal_1,N80,partially_harmonized,1,0.41223567866976396,0.2787861818604937,0.1876816595633615,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,partially_harmonized,2,5.362083825637194,0.48301377557040853,0.3314177858083665,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,partially_harmonized,3,87.33440333326732,4.772463198563186,0.3907771570080533,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,partially_harmonized,4,226.07455994878416,211.14155168247723,54.398691245618934,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,partially_harmonized,5,251.5869154765929,237.72075823105234,179.26767000204092,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,partially_harmonized,6,372.62827291349123,272.42918214554066,216.01622751859998,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,partially_harmonized,7,956.8567962140966,846.5998855119108,751.0991294965389,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,partially_harmonized,8,1067.4047059334835,958.8870087342042,853.7412906125593,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,partially_harmonized,9,1417.7014565644135,1158.4442130693537,1008.6147820240456,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,independent,1,0.4113039668596132,0.2775464163013327,0.1877312660788418,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,independent,2,5.039781109609962,0.47537428522248465,0.3229343949332643,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,independent,3,81.79874756711413,4.636854997036358,0.39094332063478476,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,independent,4,230.92234137516994,218.21840189939948,55.378680087233796,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,independent,5,257.5776600910994,247.1937708817353,192.48836152400287,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,independent,6,372.63242915716955,274.56312408395036,221.1270725086379,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,independent,7,975.3222028928703,868.0851954574518,777.6529264291361,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,independent,8,1088.5626861204387,972.2718500351978,891.2514034565536,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,independent,9,1445.9382803451572,1197.9250991383858,1034.6599137078013,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,partially_harmonized,1,0.4101947146708127,0.27763676642598445,0.18766528539502325,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,partially_harmonized,2,5.29720764115128,0.47943983207250657,0.3294195849020484,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_historical_anchor,partially_harmonized,3,86.87910001935026,4.715899577929017,0.39004036747383375,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
