strategy,dose_design,sampling_mode,policy,sample_number,time_h,local_timestamp,weekday,sample_before_action,watermark,candidate_only_not_for_physical_execution
II_diagonal_1,N80,independent,II_diagonal_1__N80__anchor,1,0.0,2026-07-20T15:00:00-04:00,Monday,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,II_diagonal_1__N80__anchor,2,22.0,2026-07-21T13:00:00-04:00,Tuesday,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,II_diagonal_1__N80__anchor,3,26.0,2026-07-21T17:00:00-04:00,Tuesday,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,II_diagonal_1__N80__anchor,4,42.0,2026-07-22T09:00:00-04:00,Wednesday,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,II_diagonal_1__N80__anchor,5,50.0,2026-07-22T17:00:00-04:00,Wednesday,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,II_diagonal_1__N80__anchor,6,70.0,2026-07-23T13:00:00-04:00,Thursday,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,II_diagonal_1__N80__anchor,7,90.0,2026-07-24T09:00:00-04:00,Friday,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,II_diagonal_1__N80__anchor,8,98.0,2026-07-24T17:00:00-04:00,Friday,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,II_diagonal_1__N80__anchor,9,162.0,2026-07-27T09:00:00-04:00,Monday,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,II_diagonal_1__N80__anchor,10,170.0,2026-07-27T17:00:00-04:00,Monday,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,II_diagonal_1__N80__cold_early,1,0.0,2026-07-20T15:00:00-04:00,Monday,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,II_diagonal_1__N80__cold_early,2,26.0,2026-07-21T17:00:00-04:00,Tuesday,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N80,independent,II_diagonal_1__N80__cold_early,3,42.0,2026-07-22T09:00:00-04:00,Wednesday,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
