ensemble_member,policy,drying_time_h,strategy,dose_design,watermark,candidate_only_not_for_physical_execution
0,II_diagonal_1__N80__anchor,190.90219260258172,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
0,II_diagonal_1__N80__cold_early,194.6832364669573,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
0,II_diagonal_1__N80__warm_late,176.5932762626782,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
1,II_diagonal_1__N80__anchor,187.4344324765886,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
1,II_diagonal_1__N80__cold_early,192.21709758065697,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
1,II_diagonal_1__N80__warm_late,170.9972943951697,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
2,II_diagonal_1__N80__anchor,203.39658647414333,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
2,II_diagonal_1__N80__cold_early,207.96034647705488,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
2,II_diagonal_1__N80__warm_late,186.8652711518369,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
3,II_diagonal_1__N80__anchor,197.18596181329016,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
3,II_diagonal_1__N80__cold_early,202.7232207108084,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
3,II_diagonal_1__N80__warm_late,179.5820016000156,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
4,II_diagonal_1__N80__anchor,190.79547622539806,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
4,II_diagonal_1__N80__cold_early,196.46076838250934,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
4,II_diagonal_1__N80__warm_late,172.75267482202963,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
5,II_diagonal_1__N80__anchor,202.2801420169269,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
5,II_diagonal_1__N80__cold_early,207.98294133712884,II_diagonal_1,N80,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
