Index,policy,time_h,mix_policy,selected_for_operation,volume_l,yan_target_mg_l,organic_yan_contribution_mg_l,dap_yan_contribution_mg_l,organic_product_yan_mass_fraction,dap_yan_mass_fraction,organic_product_g,dap_fda_g,yan_reconstructed_mg_l,reconstruction_error_mg_l,mass_formula,organic_total_limit_g,dap_fda_total_limit_g,organic_total_product_g,dap_total_product_g,organic_total_within_limit,dap_total_within_limit,total_yan_mg_l,maximum_total_yan_mg_l,net_yan_split_50_50,policy_nutrition_feasible,per_event_organic_limit_g,per_event_dap_fda_limit_g,composition_source,translation_blocker,blocker_reason,notice,authorized_for_physical_execution,logical_profile,tank,event,local_timestamp,sequence,organic_cumulative_g,dap_cumulative_g
0,anchor_18C,46.0,50_50_net_YAN_contribution,False,230.0,80.0,40.0,40.0,0.1,0.2,92.0,45.99999999999999,79.99999999999999,-1.4210854715202004e-14,m_g=(0.5*Y_target_mg_L*V_L/1000)/YAN_mass_fraction,92.0,220.8,92.0,45.99999999999999,True,True,80.0,80.00000000000001,True,True,,,"owner-provided operational composition, 2026-07-18",False,,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,anchor,TK33,1,2026-07-22T13:00:00-04:00,sample_then_nutrition_when_coincident,92.0,45.99999999999999
1,candidate_A,2.0,50_50_net_YAN_contribution,False,230.0,80.0,40.0,40.0,0.1,0.2,92.0,45.99999999999999,79.99999999999999,-1.4210854715202004e-14,m_g=(0.5*Y_target_mg_L*V_L/1000)/YAN_mass_fraction,92.0,220.8,92.0,45.99999999999999,True,True,80.0,80.00000000000001,True,True,,,"owner-provided operational composition, 2026-07-18",False,,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,A,TK31,1,2026-07-20T17:00:00-04:00,sample_then_nutrition_when_coincident,92.0,45.99999999999999
2,candidate_B,2.0,50_50_net_YAN_contribution,False,230.0,80.0,40.0,40.0,0.1,0.2,92.0,45.99999999999999,79.99999999999999,-1.4210854715202004e-14,m_g=(0.5*Y_target_mg_L*V_L/1000)/YAN_mass_fraction,92.0,220.8,92.0,45.99999999999999,True,True,80.0,80.00000000000001,True,True,,,"owner-provided operational composition, 2026-07-18",False,,COMPUTATIONAL CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,False,B,TK32,1,2026-07-20T17:00:00-04:00,sample_then_nutrition_when_coincident,92.0,45.99999999999999
