process_token,campaign_token,time_h,temperature_c,density_kg_m3,viable_cell_concentration_million_cells_ml,viable_biomass_proxy_g_l_30pg_cell,dry_weight_g_l,glucose_g_l,fructose_g_l,pan_n_mg_l,ammonia_compound_mg_l,ammonia_n_mg_l,yan_reported_n_mg_l,yan_reconstructed_n_mg_l,yan_closure_residual_mg_l,glycerol_g_l,pyruvic_acid_mg_l,pyruvic_acid_2_mg_l,acetaldehyde_mg_l,ethanol_g_l
P25_01,C25_01,0,18.5,1066.0,15.9,0.477,0.1464,74.99,72.96,93.0,75.0,61.49999999999999,154.5,154.5,0.0,2.35,31.0,,,6.1542
P25_01,C25_01,6,20.0,1065.0,,,,,,,,,,,,,,,,
P25_01,C25_01,12,21.0,1062.0,25.35,0.7605000000000001,0.0514,73.35,68.62,34.0,40.0,32.8,66.8,66.8,0.0,2.59,45.0,,,7.005165779646711
P25_01,C25_01,18,22.0,1058.0,,,,,,,,,,,,,,,,
P25_01,C25_01,24,21.0,1056.0,,,,,,,,,,,,,,,,
P25_01,C25_01,30,20.0,1050.0,,,,,,,,,,,,,,,,
P25_01,C25_01,36,20.0,1042.0,41.01,1.2303,0.1783,39.13,62.13,12.0,2.0,1.64,13.64,13.64,0.0,4.25,57.0,,,34.51994580845067
P25_01,C25_01,42,21.0,1036.0,56.3,1.6889999999999998,0.117,33.73,58.29,23.0,41.0,33.62,56.62,56.62,0.0,4.68,61.0,,,39.97046956434848
P25_01,C25_01,48,21.0,1034.0,,,,,,,,,,,,,,,,
P25_01,C25_01,54,21.4,1027.0,,,,,,,,,,,,,,,,
P25_01,C25_01,60,19.8,1020.0,24.88,0.7464,0.2073,23.5,26.72,13.0,0.0,0.0,13.0,13.0,0.0,5.67,43.0,,,65.33310289151117
P25_01,C25_01,66,19.5,1013.0,,,,,,,,,,,,,,,,
P25_01,C25_01,72,20.5,1011.0,,,,,,,,,,,,,,,,
P25_01,C25_01,78,21.0,1008.0,,,,,,,,,,,,,,,,
P25_01,C25_01,84,20.0,1005.0,53.61,1.6082999999999998,0.2668,9.91,14.39,14.0,0.0,0.0,14.0,14.0,0.0,5.67,43.0,,,83.85197043341294
P25_01,C25_01,90,21.5,1002.0,75.88,2.2763999999999998,0.3,9.17,8.53,14.0,0.0,0.0,14.0,14.0,0.0,5.54,32.0,,,88.5867367652694
P25_01,C25_01,96,21.5,1001.0,,,,,,,,,,,,,,,,
P25_01,C25_01,102,21.0,998.0,,,,,,,,,,,,,,,,
P25_01,C25_01,108,21.3,996.0,57.83,1.7348999999999999,,1.43,5.5,12.0,0.0,0.0,12.0,12.0,0.0,5.76,33.0,,,94.03385214907341
P25_01,C25_01,114,22.0,995.0,57.68,1.7304,0.2283,2.26,2.79,14.0,0.0,0.0,14.0,14.0,0.0,5.8,20.0,,,95.94946714187229
P25_01,C25_01,120,22.0,995.0,,,,,,,,,,,,,,,,
P25_01,C25_01,126,21.0,995.0,,,,,,,,,,,,,,,,
P25_01,C25_01,132,20.5,993.0,103.61,3.1083,0.2627,0.84,0.34,15.0,0.0,0.0,15.0,15.0,0.0,5.81,24.0,,,98.28196745614683
P25_01,C25_01,138,21.5,992.0,44.55,1.3364999999999998,0.2094,0.02,0.5,18.0,0.0,0.0,18.0,18.0,0.0,6.07,18.0,,,96.4947
P25_02,C25_01,0,17.0,1065.0,2.76,0.08279999999999998,0.1968,77.81,77.54,101.0,75.0,61.49999999999999,162.5,162.5,0.0,2.13,24.0,0.0,,6.1542
P25_02,C25_01,6,19.0,1065.0,,,,,,,,,,,,,,,,
P25_02,C25_01,12,18.8,1065.0,19.97,0.5991,0.1149,76.2,69.85,84.0,56.0,45.919999999999995,129.92,129.92,0.0,2.42,40.0,16.0,,5.425713414851614
P25_02,C25_01,18,19.2,1062.0,,,,,,,,,,,,,,,,
P25_02,C25_01,24,19.0,1060.0,,,,,,,,,,,,,,,,
