process_token,campaign_token,include_submission_dataset,time_h,species,total_equivalent_mg_l,condensate_equivalent_mg_l,retained_wine_mg_l,retained_qc
P25_01,C25_01,True,0.0,benzyl_alcohol,0.04191216091666667,,,ok
P25_01,C25_01,True,36.0,benzyl_alcohol,0.03618623020416667,0.002749992022448067,0.033436238181718606,ok
P25_01,C25_01,True,60.0,benzyl_alcohol,0.046465753958333335,0.007007882638781212,0.039457871319552126,ok
P25_01,C25_01,True,90.0,benzyl_alcohol,0.043049816875,0.010305775192552383,0.032744041682447614,ok
P25_01,C25_01,True,138.0,benzyl_alcohol,0.04937085733333334,0.012677724744773883,0.036693132588559454,ok
P25_01,C25_01,True,0.0,benzaldehyde,0.00377283783,,,ok
P25_01,C25_01,True,36.0,benzaldehyde,0.0037272832091666667,0.0009930751718401523,0.0027342080373265144,ok
P25_01,C25_01,True,60.0,benzaldehyde,0.004648018804166667,0.00249009340779878,0.0021579253963678866,ok
P25_01,C25_01,True,90.0,benzaldehyde,0.0057456647958333325,0.0037101452248350644,0.002035519570998268,ok
P25_01,C25_01,True,138.0,benzaldehyde,0.0058611256125,0.004496923904843419,0.0013642017076565816,ok
P25_01,C25_01,True,0.0,ethyl_decanoate,0.0016516516474999999,,,ok
P25_01,C25_01,True,36.0,ethyl_decanoate,0.0208948103375,0.0,0.0208948103375,ok
P25_01,C25_01,True,60.0,ethyl_decanoate,0.029606410049999997,0.0,0.029606410049999997,ok
P25_01,C25_01,True,90.0,ethyl_decanoate,0.016145423308333334,0.0,0.016145423308333334,ok
P25_01,C25_01,True,138.0,ethyl_decanoate,0.014283132279166668,0.0,0.014283132279166668,ok
P25_01,C25_01,True,0.0,hexyl_acetate,0.00423783485,,,ok
P25_01,C25_01,True,36.0,hexyl_acetate,0.30879171295833335,0.02527105441040507,0.2835206585479283,ok
P25_01,C25_01,True,60.0,hexyl_acetate,0.5570067433333334,0.12297791536692847,0.43402882796640496,ok
P25_01,C25_01,True,90.0,hexyl_acetate,0.45874064208333337,0.17524063625193656,0.2835000058313968,ok
P25_01,C25_01,True,138.0,hexyl_acetate,0.43432474958333334,0.1997888130669946,0.23453593651633872,ok
P25_01,C25_01,True,0.0,isoamyl_acetate,0.16440079645416542,,,ok
P25_01,C25_01,True,36.0,isoamyl_acetate,4.3308829963106,0.1306918289301198,4.20019116738048,ok
P25_01,C25_01,True,60.0,isoamyl_acetate,8.881080986917464,1.352683882139285,7.528397104778179,ok
P25_01,C25_01,True,90.0,isoamyl_acetate,9.929560424968065,2.4552558746240654,7.474304550344,ok
P25_01,C25_01,True,138.0,isoamyl_acetate,10.693966574822793,2.801726777429855,7.892239797392938,ok
P25_01,C25_01,True,0.0,ethyl_octanoate,0.018882016741666667,,,ok
P25_01,C25_01,True,36.0,ethyl_octanoate,0.09547981808333335,0.0036339454184960034,0.09184587266483735,ok
P25_01,C25_01,True,60.0,ethyl_octanoate,0.14466319991666668,0.026731549016262957,0.11793165090040372,ok
P25_01,C25_01,True,90.0,ethyl_octanoate,0.094650105,0.04633458320892703,0.04831552179107297,ok
P25_01,C25_01,True,138.0,ethyl_octanoate,0.14105631166666666,0.054454130439979154,0.0866021812266875,ok
P25_01,C25_01,True,0.0,phenethyl_acetate,0.0063562285291666664,,,ok
P25_01,C25_01,True,36.0,phenethyl_acetate,0.16382296620833334,0.0,0.16382296620833334,ok
P25_01,C25_01,True,60.0,phenethyl_acetate,0.20496496541666664,0.0,0.20496496541666664,ok
P25_01,C25_01,True,90.0,phenethyl_acetate,0.16653256491666665,0.0,0.16653256491666665,ok
P25_01,C25_01,True,138.0,phenethyl_acetate,0.161175047125,0.0023256505556150165,0.158849396569385,ok
P25_01,C25_01,True,0.0,ethyl_acetate,1.774577304293678,,,ok
P25_01,C25_01,True,36.0,ethyl_acetate,7.783209118560181,0.0,7.783209118560181,ok
P25_01,C25_01,True,60.0,ethyl_acetate,13.92721387178408,0.03117881485087881,13.8960350569332,ok
P25_01,C25_01,True,90.0,ethyl_acetate,13.798031206224696,0.05570066965599786,13.742330536568698,ok
P25_01,C25_01,True,138.0,ethyl_acetate,8.90411298289095,0.06502485616134876,8.839088126729601,ok
P25_02,C25_01,True,0.0,benzyl_alcohol,0.0334499490625,,,ok
P25_02,C25_01,True,36.0,benzyl_alcohol,0.03459263224583334,0.0011229034206103503,0.033469728825222984,ok
P25_02,C25_01,True,84.0,benzyl_alcohol,0.0328794103875,0.006678322262414151,0.026201088125085852,ok
P25_02,C25_01,True,114.0,benzyl_alcohol,0.03588404345416666,0.008754391253630537,0.027129652200536123,ok
P25_02,C25_01,True,180.0,benzyl_alcohol,0.04183217666666667,0.010744537273544377,0.031087639393122295,ok
P25_02,C25_01,True,0.0,benzaldehyde,0.0032859872941666665,,,ok
P25_02,C25_01,True,36.0,benzaldehyde,0.003605600070416667,0.00038981979137735044,0.0032157802790393165,ok
P25_02,C25_01,True,84.0,benzaldehyde,0.00331653675,0.002155706309014551,0.001160830440985449,ok
P25_02,C25_01,True,114.0,benzaldehyde,0.004209357491666667,0.002914592588159173,0.001294764903507494,ok
P25_02,C25_01,True,180.0,benzaldehyde,0.004667950008333334,0.0036028217041264503,0.0010651283042068835,ok
P25_02,C25_01,True,0.0,ethyl_decanoate,0.0008601210633333333,,,ok
P25_02,C25_01,True,36.0,ethyl_decanoate,0.009818948695833335,0.0,0.009818948695833335,ok
P25_02,C25_01,True,84.0,ethyl_decanoate,0.008081974258333334,0.0,0.008081974258333334,ok
P25_02,C25_01,True,114.0,ethyl_decanoate,0.007224865049999999,0.0,0.007224865049999999,ok
P25_02,C25_01,True,180.0,ethyl_decanoate,0.016853321383333335,0.0,0.016853321383333335,ok
P25_02,C25_01,True,0.0,hexyl_acetate,0.004952730866666667,,,ok
P25_02,C25_01,True,36.0,hexyl_acetate,0.20501537949999998,0.008978087956228299,0.1960372915437717,ok
P25_02,C25_01,True,84.0,hexyl_acetate,0.334094109375,0.08854371269978323,0.24555039667521678,ok
P25_02,C25_01,True,114.0,hexyl_acetate,0.3272522726666667,0.11747927204822746,0.20977300061843923,ok
P25_02,C25_01,True,180.0,hexyl_acetate,0.37275502074999994,0.13460507743470387,0.23814994331529607,ok
P25_02,C25_01,True,0.0,isoamyl_acetate,0.16781751764209243,,,ok
